Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R);Primary somatosensory area, upper limb (L);Primary somatosensory area, upper limb (R);Primary somatosensory area, unassigned (L);Primary somatosensory area, unassigned (R)
Primary somatosensory area, barrel field (L);1;0.625032166101889;0.619136698812652;0.639743786903318;0.408926498563811;0.260418223716841;0.16056012876953;0.425353757149385;0.284706411284053;0.123509191859673;0.0945976960851681;0.193016717292909;0.356346569806631;0.606143669692303;0.213990521994155;0.192492199293873;0.553127932064611;0.287382121545144;0.491612716561033;0.19327079793302;0.54731276316925;0.477410805344888;0.471686616610608;0.389600481516556
Primary somatosensory area, barrel field (R);0.625032166101889;1;0.678664898404469;0.659323866544882;0.397247743925691;0.309426296609144;0.153357453578302;0.454537880769599;0.28434893872303;0.0992500971570688;0.110393875199631;0.208076908771377;0.389183633425436;0.658927389526618;0.245470352262576;0.194446058085116;0.588020238624271;0.323686693810979;0.526716812600782;0.226589538702009;0.55035006866218;0.528623158243768;0.505172258968952;0.465200323554168
Primary somatosensory area, lower limb (L);0.619136698812652;0.678664898404469;1;0.714419940059477;0.417368312697891;0.304777562558667;0.179205100602561;0.436426960083543;0.292204419867235;0.104692049464419;0.154927348486421;0.265396622073269;0.390440778786734;0.676485238074962;0.243474357748567;0.184682591112178;0.587392142381128;0.329654960064716;0.539024557241212;0.223798015189378;0.622924762699047;0.522843578299963;0.530472810604887;0.443198788517185
Primary somatosensory area, lower limb (R);0.639743786903318;0.659323866544882;0.714419940059477;1;0.387014181503472;0.276728549628289;0.148851261277076;0.423659063708204;0.308490685956098;0.103125533245965;0.137581392117501;0.249245457757675;0.370136505053948;0.689493507287781;0.230435476076463;0.177620696212157;0.586445683342495;0.328329274723008;0.550980743424436;0.201659710061528;0.640385391694976;0.558373844649985;0.523453404405834;0.462404625832522
Supplemental somatosensory area (L);0.408926498563811;0.397247743925691;0.417368312697891;0.387014181503472;1;0.19493380489863;0.106959821090453;0.26669120983193;0.179391709842413;0.0733499868553359;0.102614589281931;0.131359490446816;0.221187141215706;0.419931070917063;0.150350736775745;0.120960795909097;0.357364619595383;0.197522839107721;0.330525835610405;0.0969729081521652;0.351581516496718;0.316100033030159;0.308268072850473;0.227630410385314
Supplemental somatosensory area (R);0.260418223716841;0.309426296609144;0.304777562558667;0.276728549628289;0.19493380489863;0.999999999999999;0.0777735111588104;0.200524616088953;0.109636904043469;0.0586945799153859;0.0589233100149434;0.167831120750232;0.195683399781815;0.322354733225837;0.0766899198358731;0.0481175893103311;0.222481623571449;0.143677549311484;0.215681251304115;0.0773396855070906;0.276340153450801;0.214453875421118;0.232970360239455;0.191080008904614
Olfactory areas (L);0.16056012876953;0.153357453578302;0.179205100602561;0.148851261277076;0.106959821090453;0.0777735111588104;1;0.136479208995304;0.0829285409697595;0.0101386182762181;0.0579794662407044;0.0318445960269254;0.095679901777851;0.185807470375228;0.0463787357246965;0.0261894210062971;0.118548899589142;0.141915719492035;0.148559851228932;0.0919483332149798;0.151129621683211;0.109685275523766;0.134428951208299;0.0870662675899565
Olfactory areas (R);0.425353757149385;0.454537880769599;0.436426960083543;0.423659063708204;0.26669120983193;0.200524616088953;0.136479208995304;1;0.210269178192891;0.0659658330370584;0.0633066614271557;0.204725152893889;0.28708254984528;0.414878000030516;0.120366724337409;0.168625375288592;0.418737824230128;0.194457762076255;0.328411266927327;0.133969589125658;0.335092760675236;0.381266894401403;0.335043659943261;0.338661799978273
Hippocampal formation (L);0.284706411284053;0.28434893872303;0.292204419867235;0.308490685956098;0.179391709842413;0.109636904043469;0.0829285409697595;0.210269178192891;1;0.0208442837241795;0.0959017121041641;0.0845022309564666;0.18584852583485;0.283590940909589;0.141977723526326;0.0992485744546259;0.278721345766155;0.175897816831752;0.227066204755266;0.134651976718757;0.258842269100819;0.227175398612922;0.20023055875699;0.170811599206834
Hippocampal formation (R);0.123509191859673;0.0992500971570688;0.104692049464419;0.103125533245965;0.0733499868553359;0.0586945799153859;0.0101386182762181;0.0659658330370584;0.0208442837241795;1;0.0166413545165702;0.0276469953200081;0.0504413103686188;0.0967321712373063;0.0265569805769726;0.069649580275978;0.0979020974907346;0.0553773367812385;0.0912937419908392;-0.00526293959368876;0.060338345721971;0.0695976933761296;0.106687211801618;0.0533808282486119
