Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R);Primary somatosensory area, upper limb (L);Primary somatosensory area, upper limb (R);Primary somatosensory area, unassigned (L);Primary somatosensory area, unassigned (R)
Primary somatosensory area, barrel field (L);1;0.66607598006581;0.711503228012778;0.710570685542897;0.523134175168062;0.320778893854724;0.190686014962153;0.439095140016122;0.307545107604469;0.161409308099667;0.132965499890766;0.220109934856177;0.363207120736153;0.653090899665696;0.245122367619293;0.258611259250165;0.600998279316001;0.314765794669102;0.594445191290766;0.24515928924911;0.690054084035072;0.552286318972965;0.589314586314113;0.443824157308759
Primary somatosensory area, barrel field (R);0.66607598006581;1;0.703410214334493;0.680832858707016;0.467549341030652;0.353628401836489;0.17961477057732;0.478132385148529;0.312194412722974;0.130680885977558;0.139784143061353;0.22981274052287;0.390261532083376;0.677626819464607;0.270109141762525;0.241663440369682;0.62454211262478;0.35202655099145;0.582693296066854;0.258500176937804;0.598508641781591;0.581459922225905;0.558864662074246;0.507699616118951
Primary somatosensory area, lower limb (L);0.711503228012778;0.703410214334493;1;0.79757454067158;0.544839043190576;0.370041123154318;0.209311920098923;0.451984083044618;0.328452722300343;0.15558175305083;0.188001913767361;0.280652702465285;0.357331302611532;0.75016594847371;0.260748073883965;0.253077215811945;0.617716381369512;0.355866703333932;0.649972910121129;0.274858804578083;0.734425293997886;0.595555042392988;0.647590497905958;0.461503340172231
Primary somatosensory area, lower limb (R);0.710570685542897;0.680832858707016;0.79757454067158;1;0.514916699073129;0.344401749841665;0.184928397331847;0.440959795108595;0.344304426316075;0.1546146401585;0.173331856688868;0.269617447900843;0.331897367034199;0.765408840423217;0.249932215211776;0.245171798290687;0.609105432286893;0.354294411331388;0.661041357524947;0.252888827396745;0.740726432204311;0.623913975658896;0.641851050467903;0.469587395993209
Supplemental somatosensory area (L);0.523134175168062;0.467549341030652;0.544839043190576;0.514916699073129;1;0.265049019745733;0.140901675709556;0.307400733682638;0.224747940911948;0.11734803069437;0.136619186732292;0.161978629217272;0.228771154120147;0.522470029766574;0.178177047606138;0.184162748120217;0.423931674294736;0.239368807102892;0.451463289261244;0.157158802453428;0.494876940371062;0.405749980302771;0.439606905430327;0.277374874935328
Supplemental somatosensory area (R);0.320778893854724;0.353628401836489;0.370041123154318;0.344401749841665;0.265049019745733;1;0.0992935690500522;0.22859751506189;0.140059249615388;0.0847479459462367;0.0818991741186094;0.185049948817978;0.198303994540757;0.377287932410669;0.0967999718585984;0.0871531353163295;0.266105316491746;0.172018971852051;0.286834810773584;0.11004615735075;0.340624452261037;0.271151913159149;0.301134672555302;0.223178765507221
Olfactory areas (L);0.190686014962153;0.17961477057732;0.209311920098923;0.184928397331847;0.140901675709556;0.0992935690500522;1;0.153875258496473;0.0998546656913355;0.0237861966807105;0.0694705958091835;0.0453508151663587;0.102394984347351;0.213918738668314;0.0597566485876687;0.0465167238822789;0.143982693424313;0.157125427743283;0.183008352793236;0.107374341453962;0.185861030960964;0.142207065656821;0.169896232949022;0.107633421610366
Olfactory areas (R);0.439095140016122;0.478132385148529;0.451984083044618;0.440959795108595;0.307400733682638;0.22859751506189;0.153875258496473;1;0.232295188805587;0.08492939640211;0.0798989380402481;0.222437152194517;0.298008026543006;0.436824631398418;0.141017549220453;0.195789877477137;0.445866028798116;0.216824928288926;0.36643616124702;0.158108754860824;0.371355032200528;0.412387658210899;0.372668384909727;0.360815627365618
Hippocampal formation (L);0.307545107604469;0.312194412722974;0.328452722300343;0.344304426316075;0.224747940911948;0.140059249615388;0.0998546656913355;0.232295188805587;1;0.0407490906731849;0.111467133017625;0.102389233224496;0.188270718111391;0.323505888575943;0.157284512767114;0.12550769678482;0.304398448491934;0.196475552097795;0.274178598314189;0.155883249711787;0.297748038468147;0.266057919302629;0.249913894512851;0.191922736072935
Hippocampal formation (R);0.161409308099667;0.130680885977558;0.15558175305083;0.1546146401585;0.11734803069437;0.0847479459462367;0.0237861966807105;0.08492939640211;0.0407490906731849;1;0.030484657506991;0.0406707341448699;0.0536071702112818;0.143177484245165;0.0388718588524496;0.090731335126966;0.124516122144185;0.0733466839221201;0.137970858429854;0.0145182522179506;0.116911805156517;0.107769347388242;0.150794061569654;0.0739545860410012
Cortical subplate (L);0.132965499890766;0.139784143061353;0.188001913767361;0.173331856688868;0.136619186732292;0.0818991741186094;0.0694705958091835;0.0798989380402481;0.111467133017625;0.030484657506991;1;0.0717900598581613;0.115440900434721;0.153959558158302;0.0722355662762994;0.0820917086999498;0.131287014022481;0.0742715506999528;0.144466003527919;0.03618935655323;0.153370606036176;0.160696955764125;0.123843482308981;0.0882265425704051
Cortical subplate (R);0.220109934856177;0.22981274052287;0.280652702465285;0.269617447900843;0.161978629217272;0.185049948817978;0.0453508151663587;0.222437152194517;0.102389233224496;0.0406707341448699;0.0717900598581613;0.999999999999999;0.119695228329879;0.26598222565221;0.118102813278187;0.119147461691926;0.215076101796592;0.0922912156857646;0.214377446950602;0.126393961470059;0.245535421997059;0.190422016656363;0.17906698532449;0.174619198088619
Striatum (L);0.363207120736153;0.390261532083376;0.357331302611532;0.331897367034199;0.228771154120147;0.198303994540757;0.102394984347351;0.298008026543006;0.188270718111391;0.0536071702112818;0.115440900434721;0.119695228329879;1;0.352849665264578;0.1738629860577;0.126988812705872;0.394852864267368;0.210517959200214;0.292001496585548;0.186940903824668;0.350496906640586;0.276748355722606;0.281852770204717;0.267728443779728
Striatum (R);0.653090899665696;0.677626819464607;0.75016594847371;0.765408840423217;0.522470029766574;0.377287932410669;0.213918738668314;0.436824631398418;0.323505888575943;0.143177484245165;0.153959558158302;0.26598222565221;0.352849665264578;1;0.266294374678021;0.248301478954424;0.622969300806456;0.329033665938107;0.645566121135445;0.250117800508683;0.681541334100386;0.574398833223203;0.594036672475258;0.415174966427349
Pallidum (L);0.245122367619293;0.270109141762525;0.260748073883965;0.249932215211776;0.178177047606138;0.0967999718585984;0.0597566485876687;0.141017549220453;0.157284512767114;0.0388718588524496;0.0722355662762994;0.118102813278187;0.1738629860577;0.266294374678021;1;0.107284518928425;0.226446338081637;0.187164583377468;0.226513367995285;0.109704182134302;0.238470376811975;0.225764585303323;0.199841765340314;0.163562043095831
Pallidum (R);0.258611259250165;0.241663440369682;0.253077215811945;0.245171798290687;0.184162748120217;0.0871531353163295;0.0465167238822789;0.195789877477137;0.12550769678482;0.090731335126966;0.0820917086999498;0.119147461691926;0.126988812705872;0.248301478954424;0.107284518928425;1;0.216498090341033;0.14697051513424;0.234982199765025;0.153460401698494;0.244149538383748;0.213972401496707;0.195975849067604;0.179233427736673
Thalamus (L);0.600998279316001;0.62454211262478;0.617716381369512;0.609105432286893;0.423931674294736;0.266105316491746;0.143982693424313;0.445866028798116;0.304398448491934;0.124516122144185;0.131287014022481;0.215076101796592;0.394852864267368;0.622969300806456;0.226446338081637;0.216498090341033;1;0.292644546789882;0.514676028176466;0.203810459119335;0.543920505573006;0.468820975180003;0.462666665304423;0.422714377874929
Thalamus (R);0.314765794669102;0.35202655099145;0.355866703333932;0.354294411331388;0.239368807102892;0.172018971852051;0.157125427743283;0.216824928288926;0.196475552097795;0.0733466839221201;0.0742715506999528;0.0922912156857646;0.210517959200214;0.329033665938107;0.187164583377468;0.14697051513424;0.292644546789882;1;0.257913310984454;0.151074157953237;0.309060128804319;0.292222609914951;0.255655041162503;0.204832171001015
Hypothalamus (L);0.594445191290766;0.582693296066854;0.649972910121129;0.661041357524947;0.451463289261244;0.286834810773584;0.183008352793236;0.36643616124702;0.274178598314189;0.137970858429854;0.144466003527919;0.214377446950602;0.292001496585548;0.645566121135445;0.226513367995285;0.234982199765025;0.514676028176466;0.257913310984454;1;0.249951659487232;0.577756459015375;0.50871862119002;0.512962516574558;0.36634312422244
Hypothalamus (R);0.24515928924911;0.258500176937804;0.274858804578083;0.252888827396745;0.157158802453428;0.11004615735075;0.107374341453962;0.158108754860824;0.155883249711787;0.0145182522179506;0.03618935655323;0.126393961470059;0.186940903824668;0.250117800508683;0.109704182134302;0.153460401698494;0.203810459119335;0.151074157953237;0.249951659487232;1;0.241795441741887;0.19566266502633;0.223974322096336;0.143439743717162
Primary somatosensory area, upper limb (L);0.690054084035072;0.598508641781591;0.734425293997886;0.740726432204311;0.494876940371062;0.340624452261037;0.185861030960964;0.371355032200528;0.297748038468147;0.116911805156517;0.153370606036176;0.245535421997059;0.350496906640586;0.681541334100386;0.238470376811975;0.244149538383748;0.543920505573006;0.309060128804319;0.577756459015375;0.241795441741887;1;0.532976040768862;0.680543103410308;0.394372619562343
Primary somatosensory area, upper limb (R);0.552286318972965;0.581459922225905;0.595555042392988;0.623913975658896;0.405749980302771;0.271151913159149;0.142207065656821;0.412387658210899;0.266057919302629;0.107769347388242;0.160696955764125;0.190422016656363;0.276748355722606;0.574398833223203;0.225764585303323;0.213972401496707;0.468820975180003;0.292222609914951;0.50871862119002;0.19566266502633;0.532976040768862;1;0.472310968515192;0.440712747018901
Primary somatosensory area, unassigned (L);0.589314586314113;0.558864662074246;0.647590497905958;0.641851050467903;0.439606905430327;0.301134672555302;0.169896232949022;0.372668384909727;0.249913894512851;0.150794061569654;0.123843482308981;0.17906698532449;0.281852770204717;0.594036672475258;0.199841765340314;0.195975849067604;0.462666665304423;0.255655041162503;0.512962516574558;0.223974322096336;0.680543103410308;0.472310968515192;1;0.374468951982118
Primary somatosensory area, unassigned (R);0.443824157308759;0.507699616118951;0.461503340172231;0.469587395993209;0.277374874935328;0.223178765507221;0.107633421610366;0.360815627365618;0.191922736072935;0.0739545860410012;0.0882265425704051;0.174619198088619;0.267728443779728;0.415174966427349;0.163562043095831;0.179233427736673;0.422714377874929;0.204832171001015;0.36634312422244;0.143439743717162;0.394372619562343;0.440712747018901;0.374468951982118;1
