Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R),"Primary somatosensory area, upper limb (L)","Primary somatosensory area, upper limb (R)","Primary somatosensory area, unassigned (L)","Primary somatosensory area, unassigned (R)"
0.4,0.0149414989713661,1.7302984577403,2.20835677224347,3.25305758001585,4.44507634752175,5.99797634076723,7.10730939963434,7.70165791408219,9.96722387513425,9.37960252086811,11.0120956794834,12.2101922128502,12.8345222288568,13.5439688187298,14.6893684911237,15.4971837278649,16.9005189221116,18.1445343045313,18.7038559586658,20.2247190956494,20.4285648304829,21.4273453532334,22.5132689167912,24.3086060758142
0.800025,0.259853481016373,1.88205075447319,2.44566107332797,3.60612193077628,4.38348570521456,5.49045270053162,6.84917667351727,7.10806627719819,9.83796266260394,9.62473113053989,10.2766580045457,11.5391326188051,12.523152815533,13.9765098115777,14.7495468021724,15.6813415728496,16.9405248959444,18.717203742957,18.7939747439312,20.6068315177392,20.3725056148691,21.4422608922604,22.2903763872761,24.0780413184748
1.200025,0.34419660264024,1.62741301332044,2.37092414633098,3.37541129506034,4.27881353681122,5.8430034837362,7.65468504814067,8.37962139154957,9.62464984186676,10.6729179143896,11.0251247732283,12.1550332918875,13.1643456457213,13.7247490992914,14.8344130180525,15.5661510336501,17.2396500065116,17.9003568654882,18.6940450837523,19.4359633017475,20.5215053862038,21.4001861085869,22.5981099120096,23.6524070645557
1.60005,0.382733455668384,1.90211576345211,2.51848259875683,3.54993609628995,4.16272025425143,6.07750983151896,7.05972727409824,7.91319501758019,9.49893408731554,9.47670606756054,11.2190191133322,11.6780364779603,12.7877033500086,13.5484079499255,14.9886808337245,16.0161064956681,17.2884219892757,17.7509273295049,18.2661397129842,19.594992259349,20.7562351802569,21.4844786316095,22.1507103341665,23.8110164826953
2.00005,0.467680902686231,1.82104543822301,2.38158325463393,3.44628562202741,4.78480844179677,6.38437167911854,7.11017763912223,8.26710110726686,9.25956639165007,10.0973335919236,10.5860831225216,12.2588284805708,13.9896157584412,13.7873799737104,15.0485493290738,16.4104827192136,17.0767559124335,18.522167455108,18.7651212891287,20.4354975325967,20.4566609070823,22.1734085894317,22.4485898801565,24.0494775649615
2.400075,0.162823873806259,1.28273671943822,2.25440016739755,3.42853922656928,4.49123900179308,5.6659095252306,6.47672808281145,8.31739132518389,9.94435933657953,9.87324251419579,11.9217321416839,12.428342416365,12.8527713452397,13.5058617048048,14.1735192173004,16.4742788100698,17.0939992466455,17.4949880924239,18.2597021975074,19.2886516308126,20.1895443970933,21.3060963749,22.7827499214181,23.8783767144536
2.8001,0.341045781748831,1.15722873350495,2.1508705930092,3.1829513075991,4.9358797813974,6.30023773965829,6.85817058838661,7.4861849631985,9.76324258630282,10.182478968791,11.6875615419799,11.9491439289366,12.8052848684422,13.2909882303477,15.3324117385056,16.1189339302383,16.5591241662007,18.1038368855024,18.5785742768644,20.0752528199598,20,21.29067368706,22.3912211814757,23.657813688345
3.2001,0.278071544999379,1.2860975176702,2.37324322868371,3.67658981635894,4.7824199060025,5.72169998819563,7.02277962510695,7.48454485136759,9.6048084840669,10.1973876506821,10.8686441538975,11.8946662157403,13.1052332188291,13.4751692720814,14.6246140070285,16.5137512647871,16.9230611193051,17.9183260301832,18.2263363181679,19.584654411483,20.6514204270305,21.2734183927086,22.6604422740326,23.8567458985307
3.600125,0.426713362931307,1.63043771757469,2.76600847175735,3.4861286427467,4.54534989500899,5.65758757258342,7.11416251256848,8.14018331464838,9.12447527023099,9.92571674135343,10.9532089994145,12.3563706891627,12.7531580600768,13.6716821606078,14.9642194988729,16.3987195696017,17.0604656145752,17.9575457234839,18.8313916182187,20.0420486615835,20.282952271857,21.3808030955273,22.5937878322497,24.3713226584482
4.00015,0.161933890034617,1.3985887614869,2.21085245813477,3.394322117643,5.02707662782251,6.02886014339642,7.18591541753781,7.65310691045667,9.41488405149543,10.3343163790202,10.3880834012631,12.2857679443154,12.7341829241935,13.42061459186,15.3265167279554,15.7171331604457,17.1388936178816,17.7886578457384,18.4919132629358,19.9536471949175,20.5528534359772,21.6689487780189,22.4212030431232,23.6381505654138
