Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R)
0.4,,,,,,,1.62549999242654,,2.13950785769577,3.87339208339373,4.73378260832807,,,,,,5.48651831100958,6.23441710647282,,
1,,,,,,,1.52763667481451,,2.6006638115679,3.27406991190466,5.17405908780293,,,,,,5.65661941229883,6.07115741465761,,
1.600025,,,,,,,1.69694263547096,,3.15144792157306,3.70484552422901,3.64506746305975,,,,,,5.86393441024715,6.11720134220168,,
2.20005,,,,,,,1.24254036341923,,3.2937465106972,3.13165775707938,3.95411327872757,,,,,,6.60468088490713,6.41761864333991,,
2.80005,,,,,,,1.71836181620781,,2.79738463929863,2.49403192604195,4.89976190916702,,,,,,5.84191741962519,7.34155601267619,,
3.400075,,,,,,,1.3123981457212,,2.96309255652963,3.53650291354614,4.51561737574341,,,,,,5.71193545812565,6.46694964591372,,
4.0001,,,,,,,1.25536875786934,,2.26813830953222,3.61820336805842,5.00970347198703,,,,,,5.55753793046941,6.9116229316336,,
4.6001,,,,,,,1.94770079846097,,2.78655675856032,3.88641428778916,4.08044497220301,,,,,,4.92898844763754,6.63624866967143,,
5.200125,,,,,,,1.47886812776063,,2.66615314967554,3.41806166720532,5.00425946363454,,,,,,5.52448873889366,6.29409769871865,,
5.80015,,,,,,,1.88182555778259,,2.2815129408969,2.85208498680611,5.4066278891702,,,,,,5.8668642870898,5.92738669599625,,
6.40015,,,,,,,1.36738178789228,,2.27555547782625,4.14795486050625,4.75690139704263,,,,,,5.27889397882645,6.32695477778948,,
7.000175,,,,,,,1.18572241845487,,2.66652391895829,3.06438938624004,4.98024304274349,,,,,,6.16954939236036,6.68298282444679,,
7.600175,,,,,,,1.58403958654802,,3.2373544613512,3.07624000060119,4.03560970073906,,,,,,6.36777884617725,6.11689191157091,,
8.2002,,,,,,,1.73123496666419,,2.11668484216426,3.93675101431263,4.46914325784486,,,,,,5.19632513751795,6.89338716824708,,
8.800225,,,,,,,2.13647861146677,,1.87051421716202,3.87258148834031,4.32691297066188,,,,,,5.24903659612811,6.61854923954307,,
9.400225,,,,,,,1.98553360775151,,2.69490909104117,3.3205300999231,4.1481829369091,,,,,,5.65007187140811,6.57499748598819,,
10.00025,,,,,,,1.71710449253125,,1.7476709586906,4.13487092864271,4.44331825666694,,,,,,5.25165974921738,6.97614060619166,,
10.600275,,,,,,,1.64338285327769,,2.5059578485566,2.96681540165473,4.72920787174881,,,,,,6.04729685452463,6.75637506710411,,
11.200275,,,,,,,2.40517053705347,,2.30490329900962,3.14750626790065,4.68068020265327,,,,,,5.17987153289863,6.52792418327441,,
11.8003,,,,,,,1.56717890704239,,2.47316560535884,3.57059080583956,4.42414822465115,,,,,,6.01822699414163,6.13235251615021,,
12.400325,,,,,,,2.21087373000701,,2.31612492947158,3.79144760280533,4.53355386722908,,,,,,4.51145585968336,6.95116299684733,,
13.000325,,,,,,,1.2732071334036,,2.38763400529939,3.96190803126878,4.19654479143421,,,,,,5.7773751983704,6.90057537620663,,
13.60035,,,,,,,0.792897327996874,,2.51268902924853,4.24082591505903,4.5833992379834,,,,,,5.84906384442836,6.34609048633084,,
14.200375,,,,,,,1.42264916857882,,2.89102562622452,3.88489817614363,4.79224117203289,,,,,,5.2774898709194,5.78899445597387,,
14.800375,,,,,,,0.995834694330464,,2.79635211915544,3.03415554179433,4.43570571344956,,,,,,6.71621850776621,6.96024500917953,,
15.4004,,,,,,,1.87367023982034,,2.67935959604971,3.52190570634923,4.44722202912387,,,,,,5.18745707608495,6.71660075945575,,
16.0004,,,,,,,2.13671457272137,,2.59138344659732,3.15356807766338,5.46439087880291,,,,,,4.83874020751586,5.93014328721232,,
16.600425,,,,,,,1.98225896126248,,1.74449773145889,3.21220626382149,5.19149057242454,,,,,,5.39515976553622,6.95282820674777,,
17.20045,,,,,,,1.28943519162971,,2.77530008902399,4.38305106055804,4.19503178693659,,,,,,5.30973984541432,6.10786615676964,,
17.80045,,,,,,,1.66266771153986,,2.18242491374261,3.75636987305244,4.11254676212916,,,,,,6.10674404595099,6.31087104326791,,
18.400475,,,,,,,0.694082087565611,,2.48858459530218,3.84772474238348,5.27807296571927,,,,,,6.02753135495715,5.97929597030199,,
19.0005,,,,,,,1.69948660637916,,3.8329554021992,2.97929743325825,4.2091012121141,,,,,,5.96994971116377,5.56276822746685,,
19.6005,,,,,,,1.79008479248759,,3.28351436896983,2.7296033420092,4.04541949611083,,,,,,6.46727470728169,6.18099260519432,,
20.200525,,,,,,,1.37076390528975,,2.44422650590087,3.13102915803763,4.52931665908649,,,,,,6.34974717411428,6.90426239467421,,
20.80055,,,,,,,1.15529703365809,,3.1025729513659,3.4246204179111,4.48514221411569,,,,,,5.72525317877033,6.92790374519731,,
21.40055,,,,,,,1.44668303033489,,2.73413761793962,3.28620836697375,4.38198531308971,,,,,,6.16517464578914,6.49782918139306,,
22.000575,,,,,,,1.54990019634657,,2.56171441042143,3.88673877802947,4.71439397797523,,,,,,5.15978034618806,6.36752403679615,,
22.600575,,,,,,,1.47217196767923,,1.8524915539901,4.48697748799285,4.47199238326432,,,,,,5.10444873511276,6.77258258149278,,
23.2006,,,,,,,1.83522148418551,,2.14714862335331,3.66922553969565,4.63295096476859,,,,,,5.56521061458346,6.24475567016108,,
23.800625,,,,,,,1.33943296227491,,2.81706394538912,3.86841686058244,4.12472072743302,,,,,,5.50359227294747,6.93312449065123,,
24.400625,,,,,,,1.35875766566053,,2.59729846732582,4.05116438741936,4.31296999736456,,,,,,5.49694657378754,6.46228501136299,,
25.00065,,,,,,,1.51966023430988,,3.21664945572569,3.39746797707983,4.29551807131226,,,,,,5.82083359104972,6.09107580281479,,
25.600675,,,,,,,2.27500896664485,,2.10364416924605,3.60055398075913,5.3330534941368,,,,,,4.25776598459458,6.62878884097793,,
26.200675,,,,,,,1.52010369516516,,2.165673813011,3.69097134012018,4.67164994792913,,,,,,5.5790589324925,6.82977349524664,,
26.8007,,,,,,,2.11276606979626,,2.61622615965957,3.26313610505271,4.08085140213952,,,,,,5.75170344111695,6.46109105875407,,
27.400725,,,,,,,1.13895936618334,,4.01208842939218,3.89647873562262,4.2385597959427,,,,,,5.10727458561715,5.98854492474573,,
28.000725,,,,,,,1.1448605105908,,2.66291567285017,3.8249749332411,4.5366660156166,,,,,,6.32544097687187,5.44453049078942,,
28.60075,,,,,,,1.70192051421753,,2.88844455940165,3.76604740992195,4.32253882814008,,,,,,5.01560169881077,6.75786034874338,,
29.200775,,,,,,,1.98729015022709,,2.0972771386592,3.69397905938344,4.25004503368929,,,,,,5.08687717460207,7.50165186441766,,
29.800775,,,,,,,1.47161453953839,,1.86752261031295,4.12664454856245,4.94627872026752,,,,,,5.32673213188864,6.34255563065824,,
30.4008,,,,,,,1.63579186934033,,2.97095639124448,3.52410251713212,4.15998569956171,,,,,,5.71018808638516,6.35033246333057,,
