Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.610692804612136;0.295896199896766;0.50808778666711;0.734502434660846;0.568727517518374;0.454190721303736;0.60653931265716;0.450968192554826;0.579586036911668;0.57897408200945;0.5490933491124;0.585600522588155;0.458139699879487;0.41814302486775;0.405893128205437;0.498975501117351;0.538032319786307;0.542019698408744;0.47409147075181
Primary somatosensory area, barrel field (R);0.610692804612136;1;-0.133476654575671;0.757894120370961;0.404935534996568;0.907012615715716;0.828252640952708;0.746199949206832;0.896125611628554;0.892254443844142;0.668803979672419;0.801273600719836;0.838736858166146;0.819623420861556;0.819025509723807;0.67348335316946;0.916457259424742;0.947928534288513;0.890873710647965;0.898299524935449
Primary somatosensory area, lower limb (L);0.295896199896766;-0.133476654575671;1;0.249776289887987;0.40305107995984;-0.0860701641941795;-0.139054873952453;-0.0133087777965563;-0.202585918494796;-0.0631034986193777;0.0371657178564883;-0.0428541716097602;0.00052202132632681;-0.153365016213359;-0.166945958361586;-0.088202439603506;-0.162534709103213;-0.199933788414091;-0.103866150020058;-0.201650506614846
Primary somatosensory area, lower limb (R);0.50808778666711;0.757894120370961;0.249776289887987;1;0.513800590185189;0.777652082121976;0.658076491284581;0.625494770660425;0.737894367665967;0.79903133514999;0.624087093829687;0.613278030052922;0.750045200581949;0.700812418168469;0.694674845011285;0.592879749473909;0.767288469293131;0.739942385750471;0.777938836282093;0.705018035391313
Supplemental somatosensory area (L);0.734502434660846;0.404935534996568;0.40305107995984;0.513800590185189;1;0.47081171710641;0.395956588487745;0.617521813330305;0.321877500367716;0.46301539569676;0.558886846306486;0.459349257824916;0.537302307060835;0.467361214728279;0.349968770277218;0.403355876599499;0.356068037799592;0.362864685229154;0.393100749482952;0.321743024619518
Supplemental somatosensory area (R);0.568727517518374;0.907012615715716;-0.0860701641941795;0.777652082121976;0.47081171710641;1;0.848078739849987;0.761824954938538;0.902129215689745;0.918139833738677;0.62121467887608;0.809404093982495;0.892670747036791;0.848838764047334;0.853731635911043;0.673440733829745;0.92208944751082;0.922954743592624;0.922920435594216;0.892754335666926
Olfactory areas (L);0.454190721303736;0.828252640952708;-0.139054873952453;0.658076491284581;0.395956588487745;0.848078739849987;1;0.831513325211169;0.927319587094136;0.914306610695742;0.655026440899164;0.769843951104688;0.829251950619592;0.829201856508755;0.835513766787437;0.658560736160391;0.908497215582875;0.85570766593416;0.857326413097201;0.875599150144107
Olfactory areas (R);0.60653931265716;0.746199949206832;-0.0133087777965563;0.625494770660425;0.617521813330305;0.761824954938538;0.831513325211169;1;0.773295858084281;0.834860979841176;0.755079759840856;0.815563662303682;0.842004596488938;0.793571288578777;0.724116396280381;0.687856992186504;0.779131687293011;0.742685271438967;0.757168179964768;0.761466719300893
Hippocampal formation (L);0.450968192554826;0.896125611628554;-0.202585918494796;0.737894367665967;0.321877500367716;0.902129215689745;0.927319587094136;0.773295858084281;1;0.953078669564487;0.610375084618235;0.774819278127409;0.85363125138214;0.843354615839217;0.89694333611797;0.670634827611363;0.98687506402224;0.944996621897745;0.946122294994313;0.950625697739172
Hippocampal formation (R);0.579586036911668;0.892254443844142;-0.0631034986193777;0.79903133514999;0.46301539569676;0.918139833738677;0.914306610695742;0.834860979841176;0.953078669564487;1;0.698513908602323;0.812098341019197;0.881601218766603;0.842227080030313;0.851919630066943;0.694627171873462;0.968922463564225;0.933302205432271;0.952977079986679;0.929157504023825
