Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R)
0.4,,,,,,,1.3383141676607,,2.08268668943079,3.69533923307159,4.62106755517752,,,,,,5.34129911933605,6.28576755145312,,
1,,,,,,,0.87459586408392,,1.67416102402446,2.9261718673854,4.86226296223019,,,,,,4.85101492307336,6.03462098436676,,
1.600025,,,,,,,1.38891275597016,,2.50652230906383,3.61489078300758,3.60246536421367,,,,,,5.53760151882869,6.17239114216928,,
2.20005,,,,,,,0.528467312133688,,1.68247347312421,2.64665701425035,3.63710646978879,,,,,,5.04567205672454,6.33558592776523,,
2.80005,,,,,,,1.52482099793885,,2.54382108354325,3.08834514408362,4.83381217097863,,,,,,5.70035975846503,7.40834724056318,,
3.400075,,,,,,,0.956867570222555,,2.11509005076257,3.2884800917769,4.32901483517326,,,,,,5.16108854858363,6.46993765750291,,
4.0001,,,,,,,0.868739773524261,,1.75288783348203,3.27225386486462,4.76959670830184,,,,,,5.00822146588379,6.8965523460818,,
4.6001,,,,,,,1.66495061033482,,2.55667202937392,3.8607487619691,4.06887913915001,,,,,,5.27807695149699,6.71466832916441,,
5.200125,,,,,,,0.873101417661388,,1.73807966838436,3.03260564834252,4.71357704275209,,,,,,4.82356596122863,6.26038207448509,,
5.80015,,,,,,,1.45279061242527,,2.09796783351588,3.10692408751092,5.2411603831967,,,,,,5.48370329989803,5.97630580814132,,
6.40015,,,,,,,1.54196101688406,,2.64360452409852,4.22143918719815,4.78962248191052,,,,,,5.72829824905597,6.45368865728029,,
7.000175,,,,,,,0.444856208332243,,1.35399963822221,2.55391857454328,4.57951695637068,,,,,,4.76400697407189,6.58615299999438,,
7.600175,,,,,,,1.19118644521024,,2.34553123207957,3.12645433550312,3.91269231258055,,,,,,5.59157105403377,6.14247971815213,,
8.2002,,,,,,,1.49010286244772,,2.20817458422838,3.83007684552809,4.41146538936136,,,,,,5.33138636152485,6.95668940269886,,
8.800225,,,,,,,1.38955659335298,,1.63306237564856,3.4412479135182,4.1397552848626,,,,,,4.89901772704823,6.61337680288841,,
9.400225,,,,,,,1.57932813595414,,2.36442834183987,3.43657402238072,4.08748272225534,,,,,,5.47534067512721,6.63070784693631,,
10.00025,,,,,,,1.27254251783804,,1.75443042256484,3.71146345283902,4.29874580316866,,,,,,5.06473101580781,6.99225955467406,,
10.600275,,,,,,,1.08683502688678,,1.85038957304313,2.91803418733895,4.50645252224463,,,,,,5.24512186519909,6.7435218373245,,
11.200275,,,,,,,1.92180680375916,,2.36369626919629,3.45868572871126,4.6333386329126,,,,,,5.40002190083523,6.60794101226447,,
11.8003,,,,,,,0.7322070339835,,1.3835246437563,2.91005777553491,4.08815179073218,,,,,,4.79473778127628,6.05884133643299,,
12.400325,,,,,,,1.7968091809341,,2.34450572577284,3.79234044555814,4.48819829657788,,,,,,5.05589245310949,7.0221764709099,,
13.000325,,,,,,,1.13914276339196,,2.17975242445527,3.74134753693494,4.1153237348973,,,,,,5.47816547129547,6.9429399253961,,
13.60035,,,,,,,0.350777372778128,,1.47461525596527,3.33157726042619,4.2596069125901,,,,,,4.78570837401638,6.28121489995303,,
