Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;-0.160202734462078;0.772666286088403;-0.389480013649698;0.21750766383371;0.119710618682588;-0.0665303676089673;-0.138733019554499;0.388030486580949;-0.0450174175685518;-0.110544021198946;-0.0467467908910336;0.0494245301835547;-0.0954373708488109;-0.0855468475498831;-0.0716410274945183;-0.151469539396112;-0.296555320832219;-0.0944493508664662;-0.146301853403621
Primary somatosensory area, barrel field (R);-0.160202734462078;1;-0.0881846796616725;0.7628750607796;-0.165101192472791;0.062242464177356;0.1722148545274;-0.147241292804645;-0.308958280451126;0.33547596149774;0.0559907758465973;-0.0453064379903401;0.0460460641159288;-0.000972522946457073;-0.126806605600803;0.045533012609637;-0.335530881075919;-0.506868887775786;-0.357901249211898;-0.238019842784143
Primary somatosensory area, lower limb (L);0.772666286088403;-0.0881846796616725;0.999999999999999;-0.238610611994711;0.0124334179166006;-0.0878618765813191;-0.113100447425041;-0.257729346424319;0.46170431147259;0.0364780863617209;-0.106211798660832;0.0357193427632531;-0.0329417822612961;-0.102240664348851;0.0944658949763324;-0.0686387384879094;-0.00832225453785804;-0.261195194488353;0.0331289662238951;-0.184565983363884
Primary somatosensory area, lower limb (R);-0.389480013649698;0.7628750607796;-0.238610611994711;1;-0.41930947266661;-0.217470482131139;0.0769740912035636;-0.23827631312239;-0.161660140586278;0.334844323668498;0.114853938581829;-0.0495238773402502;-0.128887004153866;-0.0277599991893754;-0.101793494112435;0.0250475705177929;-0.00402517705053954;-0.205705166580301;-0.168191998817836;-0.115126806090001
Supplemental somatosensory area (L);0.21750766383371;-0.165101192472791;0.0124334179166006;-0.41930947266661;1;0.92136656019008;-0.0950353567304907;0.266385757106929;-0.324627448640253;0.157151487522915;0.0189992437289881;-0.16061589725027;0.258043666893684;-0.0325445737355115;-0.282676866319078;-0.0149133435356266;-0.496566538265435;-0.151757570326516;-0.317975179920005;0.0433383554437814
Supplemental somatosensory area (R);0.119710618682588;0.062242464177356;-0.0878618765813191;-0.217470482131139;0.92136656019008;1;-0.00748662011346536;0.298214658449051;-0.529179794365475;0.136413366361289;0.104676123078707;-0.105807243744057;0.318603486947462;0.0671858134010808;-0.299314353115968;0.040007020574243;-0.663164420984543;-0.337393896329668;-0.423940794764446;-0.0946859180265537
Olfactory areas (L);-0.0665303676089673;0.1722148545274;-0.113100447425041;0.0769740912035636;-0.0950353567304907;-0.00748662011346536;1;0.00617168790815465;-0.146921217787612;-0.00274770394627661;-0.0988334401843079;-0.117433479420217;0.134794114958657;-0.0624328368950213;0.0721392482370562;0.0856620711379306;-0.251137590999946;-0.256193097608067;-0.266432684057455;-0.1907331298267
Olfactory areas (R);-0.138733019554499;-0.147241292804645;-0.257729346424319;-0.23827631312239;0.266385757106929;0.298214658449051;0.00617168790815465;1;-0.427886735003953;-0.191181345022468;0.117200801423245;0.117476974073778;0.199582370993642;0.104945315316809;-0.131322197881673;-0.0129545199040488;-0.294660505705666;-0.138838325837977;-0.265281702237752;-0.269509685311971
Hippocampal formation (L);0.388030486580949;-0.308958280451126;0.46170431147259;-0.161660140586278;-0.324627448640253;-0.529179794365475;-0.146921217787612;-0.427886735003953;1;0.221631225737672;-0.309574337769786;-0.132728018091649;-0.308423949405924;-0.236085416048395;0.0680422857167095;-0.156122314751634;0.514269701790996;0.271269209920181;0.278062580665226;0.177134393631975
Hippocampal formation (R);-0.0450174175685518;0.33547596149774;0.0364780863617209;0.334844323668498;0.157151487522915;0.136413366361289;-0.00274770394627661;-0.191181345022468;0.221631225737672;1;-0.232223426596173;-0.313541885456352;-0.118348436401352;-0.269612862504683;-0.163502350671344;-0.0490247108656871;-0.0118104170310393;-0.075493971111389;-0.248765758593741;0.0958850078562191
