Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R)
0.4,2.41023899208589,2.25929732994557,4.30543007304755,,3.46595091656802,6.01962961314642,6.5209278006776,7.42894881005776,7.53008651620497,10.2155822417042,11.2360400906462,12.7985106364517,13.2869760597674,,,,13.7057286434647,14.7349213717292,16.6184246895786,16.026964671795
0.8,2.05865328743862,1.48291617726209,4.67568154932155,,3.29656959417366,4.24643678415635,5.68098865106502,7.0186482614825,7.64087206632208,9.72722837943576,9.81292619217826,10.9070573033526,11.4285442432126,,,,13.8306283618546,14.3533107549712,16.5600925244119,17.1275850310727
1.2,1.84168456657953,1.41347775776469,4.39821638114267,,3.51879378259396,5.56265489208941,5.99746556570846,8.04928181236744,7.5298153311068,9.84100228239209,11.111879422408,11.7969493796203,13.1759427864667,,,,13.5081299843395,15.0387144165899,16.2097450215038,17.4676719526026
1.6,2.02677913711424,1.71371310179811,4.73769894412769,,3.4562287275199,5.67918492161954,6.68957057092444,6.91732517072829,7.16814078855543,9.73160056780143,10.8797961662303,11.885212750423,12.5281387242333,,,,14.8623243168865,14.0463740815352,16.1168322941555,17.0981877041616
2,1.79105909526605,1.89206252185168,4.13137081340048,,3.46525917997422,6.68867607778905,6.45881074536158,7.29400798658122,7.41834325636872,10.1456187323371,10.6221425440369,10.9447967327,12.9312319533855,,,,14.1139472460312,14.6406096474392,16.4860266508508,17.3378823451756
2.4,2.55980406934333,1.65707340642033,4.44217093015165,,3.46001783516941,4.89459710387236,6.74446683906883,8.06331631841127,7.13109660645199,8.84905078591861,11.0664559678283,12.5833148505627,12.8590546984302,,,,14.1063482774498,14.9835048805328,16.7336379027834,16.750169293669
2.8,2.59257892353952,1.79524736215027,4.34236808718836,,3.43293047259284,5.27212135922864,6.56034622557953,7.71710153036085,7.29384950265814,9.34522122840474,10.3808567959094,11.5101737982283,12.1708435083549,,,,14.6443647298514,14.3154791151524,16.1176849201231,17.1850230274321
3.2,3.18047090018319,2.0513849325265,4.03732573474997,,3.44003922885061,4.96056905179732,6.01689582817569,8.11104728849658,7.23915884039342,9.84036442663158,10.8369764160153,11.5970089678324,12.4857824202614,,,,13.5390498797453,14.5036872346036,16.3540673289528,17.0132357497227
3.6,3.09405838243219,2.2083457029232,3.95355493413631,,3.40048560908138,5.569675773495,6.98621218309125,7.94605979282178,7.4364764526593,9.41959435408011,10.7800140496606,12.2874075507349,12.8775260420288,,,,13.9373425308066,15.0956883444788,15.4402329937014,17.0139701005786
4,3.02866623427853,1.60907307815713,4.51809078736745,,3.4241653807065,5.10167449545352,6.82241050336268,7.99279579520013,7.10912440151787,9.46871319132568,10.5939379593033,11.7398395793124,12.3995027438904,,,,14.4305814779585,14.2878087941845,16.8336021489933,16.2141337382099
4.4,2.49952649742852,2.12809988301629,3.97901814584058,,3.44200506501082,5.42899766095543,6.85730287255506,8.13250932709153,7.48163181452766,9.06817424610963,11.2021915225504,11.9573514717484,12.9306245103527,,,,14.5206747107916,15.1415458930461,16.4151101467752,16.4834903248734
4.8,2.18470710884445,2.06576977959558,3.93536683478333,,3.5653905889975,5.66139237602437,7.41811329168755,8.98684614093878,7.72754330324556,9.78744917591181,12.5265143923712,11.7509464906723,13.6838209258946,,,,13.6492294649843,15.0320877499734,16.2715145026565,16.908244191577
5.2,1.48996829018746,1.55075961007675,4.89539302535582,,3.38207419058659,5.79441581774896,5.51179810692165,7.74831641130887,7.09245261118819,9.67061236668317,10.1426223856296,12.3465371183013,12.4009534390069,,,,14.3154704222273,13.9326405736983,17.0043639216738,17.7211058564035
5.6,1.06504251643416,1.31458502013829,3.67919429204025,,3.53678800100337,5.15933465036557,6.61455775773445,6.79008302011438,7.68647950555935,10.480290665228,11.6766331743433,12.1027259455244,12.8949949640734,,,,14.3693592153579,14.8545209624603,16.9171549695966,16.9818566642116
6,2.31503054572672,1.45065685511026,4.43309749396271,,3.38052263811324,5.62333766601001,5.81705244856757,6.67447530758412,7,9.36681486713908,10.9355312269516,11.9825058880527,11.431051899685,,,,15.3860314042204,13.7278946684004,16.7155231550494,16.9609231584847
6.4,1.11577277605861,2.08496390020362,4.2426076024894,,3.56243305570054,5.29416617148692,6.86863950391845,7.69980650591423,7.93998285314783,9.97468031535012,11.6087428926855,11.5012307834055,12.6579037768374,,,,14.9429979524039,14.3082009962332,16.0707171206965,17.206858515537
6.8,2.47296712783676,1.81140450979322,4.07015544782474,,3.39460427294853,5.60089036498234,6.6968559267782,7.90166874772237,7.17041895185942,9.62378221155844,10.660658086282,13.2340280048236,12.3954689307837,,,,15.2389361348225,14.540740102176,15.3422214977555,17.2553920362192
7.2,0.931222455096982,1.67968174353407,3.72293623286494,,3.5604237460653,5.5799924923828,6.45976463529917,7.64840109195237,7.89633763396578,10.9457835949352,10.378094598636,11.7919675800102,12.5297671078281,,,,15.1112783535085,14.4469251416202,16.5916067849748,16.8645307922816
7.6,2.67329446021231,1.8296110157617,3.54579983742381,,3.56176662201201,5.96852731180613,6.92451233652135,8.29790075222387,7.41347906466659,10.4186927288338,10.965565764907,11.9477284657632,13.2889796893964,,,,14.521684426498,14.2272686938535,15.8703655575385,17.3695561312327
8,1.85160183035526,1.92511725230278,3.74376843408468,,3.49758367898915,5.91195946032737,6.90135965462683,8.08997210434879,7.4687064096104,10.1788639881572,10.558178238917,12.0319380168751,12.686605175392,,,,15.0521781040903,14.5007255046655,16.6808331699919,16.7423027799937
