Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.81074844814932;0.615117105671343;0.768964229620478;0.165517844602173;0.331735519123012;0.61158832731104;0.761834563089398;0.159883073291118;0.29995642389978;0.430917506704071;0.615573312688455;0.297528971555927;0.594828149810311;0.177409519264058;0.292450456166931;0.314497921593683;0.337398887297992;0.399000424173015;0.283395705547092
Primary somatosensory area, barrel field (R);0.81074844814932;1;0.429751440145029;0.760560989676696;-0.261781944129378;0.204221108080434;0.500392029368028;0.81710230194117;0.143692774154846;0.768678981709688;0.258169161104113;0.62501749586792;-0.056685354426505;0.578737575732611;0.0961727568445564;0.213996318598448;0.750981243674762;0.792044246060839;0.757748448550862;0.687041324860491
Primary somatosensory area, lower limb (L);0.615117105671343;0.429751440145029;1;0.68465747969997;0.147625314099882;0.341658983562767;0.432930747129526;0.380734354996448;0.67005151020774;0.132081560158047;0.354520191104334;0.312409617579405;0.310002747988268;0.422326297403663;0.167677003133951;0.258657665736334;0.0878107846381404;0.122229394893583;0.163420376163399;0.0982882390732069
Primary somatosensory area, lower limb (R);0.768964229620478;0.760560989676696;0.68465747969997;1;-0.0193203736577145;0.305980624794877;0.509048848702926;0.613888901193065;0.0944439229200817;0.436577270615617;0.33708281526339;0.538410830786432;0.149103545425974;0.637042731715638;0.180884676775746;0.388609732743136;0.436522562433439;0.479241048906476;0.481600920316734;0.425272788787786
Supplemental somatosensory area (L);0.165517844602173;-0.261781944129378;0.147625314099882;-0.0193203736577145;1;0.601202288540985;0.442281834469122;0.0387648375763269;0.0148286043116047;-0.567970574960014;0.562276459655574;0.0706491003022676;0.860421673913162;0.109465932073234;0.159642615529561;0.155972543148576;-0.374219006531203;-0.590647878575828;-0.237087678569216;-0.459042693180846
Supplemental somatosensory area (R);0.331735519123012;0.204221108080434;0.341658983562767;0.305980624794877;0.601202288540985;1;0.690935042186621;0.381797398254182;0.168144351682778;0.0160064081638031;0.733223664394942;0.263875031306284;0.749018590866581;0.320686271012276;0.221413806929957;0.231885119572868;0.109040009776579;-0.0743176123156202;0.21300688682259;-0.0476633459959512
Olfactory areas (L);0.61158832731104;0.500392029368028;0.432930747129526;0.509048848702926;0.442281834469122;0.690935042186621;1;0.6134284856454;0.193546182292641;0.224889280169919;0.854599368377596;0.503228489784492;0.687953519738691;0.550996061730469;0.210465034399692;0.31327275192487;0.338897841007219;0.203493465609599;0.438156905661817;0.217521040171174
Olfactory areas (R);0.761834563089398;0.81710230194117;0.380734354996448;0.613888901193065;0.0387648375763269;0.381797398254182;0.6134284856454;1;0.149892696157218;0.549046557920842;0.402397720745908;0.616190721774527;0.195627982999443;0.555778036064036;0.121695654308702;0.218967528580235;0.611577129638868;0.569869749984508;0.662475102330608;0.505475337473299
Hippocampal formation (L);0.159883073291118;0.143692774154846;0.67005151020774;0.0944439229200817;0.0148286043116047;0.168144351682778;0.193546182292641;0.149892696157218;1;0.198332713260521;0.168143305618223;0.064689223824796;0.149234537136289;0.0922115083229532;0.0176679714999899;-0.0167186583214334;0.139456873956611;0.117608648123992;0.153911501393181;0.114756067156126
Hippocampal formation (R);0.29995642389978;0.768678981709688;0.132081560158047;0.436577270615617;-0.567970574960014;0.0160064081638031;0.224889280169919;0.549046557920842;0.198332713260521;1;0.0185136635799893;0.383839282682076;-0.362132418943821;0.336634896135449;-0.0354456350374067;0.0491692456242857;0.918580983449247;0.943855350926393;0.830956317645059;0.858973349046839
