Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.426685619791451;0.4012888143555;0.421844495610089;0.348253064215682;0.0423624352445146;0.181783149158586;0.333288058714735;-0.0505630912995136;-0.628739306043471;0.112310225076164;0.176430081686275;0.2629821909874;0.133843810018741;0.0927777479626657;0.0864749928591056;-0.72298466515178;-0.579499522436235;-0.643585361577995;-0.559403514891819
Primary somatosensory area, barrel field (R);0.426685619791451;1;-0.145168528838608;0.1342798645224;-0.506172057489586;-0.486424968719751;-0.50808255173511;0.153007656153659;-0.243110688480727;0.306275043739645;-0.567555097552619;-0.0863734115533783;-0.577314341036737;-0.252133192995275;-0.126826177413032;-0.213754808448692;0.0887677001769536;0.357459477561357;-0.0443614001726355;0.122166032495643
Primary somatosensory area, lower limb (L);0.4012888143555;-0.145168528838608;1;0.52863478854916;0.219156687214154;0.171724509095601;0.125341138555479;-0.124683339582394;0.651712583130791;-0.442886171243353;0.14209552182607;-0.0781541795676842;0.263110313588155;0.102478249934392;0.1038597959607;0.11939436765687;-0.603381477995331;-0.483908976775149;-0.547225206042072;-0.437465435246414
Primary somatosensory area, lower limb (R);0.421844495610089;0.1342798645224;0.52863478854916;0.999999999999998;0.0674444765907699;-0.0185868604216653;-0.0769852434442706;-0.16900499343616;-0.172972817308468;-0.370332559764202;-0.0776605801483741;-0.0290957853369152;0.0245195312705241;0.19742213933006;0.0967904530183689;0.241916527890297;-0.486907086302247;-0.299503945658175;-0.494202948327123;-0.300805399133035
Supplemental somatosensory area (L);0.348253064215682;-0.506172057489586;0.219156687214154;0.0674444765907699;1;0.692479327344147;0.686674959760829;0.19820170165936;0.0354299095671967;-0.769981683654622;0.685883704263583;0.175070186358545;0.88919343081529;0.22890740871062;0.174206230447823;0.190323888895072;-0.511170827298509;-0.821982930420096;-0.309994266477996;-0.573389150708949
Supplemental somatosensory area (R);0.0423624352445146;-0.486424968719751;0.171724509095601;-0.0185868604216653;0.692479327344147;1;0.624102044028231;0.0837256100635188;0.0759111841474862;-0.46690314217098;0.672517555864358;-0.0266347287737597;0.754214676061119;0.0610883052147488;0.175958468043263;0.121703991964487;-0.369220016911983;-0.639372155706776;-0.233594641277525;-0.511817329127512
Olfactory areas (L);0.181783149158586;-0.50808255173511;0.125341138555479;-0.0769852434442706;0.686674959760829;0.624102044028231;1;0.071593990911113;0.0290747272096097;-0.603971406553402;0.823535735036399;0.039151207200645;0.799712186209734;0.133409594924682;0.144896468193437;0.14086828185103;-0.461249218942;-0.684148078320019;-0.328874278532874;-0.527305227277312
Olfactory areas (R);0.333288058714735;0.153007656153659;-0.124683339582394;-0.16900499343616;0.19820170165936;0.0837256100635188;0.071593990911113;1;-0.123838015201402;-0.24360246278303;-0.0138672839737983;0.0574900769363475;0.0978130082348116;-0.0989412310492883;-0.0188605260434777;-0.0947316631974871;-0.179484330095523;-0.222553896662874;-0.138737720530748;-0.253544371161952
Hippocampal formation (L);-0.0505630912995136;-0.243110688480727;0.651712583130791;-0.172972817308468;0.0354299095671967;0.0759111841474862;0.0290747272096097;-0.123838015201402;0.999999999999999;0.016850773598741;0.0558002728933269;-0.160534447523078;0.111614573299082;-0.119877279852568;-0.0221652265313784;-0.103846178553398;-0.0982291228216545;-0.116673139614066;-0.0994910511769908;-0.0913693654746383
Hippocampal formation (R);-0.628739306043471;0.306275043739645;-0.442886171243353;-0.370332559764202;-0.769981683654622;-0.46690314217098;-0.603971406553402;-0.24360246278303;0.016850773598741;1;-0.585317343757784;-0.292933744371019;-0.747217380667151;-0.388981825996527;-0.230126904781314;-0.293380404110817;0.805964467741587;0.870382343675651;0.569660945623218;0.70387704475651
