Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R)
0.4,0.623851025563491,2.09826114977109,,,4.78924294822568,3.85764099978617,6.21757391997811,5.84989255897173,7.02247945431379,8.12735636451801,11.3574394822526,10.3730067863414,12.08062026271,12.6178220701454,,,13.1073942645613,14.292803890817,14.9622489873063,16.1471302165605
0.8,1.04353121461955,2.19511202285822,,,4.71805266079104,6.31151752624008,6.44789843901069,5.84584459234338,7.29221046182373,8.3920916678723,11.840147301568,10.3525053879299,11.8250441026398,12.944418400245,,,13.1119903776931,14.2454036739672,15.2786031215675,16.4473761370886
1.2,0.716823619786941,2.03749174517261,,,3.84404471888481,5.30272895806395,6.37647637319536,6.18066108238759,7.16020085039915,8.17316509187095,11.4751876971218,10.4683172100819,11.2280842986876,12.2943373981639,,,13.2128503895869,14.205514091927,15.231111794992,16.1584266228078
1.6,0.848454669725213,2.16925149462695,,,3.69825069324011,5.93979989245261,5.94841873060278,6.13171993762636,7.28139593162559,8.38625420603791,11.6928938406673,10.1394866509968,12.1549837489284,12.3700166484479,,,13.2134095522542,14.2873039255648,15.4320281863381,16.2510775153067
2,0.686268090312181,2.20095880959334,,,4.12525379170455,5.33098052706718,6.1416778908249,5.99079464169885,7.0430865547891,8.16977947215236,11.0665060201018,10.017302078749,11.8554072270301,12.2094325855071,,,13.1712678258956,14.1516826791522,15.0442114096354,16.2751815351253
2.4,0.744242707218669,1.94975146150529,,,4.69986804989767,5.1895851368921,6.40548157347344,6.42374004044415,7.09600328907314,8.24633003885342,11.6518701972728,10.2774521649715,11.6706571347073,12.327736795517,,,13.1970687341645,14.4382565571523,14.8764319058807,16.5114097519738
2.8,0.828682186339647,2.34058913081473,,,3.55180622759805,5.83946465796641,5.99018883131912,6.50114799529394,7.05668250947796,8.28943644885758,10.9541192047766,10.5619440300578,11.9391445562534,12.4633756259296,,,13.2851567307496,14.3774129162372,15.3134165467998,15.8458978138942
3.2,1.20536364057874,2.44174987481915,,,4.94406291239805,6.55653690181069,6.69897658208728,6.17779143033285,7.28911811810168,8.47732151332287,11.4143598083151,11.2849637509138,11.7752324294969,13.4711195278094,,,13.4446205655598,14.5290036844576,15.3672416601883,16.5615330990969
3.6,0.750367580054518,2.21658440138521,,,3.34646320954936,5.87438655558604,6.47364797588151,6.28611704589451,7.12086082299735,8.21284608307244,10.9181567409254,10.3695526817184,11.4903728906501,11.8800199982035,,,13.2379970014957,14.4299256821111,15.2064711734192,16.3304983884162
4,0.701606909347089,2.12438317075495,,,3.8714220495292,5.55331021483687,5.41785123690865,5.68738854303482,7.16342237879987,8.34885927279529,10.6626145233223,10.3687938686851,12.2585234852447,12.5422093009609,,,13.1191095578801,14.2390738612898,15.4248092952307,16.448933132074
4.4,1.00670030423474,2.30851848494623,,,4.16804844840641,4.45301837011172,5.90843921820749,6.36466812385029,7.03277175113308,8.15913555171239,11.6942240368376,10.3742728822434,11.7532095017039,13.138122445329,,,13.1328442297938,14.1570291464917,15.1017965598987,16.4968812156128
4.8,0.812854361869632,2.15781108639741,,,4.94771171103206,4.99158721613674,6.22419650152818,6.01609472319012,7.11489375860783,8.32790768211034,11.3293799346629,9.88905175876896,11.8999138185939,12.4807029898208,,,13.0505480990051,14.0645198177184,15.202723833244,16.3424129632255
5.2,0.894079502992502,2.07152742576954,,,3.85009575664909,6.36828786905616,5.30972717551591,6.17895086611029,7.29403833792105,8.22560620897856,10.6376592600411,10.1369263578011,11.728829459848,13.0846792608323,,,13.0820424837874,14.3430661741166,15.166732267574,16.3334209520196
5.6,0.769665595326155,2.13375056820481,,,3.76495617178546,5.16641572730426,5.91438785842695,5.94021140828468,7.18769830110972,8.28664350430749,11.0084259185938,10.8843528538423,11.9846378078422,12.5190434840431,,,13.1705459691624,14.2457820499999,15.5259480130522,16.5545720954142
6,0.929192365539341,2.18534407354666,,,3.90556048251214,5.09828173733114,5.5977004990313,6.30439015081505,7.0995111967735,8.02496802487074,10.8774271309504,9.96462391356188,11.0541579896788,12.0721210426953,,,12.9442734993654,14.2686564160954,14.8936380946989,16.2340058156363
6.4,0.817784259821034,1.96168796976563,,,3.93732402969362,5.1595180283657,5.668911935516,5.9711178875854,7.13147825372754,8.25684465308555,11.6020738318071,10.2404189793044,11.3826655416764,12.1216294375002,,,13.1961772674506,14.2205265468693,15.3826867538285,16.128708691473
6.8,0.799945655439511,1.84747719683636,,,4.42731185459059,5.0077743336729,6.04952243067058,6.01698617992689,7.10250386749329,8.13441624168841,11.060659419277,10.1713908260545,11.3754897390426,12.4388280423131,,,13.2271192399351,14.1967208881368,15.5132644399462,16.5090711055191
7.2,1.04338834643255,2.42740180746393,,,4.0600586040695,6.70774823426376,6.56828878930871,6.56195028465521,7.25125092117162,8.4319625918896,11.2365971767941,10.995101402199,11.919221432941,13.2974373275713,,,13.3616476160187,14.4029873693926,15.3984870782792,16.1933221548819
7.6,1.15099612246403,2.28163551112573,,,4.15726338762811,5.97545461549737,6.44027574949308,6.10941992239947,7.19136139240667,8.32104793966897,11.6549815433516,10.3216991985573,12.0406378924436,12.3517292151995,,,13.3364528523972,14.323797592901,15.048129168239,16.5173234216636
8,1.13352773880873,2.20374602826095,,,4.24772595842673,5.29364430800315,6.27672780426231,6.21242391121462,7.26710755801069,8.35337785113222,12.0224734951056,10.8553520254049,11.5579635335267,12.597308988831,,,13.213434474256,14.3413896650355,15.2528308806012,16.4087736598069
8.4,0.934658870911407,2.23240340221331,,,4.27103979011082,6.705447710751,5.74074083511517,6.19618888318634,7.09752913625156,8.13273121442264,10.7413561539433,10.3878736723664,12.6474931225969,12.2045303730724,,,13.2176738883861,14.4700218947211,15.1697865969288,16.090085778237
8.8,0.80593975111283,2.11686119236013,,,4.56977669948455,5.53299377991421,6.69830127303738,6.09708898981355,6.74082626600183,7.868573751392,11.466268685779,10.2162358424046,11.631855425325,12.832141581613,,,12.8179683013999,14.1306429316335,14.9369655583415,16.0473848390216
9.2,0.431118947351634,1.39270758923269,,,3.77911328772833,3.40555387693625,5.83400572852653,5.97918733392188,6.5487302799481,7.75247291933001,11.5681957020498,10.0300664369989,11.2126747963649,11.5418569670536,,,12.5029921752232,13.785266391408,14.5241902969665,15.8744201105841
9.6,0.866317383461171,1.91985819143449,,,4.23310483809942,3.94346039967728,6.31620731976539,5.75006130206357,6.96492187879714,7.84037978495819,12.0923279846265,11.1296526439736,12.013367196039,12.7339678868742,,,13.0097178528672,14.0482598668455,14.9308328452008,16.1637879504165
10,0.590398432956619,1.74933745716679,,,4.74344307530914,4.51073727782942,6.12601518489692,5.51917603782994,6.78240867669064,7.75674944500703,10.9676247261369,9.74303222573745,12.1465350597661,12.0777461290376,,,12.7475030393773,13.8870022989098,14.8866357007173,15.6127368111615
10.4,0.584815051650349,1.75961617463574,,,3.87306848204,3.63731394628926,5.96911540919258,5.77319049445304,6.79209734117587,8.08309788389409,11.031705478716,10.8001350156486,11.9336767407584,12.2245815084737,,,12.8622552582571,14.1561481059573,14.7770429554772,16.0911483382591
10.8,0.630462999626436,1.86988666177443,,,4.05905010174932,3.71229313000995,5.30995418010831,6.11731372348548,6.97479144098249,8.07575545908125,10.8349747277664,10.0414684068432,11.7994172588039,12.2300254802776,,,13.0950810161535,14.351194124364,15.1145662742272,16.3073961137133
11.2,0.788666104731971,2.23623023897654,,,4.83029112438339,4.88586286287979,6.00846018327718,6.33997588164921,6.99572722804226,8.08003277310193,10.9468826879693,10.7221831077862,10.8192909455283,12.5716946869447,,,13.1135851963881,14.2967581230335,15.3219201028946,16.4028188101323
