Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R)
0.4,0.692867107888887,2.13606191262178,,,4.42371771441993,3.91584569135896,6.11935916531341,6.3338949938583,11.2500214739478,12.4317585805282,11.0439142716366,10.8042440297443,12.2133668195785,14.3739684163169,,,17.387394830138,18.7754378426903,16.4658197370415,18.2335803050348
0.8,1.15233898716759,1.96247001954601,,,4.18873316084969,6.74087842913974,6.20182246872219,6.15710858114103,11.4497695403864,12.5878085801501,11.43703556159,10.6023593007694,11.8255069405467,14.6390467238196,,,16.8324576925542,18.0774080585714,16.7886742736538,18.4212473736104
1.2,0.916190676160486,2.07594067327226,,,3.35714698359321,5.63396384203799,6.42989623571131,6.74669158686361,11.7873122702528,12.6994310403088,11.2080256083371,10.9583546097953,11.3464296612102,13.8800132773367,,,17.8284145165075,18.6688625040718,17.1825430168934,18.3628852546215
1.6,1.02639533742885,2.23264909459189,,,3.12032237528193,6.355418271646,5.64384655242901,6.61573042282036,11.8825218817952,13.0421728400953,11.3869055240138,10.4902999792056,12.2664403659895,13.8779386204411,,,17.5799411433691,18.6418034233378,17.4673938256314,18.3610784647395
2,0.931559217930073,2.61210790620049,,,3.72365527716738,5.68416474232029,6.13531419947756,6.57649203893059,11.5953187324231,12.8414190149762,10.7902515936153,10.4687899062305,12.0352118335135,13.8095124210663,,,17.8511945934573,18.6668557446935,16.8543360653411,18.7283051145865
2.4,0.80726017534536,1.59759920544634,,,4.26607091217728,5.46193173112655,6.31439831531846,6.92032651785321,11.2580171493392,12.559991082185,11.3207537918668,10.6284734078807,11.7410682899282,13.760512031947,,,17.4506069031397,18.9722771399907,16.1233696628006,18.852715237039
2.8,1.05818058035196,2.7857645823432,,,2.9870537186144,6.25353979095592,5.77652267476657,7.07467012423559,11.3718303469627,12.9140144102431,10.6009444928432,11.034967568781,12.069411544854,14.1159270979911,,,17.9304680850932,19.0277163463679,17.2937030021371,17.6065412066128
3.2,1.10056474652279,2.07857430039876,,,4.26386260657474,6.94734387252966,6.25075821599133,6.31801596374006,10.7139572204671,12.092423897008,10.7858969023339,11.4880528786036,11.624985675991,15.1804985320589,,,17.1044003673448,18.1467018738408,16.486953199468,18.1024469246547
3.6,1.01135621545142,2.60307603063038,,,2.79811095707016,6.31670414184669,6.61879291115117,6.88933837166797,11.7535012711533,12.8940560442819,10.6085575092239,10.865725113072,11.6381674503364,13.1990319468069,,,17.9805827332417,19.3596041578712,17.1819350742203,18.7934855481716
4,0.923977155036615,2.35750513826592,,,3.40841857130848,5.937680264208,4.97590568164181,6.21246191193538,11.8714240940117,13.2736956889526,10.3229615628901,10.8629589472242,12.4429874355969,14.3513952701051,,,17.6257154957596,18.8328656803166,17.6827943304704,19.041967692485
4.4,1.23131634027761,2.48623810390647,,,3.62855747102177,4.58633944325152,5.51043395760255,6.83376923250082,11.0056945774636,12.2436618624824,11.3512119743585,10.7227073020823,11.8138322698071,15.1393720822092,,,17.1962727417919,18.1390267705128,16.5973894720523,18.7690043027496
4.8,0.98936582558098,2.24203822618053,,,4.59072212549794,5.24424638986885,6.0975688268632,6.50122132695233,11.4511020514912,12.9314259276031,10.9959994574552,10.2096913655326,12.0097952569529,14.099165425595,,,17.1543409129697,18.0862767349008,16.9745311610872,18.5982265277489
5.2,1.24389166719533,2.19724529050129,,,3.37570613345585,6.89454318089476,4.7937291147,6.75779970268406,12.2219244050408,12.8932584114136,10.287803669489,10.5788406920842,11.880956940871,15.2822921675554,,,17.4875662858294,19.0872365313306,17.0645563757784,18.7714822235974
5.6,0.895300219068749,2.14863188797974,,,3.20121315415696,5.44550524839992,5.59666762400138,6.40335906727442,11.6214530898112,12.7718406226316,10.6289407965455,11.3772096927036,12.0901534234126,14.1442929673715,,,17.465883310766,18.5402434211373,17.6931347839439,19.019441126678
6,1.52987687328404,2.85291888078991,,,3.56787224152242,5.45377712631882,5.4719971863729,7.04370912545945,12.1469216284464,12.8231983205471,10.6747427690481,10.5234952073206,11.2733601402075,13.7710481065854,,,17.5601123562254,19.3612750706106,16.7758861225607,18.9400655339889
6.4,1.17697267084267,2.014059263147,,,3.51442445922263,5.48642027272958,5.41875036848776,6.5654382085121,11.8909449461869,13.1269001657286,11.3949208438981,10.7448343171816,11.5468633366428,13.6759942224555,,,17.961035593494,18.891462053179,17.6638920009211,18.4444599791746
6.8,1.04964612186874,1.56208924614155,,,4.03096106530028,5.2837718916571,5.91106118019444,6.55528573142899,11.5957198113926,12.5657829907687,10.7414741091158,10.5991906272834,11.4963449896039,14.1200123819408,,,17.8476389538634,18.6222089409328,17.8190462978936,19.0945892952712
7.2,1.02080141517853,2.36100333177488,,,3.34738341481506,7.17527746019951,6.25412067056138,6.88024921528535,11.0433000822822,12.4097704978063,10.6958474256325,11.2774471172008,11.8657822177528,15.1059239263464,,,17.2869832469373,18.2291317497822,16.865881493988,17.6556610137612
7.6,1.42200654005396,2.32122839154721,,,3.58225570314475,6.3655039661388,6.27545621583601,6.50775977292873,11.3378824528626,12.5709910062487,11.2757407353422,10.6209618216136,12.0888980141477,13.6994106876006,,,17.6676556372158,18.4678775378191,16.3824445948163,18.7118898207274
8,1.32859882917186,2.01716540235829,,,3.65194684433631,5.54650786374944,5.9566559721584,6.58338653760582,11.4207278355192,12.5227484263077,11.6505275526716,11.2119855419702,11.5542442059251,14.0562566040979,,,17.1729347018005,18.3821113347206,16.7598296408032,18.3728924640029
8.4,1.23059381494912,2.4848012656148,,,3.81897081041146,7.27112035025662,5.377385949971,6.72353252823718,11.4660654789224,12.4442040179034,10.358334975935,10.8210360719563,12.8076649122435,13.651308450328,,,17.7083482488,19.2563179042829,16.9440622928592,18.1094568948001
8.8,1.06952155543548,2.28154698211803,,,4.20239246463472,5.90498665557889,6.92855192150182,6.65168683797968,10.5619721299989,11.8325652101173,11.1974626615121,10.6586411001367,11.7695967845543,14.8171440866384,,,16.6670091570449,18.4620014243847,16.5001442893062,18.12338586459
9.2,1.09730430481768,1.46624210652251,,,3.66473729734041,3.56589948030154,6.28144502266095,6.9537880433967,11.4838137915808,13.006272685483,11.6732768826552,10.8864411508951,11.6319936339191,13.335573681847,,,17.1785124145422,18.956125221434,16.5784639158273,18.9012682090568
9.6,1.09738805995664,1.64419941043497,,,3.76643071382372,4.01301984289866,6.25619852394976,6.21109457422825,11.047327756214,11.5821714332516,11.8523604252991,11.6908978729403,12.1356776534436,14.5585238115151,,,17.0669491963313,18.0743555525044,16.3688089689331,18.2421829550546
