Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.0071528656470026;0.259641181088592;-0.213414935014365;-0.0465469434545703;0.207334418090408;0.110348979008586;0.0365103334963647;-0.0100040634668195;-0.131635040075903;-0.103228576409485;0.0131547574090811;-0.0709085293333554;-0.137350747530659;0.124377784332873;;-0.171882774284782;0.253257724546299;0.0103737169982132;0.558666475736287
Primary somatosensory area, barrel field (R);0.0071528656470026;1;0.25938899775214;0.597731126465642;0.688178293274124;-0.729853010593903;0.325868532241551;0.335182517971869;0.589387043142485;0.599190215353359;0.437927838804698;0.582692597147262;0.290363340057903;0.0808202403780218;0.208368316405306;;0.745641930813696;0.325545862235992;0.675420827520555;-0.351142889538594
Primary somatosensory area, lower limb (L);0.259641181088592;0.25938899775214;1;0.329911371936177;0.457506961603988;-0.567077359112785;0.284809944303947;0.173710999130259;0.439914768191089;0.417870371104411;0.299850764345888;0.161479448942313;0.0116061242785636;-0.0526913004019418;0.124081711968334;;0.4320664049952;0.183271028006175;0.228960614539669;-0.115974736590785
Primary somatosensory area, lower limb (R);-0.213414935014365;0.597731126465642;0.329911371936177;1;0.434965473461737;-0.699584217359897;0.391007233994347;0.270725915031424;0.48942151290211;0.273069983964774;0.302093225424517;0.471813498486018;0.331039288303621;0.178060373096194;0.24248252910864;;0.569150884449906;0.034269548410299;0.449782292018115;-0.417334775962346
Supplemental somatosensory area (L);-0.0465469434545703;0.688178293274124;0.457506961603988;0.434965473461737;1;-0.715528259524162;-0.00854434234591633;0.361925697334236;0.451801312325281;0.806195684225335;0.197792017757928;0.551156615683878;0.128430830633007;0.114418482500548;0.267984423382307;;0.731311926189707;0.54433811220758;0.441280739648518;-0.241158869350666
Supplemental somatosensory area (R);0.207334418090408;-0.729853010593903;-0.567077359112785;-0.699584217359897;-0.715528259524162;0.999999999999999;-0.402172625300257;-0.368866257920377;-0.797684469304314;-0.744163684637601;-0.463901623985141;-0.576091432928912;-0.339522655101409;-0.292713562249278;-0.268629379629885;;-0.821417568230051;-0.0708400799646338;-0.502634710586744;0.593186694553803
Olfactory areas (L);0.110348979008586;0.325868532241551;0.284809944303947;0.391007233994347;-0.00854434234591633;-0.402172625300257;1;0.25157807795284;0.624932715148046;0.132026081137957;0.589712984574203;0.269183669158418;0.417863491368413;0.166713286680384;0.0155862403280812;;0.352210918306056;-0.265762397066911;0.264332935370584;-0.307805862863943
Olfactory areas (R);0.0365103334963647;0.335182517971869;0.173710999130259;0.270725915031424;0.361925697334236;-0.368866257920377;0.25157807795284;1;0.24842459650021;0.530026478544956;0.301681555137676;0.617169325829971;0.567610566644311;0.164919076306376;-0.0683418365584532;;0.316127585477818;-0.0523109321781863;0.373203459749433;-0.224627336242269
Hippocampal formation (L);-0.0100040634668195;0.589387043142485;0.439914768191089;0.48942151290211;0.451801312325281;-0.797684469304314;0.624932715148046;0.24842459650021;1;0.609854717373987;0.548711035603775;0.32616109501433;0.401948739245528;0.215752198192386;0.25971770094152;;0.639149134066545;-0.0100237018301112;0.34678003681946;-0.509905152604702
Hippocampal formation (R);-0.131635040075903;0.599190215353359;0.417870371104411;0.273069983964774;0.806195684225335;-0.744163684637601;0.132026081137957;0.530026478544956;0.609854717373987;1;0.431231128927718;0.593740284254479;0.368996690673272;0.157233270687226;0.226391817390342;;0.762993302121174;0.278403052770796;0.408957582775822;-0.454190509090936
