Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.450550992868874;;;;0.248589260459693;0.121048168962833;0.0440812564227395;-0.0892377010732819;-0.0461477435633154;;0.0213085708571642;;;;;0.351000960497093;0.126800048476025;;
Primary somatosensory area, barrel field (R);0.450550992868874;1;;;;0.443512047764131;0.079067424354374;0.236220808062591;0.0145539287611801;0.105150674389181;;0.149112328321191;;;;;0.653249545982887;0.101246122985457;;
Primary somatosensory area, lower limb (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (R);0.248589260459693;0.443512047764131;;;;1;0.142854283502739;0.0112995888286716;0.0300005649228666;-0.0140840284435385;;0.0899535573814456;;;;;0.342245664385159;0.172322254178696;;
Olfactory areas (L);0.121048168962833;0.079067424354374;;;;0.142854283502739;1;0.00801648368351134;0.0538111346232767;0.0317652834875059;;-0.0873312792439435;;;;;0.0554015539789525;0.0933365186027035;;
Olfactory areas (R);0.0440812564227395;0.236220808062591;;;;0.0112995888286716;0.00801648368351134;1;-0.0253552407056558;0.530481791538688;;0.0733204196922364;;;;;0.328687809489258;0.191491337719677;;
Hippocampal formation (L);-0.0892377010732819;0.0145539287611801;;;;0.0300005649228666;0.0538111346232767;-0.0253552407056558;1;0.121571583320235;;-0.0142369170676511;;;;;0.0480222143999503;0.196249663605389;;
Hippocampal formation (R);-0.0461477435633154;0.105150674389181;;;;-0.0140840284435385;0.0317652834875059;0.530481791538688;0.121571583320235;1;;0.0807024944859529;;;;;0.214882206258443;0.433400779526139;;
Cortical subplate (L);;;;;;;;;;;;;;;;;;;;
Cortical subplate (R);0.0213085708571642;0.149112328321191;;;;0.0899535573814456;-0.0873312792439435;0.0733204196922364;-0.0142369170676511;0.0807024944859529;;1;;;;;0.165010346181754;0.139384734450369;;
Striatum (L);;;;;;;;;;;;;;;;;;;;
Striatum (R);;;;;;;;;;;;;;;;;;;;
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);0.351000960497093;0.653249545982887;;;;0.342245664385159;0.0554015539789525;0.328687809489258;0.0480222143999503;0.214882206258443;;0.165010346181754;;;;;1;0.203982498520032;;
Thalamus (R);0.126800048476025;0.101246122985457;;;;0.172322254178696;0.0933365186027035;0.191491337719677;0.196249663605389;0.433400779526139;;0.139384734450369;;;;;0.203982498520032;1;;
Hypothalamus (L);;;;;;;;;;;;;;;;;;;;
Hypothalamus (R);;;;;;;;;;;;;;;;;;;;
