Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.460738770468607;;;;0.284585008215056;0.241297759327626;0.0993953804380857;0.216583087449144;0.109903276149641;;-0.0220295748061279;;;;;0.432963117485314;0.302429033092445;;
Primary somatosensory area, barrel field (R);0.460738770468607;0.999999999999999;;;;0.438052691113703;0.113264492648479;0.211082067547954;0.0620708439071587;0.135835884295705;;0.141267672497902;;;;;0.570680467649531;0.174359032014551;;
Primary somatosensory area, lower limb (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (R);0.284585008215056;0.438052691113703;;;;1;0.214805479226697;0.0858819249129691;0.259260776505607;0.0357396112083474;;0.0548346723418378;;;;;0.429929174860611;0.265370629097938;;
Olfactory areas (L);0.241297759327626;0.113264492648479;;;;0.214805479226697;1;0.085274101829989;0.319614116753055;0.160549666392782;;-0.116973498408489;;;;;0.228532573002219;0.247668676115774;;
Olfactory areas (R);0.0993953804380857;0.211082067547954;;;;0.0858819249129691;0.085274101829989;1;0.201979083465469;0.522723580957017;;0.0392910765774599;;;;;0.399392075081743;0.244567138866497;;
Hippocampal formation (L);0.216583087449144;0.0620708439071587;;;;0.259260776505607;0.319614116753055;0.201979083465469;1;0.335807528145126;;-0.0854316140581949;;;;;0.487147360142417;0.435114884569834;;
Hippocampal formation (R);0.109903276149641;0.135835884295705;;;;0.0357396112083474;0.160549666392782;0.522723580957017;0.335807528145126;1;;0.0464704823321503;;;;;0.33413722907264;0.508844978965234;;
Cortical subplate (L);;;;;;;;;;;;;;;;;;;;
Cortical subplate (R);-0.0220295748061279;0.141267672497902;;;;0.0548346723418378;-0.116973498408489;0.0392910765774599;-0.0854316140581949;0.0464704823321503;;1;;;;;0.0867723224962238;0.0721969491846133;;
Striatum (L);;;;;;;;;;;;;;;;;;;;
Striatum (R);;;;;;;;;;;;;;;;;;;;
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);0.432963117485314;0.570680467649531;;;;0.429929174860611;0.228532573002219;0.399392075081743;0.487147360142417;0.33413722907264;;0.0867723224962238;;;;;1;0.375324778370169;;
Thalamus (R);0.302429033092445;0.174359032014551;;;;0.265370629097938;0.247668676115774;0.244567138866497;0.435114884569834;0.508844978965234;;0.0721969491846133;;;;;0.375324778370169;1;;
Hypothalamus (L);;;;;;;;;;;;;;;;;;;;
Hypothalamus (R);;;;;;;;;;;;;;;;;;;;
