Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.171187851984317;;;;-0.0584180075806855;-0.0182578737980314;-0.289480313222248;-0.227021237314751;-0.341304873243792;;-0.0785706477954768;;;;;-0.0970797051491114;-0.143313611489947;;
Primary somatosensory area, barrel field (R);0.171187851984317;1;;;;0.157645491609961;-0.206276844574703;-0.143267610902691;-0.492567783853335;-0.321225154063142;;0.123304052219696;;;;;0.172788959382137;-0.378683858809401;;
Primary somatosensory area, lower limb (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (R);-0.0584180075806855;0.157645491609961;;;;1;-0.037437253949989;-0.282269312933928;-0.13071128911648;-0.419789163435291;;0.0182419893284043;;;;;-0.0545226158642256;-0.170710717889609;;
Olfactory areas (L);-0.0182578737980314;-0.206276844574703;;;;-0.037437253949989;1;-0.181898285199227;0.0692315113593603;-0.124545795293283;;-0.165145880677599;;;;;-0.25197874264947;-0.0655460896056966;;
Olfactory areas (R);-0.289480313222248;-0.143267610902691;;;;-0.282269312933928;-0.181898285199227;1;-0.17540141976876;0.32153101571715;;0.00283622521785236;;;;;-0.0486694518669847;-0.156669084442255;;
Hippocampal formation (L);-0.227021237314751;-0.492567783853335;;;;-0.13071128911648;0.0692315113593603;-0.17540141976876;1;-0.0340904379322367;;-0.165713908556841;;;;;-0.0471623884554041;0.0365884573833724;;
Hippocampal formation (R);-0.341304873243792;-0.321225154063142;;;;-0.419789163435291;-0.124545795293283;0.32153101571715;-0.0340904379322367;1;;0.00644247111318703;;;;;-0.297640920175882;0.203362531837716;;
Cortical subplate (L);;;;;;;;;;;;;;;;;;;;
Cortical subplate (R);-0.0785706477954768;0.123304052219696;;;;0.0182419893284043;-0.165145880677599;0.00283622521785236;-0.165713908556841;0.00644247111318703;;1;;;;;0.0493829447614488;0.0330029338178675;;
Striatum (L);;;;;;;;;;;;;;;;;;;;
Striatum (R);;;;;;;;;;;;;;;;;;;;
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);-0.0970797051491114;0.172788959382137;;;;-0.0545226158642256;-0.25197874264947;-0.0486694518669847;-0.0471623884554041;-0.297640920175882;;0.0493829447614488;;;;;1;-0.403953345426344;;
Thalamus (R);-0.143313611489947;-0.378683858809401;;;;-0.170710717889609;-0.0655460896056966;-0.156669084442255;0.0365884573833724;0.203362531837716;;0.0330029338178675;;;;;-0.403953345426344;1;;
Hypothalamus (L);;;;;;;;;;;;;;;;;;;;
Hypothalamus (R);;;;;;;;;;;;;;;;;;;;
