Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R)
0.4,,,,,,,,,1.53931237523461,3.04177623943581,,,,,,,,,,
1.000025,,,,,,,,,1.40554457545924,2.55555648009498,,,,,,,,,,
1.600025,,,,,,,,,1.58941619123292,3.43385825126574,,,,,,,,,,
2.20005,,,,,,,,,1.54336095872812,2.72649060539901,,,,,,,,,,
2.800075,,,,,,,,,1.41669792804589,3.44840365692229,,,,,,,,,,
3.400075,,,,,,,,,1.54251245965832,3.04765959199496,,,,,,,,,,
4.0001,,,,,,,,,1.44824952445684,3.13626260109552,,,,,,,,,,
4.600125,,,,,,,,,1.55768327568644,2.9685665476457,,,,,,,,,,
5.200125,,,,,,,,,1.46998209380184,3.15577408883016,,,,,,,,,,
5.80015,,,,,,,,,1.63979079350045,2.94162539628097,,,,,,,,,,
6.400175,,,,,,,,,1.53634012314089,2.80815232337971,,,,,,,,,,
7.000175,,,,,,,,,1.58574027942232,2.95072553532947,,,,,,,,,,
7.6002,,,,,,,,,1.45663027741388,2.65398940940777,,,,,,,,,,
8.2002,,,,,,,,,1.58125853282079,3.33136148990927,,,,,,,,,,
8.800225,,,,,,,,,1.57792278312954,3.34763747221848,,,,,,,,,,
9.40025,,,,,,,,,1.75844842190272,3.95722696333523,,,,,,,,,,
10.00025,,,,,,,,,1.65171505302299,3.21638189454129,,,,,,,,,,
10.600275,,,,,,,,,1.67355980491326,3.48918869731881,,,,,,,,,,
11.2003,,,,,,,,,1.54922002042752,3.78702767086664,,,,,,,,,,
11.8003,,,,,,,,,1.62906228838088,2.84612206689672,,,,,,,,,,
12.400325,,,,,,,,,1.63132833638976,3.24898878740968,,,,,,,,,,
13.00035,,,,,,,,,1.64942633641086,3.19978507406484,,,,,,,,,,
13.60035,,,,,,,,,1.62514344427375,2.87047751770351,,,,,,,,,,
