Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.15175986256286;;;;-0.0196175997693932;-0.0287272916158935;-0.282512077379312;-0.191813841643881;-0.405301009396262;;-0.0778023647275373;;;;;-0.0450885074356478;-0.204923993911121;;
Primary somatosensory area, barrel field (R);0.15175986256286;1;;;;0.138304828332734;-0.196867612497487;-0.158694361091751;-0.336250205772345;-0.39025849808714;;0.0700219726338348;;;;;0.251051325141633;-0.474898219152671;;
Primary somatosensory area, lower limb (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (R);-0.0196175997693932;0.138304828332734;;;;1;-0.0156643469292675;-0.338482666315431;-0.12645441537927;-0.380940385210848;;0.00592164156158011;;;;;-0.0912724000189247;-0.165019760215812;;
Olfactory areas (L);-0.0287272916158935;-0.196867612497487;;;;-0.0156643469292675;1;-0.175376514335304;0.0390251917273481;-0.140487286628997;;-0.154475798754627;;;;;-0.252411944717858;-0.0754223739661761;;
Olfactory areas (R);-0.282512077379312;-0.158694361091751;;;;-0.338482666315431;-0.175376514335304;1;-0.195904984511329;0.36594739967215;;-0.00608247897009786;;;;;-0.0946433434458554;-0.127353718313476;;
Hippocampal formation (L);-0.191813841643881;-0.336250205772345;;;;-0.12645441537927;0.0390251917273481;-0.195904984511329;1;-0.00395568467915361;;-0.117406929938358;;;;;-0.141105779049873;0.10878912592027;;
Hippocampal formation (R);-0.405301009396262;-0.39025849808714;;;;-0.380940385210848;-0.140487286628997;0.36594739967215;-0.00395568467915361;1;;-0.00812109109298369;;;;;-0.293785141293731;0.212900614170995;;
Cortical subplate (L);;;;;;;;;;;;;;;;;;;;
Cortical subplate (R);-0.0778023647275373;0.0700219726338348;;;;0.00592164156158011;-0.154475798754627;-0.00608247897009786;-0.117406929938358;-0.00812109109298369;;1;;;;;0.0490423649733281;0.0443320848708013;;
Striatum (L);;;;;;;;;;;;;;;;;;;;
Striatum (R);;;;;;;;;;;;;;;;;;;;
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);-0.0450885074356478;0.251051325141633;;;;-0.0912724000189247;-0.252411944717858;-0.0946433434458554;-0.141105779049873;-0.293785141293731;;0.0490423649733281;;;;;1;-0.373332170761261;;
Thalamus (R);-0.204923993911121;-0.474898219152671;;;;-0.165019760215812;-0.0754223739661761;-0.127353718313476;0.10878912592027;0.212900614170995;;0.0443320848708013;;;;;-0.373332170761261;1;;
Hypothalamus (L);;;;;;;;;;;;;;;;;;;;
Hypothalamus (R);;;;;;;;;;;;;;;;;;;;
