Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.051881361603772;;;0.0332486316199029;-0.0459717149401575;0.0629118949402361;-0.0363099317068545;-0.0398697798484254;-0.155091327361661;0.0335775044250138;0.0411373118888134;;-0.146381640817601;;;-0.0231293482891844;-0.0330388808435194;0.0329015992862895;-0.0877751331044546
Primary somatosensory area, barrel field (R);0.051881361603772;1;;;0.235921662349365;0.0561262566235173;0.0676037216998439;0.0988293797860111;0.0180642646435816;0.331077695907384;0.0890395750924362;-0.0708970939035803;;0.0788661980782713;;;-0.327485975806903;-0.298105800866683;-0.206962753413577;-0.200804895925878
Primary somatosensory area, lower limb (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);0.0332486316199029;0.235921662349365;;;1;-0.136900327510562;-0.0498554511767175;0.0996176491154531;0.0283893264221666;0.0773544684994219;0.0303816874961093;0.106156936472493;;-0.00599860920703473;;;-0.357444974388729;-0.147388091578469;-0.131768259746992;-0.145773303927006
Supplemental somatosensory area (R);-0.0459717149401575;0.0561262566235173;;;-0.136900327510562;1;0.115020321588595;0.0876753231207764;-0.215640502384275;-0.213744769566656;-0.0119660026630074;-0.0163804679907695;;-0.0391811383671458;;;-0.0964973651439013;-0.171172746075004;0.0441404072087603;-0.221563702232935
Olfactory areas (L);0.0629118949402361;0.0676037216998439;;;-0.0498554511767175;0.115020321588595;0.999999999999999;0.289617314363649;0.112050856205078;-0.273806667825935;0.218032289786206;-0.0550359390686748;;0.0431941570511688;;;0.145820619303674;0.297754774741318;0.351957222526347;0.121236343032032
Olfactory areas (R);-0.0363099317068545;0.0988293797860111;;;0.0996176491154531;0.0876753231207764;0.289617314363649;1;0.172980836263519;0.0224673103259008;0.0913272178670369;0.0995218234457902;;0.128916466402252;;;0.0772188629080822;0.182196042497019;-0.00943051518051626;0.0348191025477601
Hippocampal formation (L);-0.0398697798484254;0.0180642646435816;;;0.0283893264221666;-0.215640502384275;0.112050856205078;0.172980836263519;1;0.214980964277042;0.105249891351068;-0.00184804251540527;;0.00760273409678309;;;-0.173590713335494;-0.227088347384773;-0.259648520532996;-0.194235017642407
Hippocampal formation (R);-0.155091327361661;0.331077695907384;;;0.0773544684994219;-0.213744769566656;-0.273806667825935;0.0224673103259008;0.214980964277042;1;-0.0130216737405897;-0.0649448154917632;;0.0513129963430637;;;-0.314754058401274;-0.362307890152328;-0.420238553198507;-0.248106610006837
Cortical subplate (L);0.0335775044250138;0.0890395750924362;;;0.0303816874961093;-0.0119660026630074;0.218032289786206;0.0913272178670369;0.105249891351068;-0.0130216737405897;1;-0.0268659253937994;;0.137389399627388;;;-0.0776891976892219;-0.0436882666163243;0.0735776164365296;0.0119958523340577
Cortical subplate (R);0.0411373118888134;-0.0708970939035803;;;0.106156936472493;-0.0163804679907695;-0.0550359390686748;0.0995218234457902;-0.00184804251540527;-0.0649448154917632;-0.0268659253937994;1;;0.0850662791050512;;;0.0253392726414247;-0.00892062303169407;-0.0563977506201301;-0.0358781816954087
Striatum (L);;;;;;;;;;;;;;;;;;;;
Striatum (R);-0.146381640817601;0.0788661980782713;;;-0.00599860920703473;-0.0391811383671458;0.0431941570511688;0.128916466402252;0.00760273409678309;0.0513129963430637;0.137389399627388;0.0850662791050512;;1;;;-0.000750579147408947;-0.048987865749617;-0.121914343048127;0.0220472530717464
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);-0.0231293482891844;-0.327485975806903;;;-0.357444974388729;-0.0964973651439013;0.145820619303674;0.0772188629080822;-0.173590713335494;-0.314754058401274;-0.0776891976892219;0.0253392726414247;;-0.000750579147408947;;;1;0.12525664028539;0.160496340789274;-0.144528810176341
Thalamus (R);-0.0330388808435194;-0.298105800866683;;;-0.147388091578469;-0.171172746075004;0.297754774741318;0.182196042497019;-0.227088347384773;-0.362307890152328;-0.0436882666163243;-0.00892062303169407;;-0.048987865749617;;;0.12525664028539;1;0.126031731907238;0.151375791255242
Hypothalamus (L);0.0329015992862895;-0.206962753413577;;;-0.131768259746992;0.0441404072087603;0.351957222526347;-0.00943051518051626;-0.259648520532996;-0.420238553198507;0.0735776164365296;-0.0563977506201301;;-0.121914343048127;;;0.160496340789274;0.126031731907238;1;-0.0364374121051154
Hypothalamus (R);-0.0877751331044546;-0.200804895925878;;;-0.145773303927006;-0.221563702232935;0.121236343032032;0.0348191025477601;-0.194235017642407;-0.248106610006837;0.0119958523340577;-0.0358781816954087;;0.0220472530717464;;;-0.144528810176341;0.151375791255242;-0.0364374121051154;1
