Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, barrel field (R);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (R);;;;;;;;;;;;;;;;;;;;
Olfactory areas (L);;;;;;;1;0.18736214154427;0.143855217457081;0.249132055558947;0.155726410378059;0.0775632854236823;;;;;-0.0307184119980839;0.0206248225815744;-0.156572548280855;0.0187204170300885
Olfactory areas (R);;;;;;;0.18736214154427;1;0.188999980160055;0.257761601674044;0.140908434552679;0.116194883242898;;;;;-0.06433661416232;0.0904560698116891;-0.0194570512994148;0.0853819803294474
Hippocampal formation (L);;;;;;;0.143855217457081;0.188999980160055;1;0.636419233360483;0.0889494754702493;0.0496114019363697;;;;;0.594261822233284;0.604118826105451;0.392408178407602;0.546433113977166
Hippocampal formation (R);;;;;;;0.249132055558947;0.257761601674044;0.636419233360483;1;0.130494854944978;0.0579116464705191;;;;;0.387859732378352;0.439988019505179;0.214705597930232;0.415749873649567
Cortical subplate (L);;;;;;;0.155726410378059;0.140908434552679;0.0889494754702493;0.130494854944978;0.999999999999999;0.16174402142555;;;;;-0.0545270755214927;-0.037965259838161;-0.0187603203799053;0.0365661810931884
Cortical subplate (R);;;;;;;0.0775632854236823;0.116194883242898;0.0496114019363697;0.0579116464705191;0.16174402142555;1;;;;;0.0747501717713177;0.161007468319408;-0.061146436821184;0.0669874469117569
Striatum (L);;;;;;;;;;;;;;;;;;;;
Striatum (R);;;;;;;;;;;;;;;;;;;;
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);;;;;;;-0.0307184119980839;-0.06433661416232;0.594261822233284;0.387859732378352;-0.0545270755214927;0.0747501717713177;;;;;1;0.499474118266171;0.341386613758033;0.414355036584855
Thalamus (R);;;;;;;0.0206248225815744;0.0904560698116891;0.604118826105451;0.439988019505179;-0.037965259838161;0.161007468319408;;;;;0.499474118266171;1;0.328422362038818;0.434861153676552
Hypothalamus (L);;;;;;;-0.156572548280855;-0.0194570512994148;0.392408178407602;0.214705597930232;-0.0187603203799053;-0.061146436821184;;;;;0.341386613758033;0.328422362038818;1;0.402752141549442
Hypothalamus (R);;;;;;;0.0187204170300885;0.0853819803294474;0.546433113977166;0.415749873649567;0.0365661810931884;0.0669874469117569;;;;;0.414355036584855;0.434861153676552;0.402752141549442;1
