Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, barrel field (R);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (R);;;;;;;;;;;;;;;;;;;;
Olfactory areas (L);;;;;;;1;0.00317906000028366;0.169385617873995;0.334395699987046;0.223771089114019;0.0148170622363675;;;;;0.0697765622231624;-0.110937316198084;-0.0591292657795705;0.158525418213472
Olfactory areas (R);;;;;;;0.00317906000028366;1;0.224677385998164;0.239004404460812;0.0867379470504121;0.160885144175776;;;;;-0.0569032260184231;0.192179960608591;-0.00965474911720639;0.0960690633374861
Hippocampal formation (L);;;;;;;0.169385617873995;0.224677385998164;0.999999999999999;0.659995470619777;0.0889321523458958;0.0802631412246894;;;;;0.59221922982113;0.598719701282428;0.363640722887114;0.589124608339664
Hippocampal formation (R);;;;;;;0.334395699987046;0.239004404460812;0.659995470619777;1;0.150311288399868;0.0660471497097983;;;;;0.417889546109276;0.419048651198413;0.229583430183072;0.477380148250166
Cortical subplate (L);;;;;;;0.223771089114019;0.0867379470504121;0.0889321523458958;0.150311288399868;1;0.139295681177589;;;;;-0.0347397681356911;-0.0789047287698892;-0.0125185122886158;0.060876293822383
Cortical subplate (R);;;;;;;0.0148170622363675;0.160885144175776;0.0802631412246894;0.0660471497097983;0.139295681177589;1;;;;;0.0789991645331089;0.199417757079272;-0.0508613393078036;0.0812896474473305
Striatum (L);;;;;;;;;;;;;;;;;;;;
Striatum (R);;;;;;;;;;;;;;;;;;;;
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);;;;;;;0.0697765622231624;-0.0569032260184231;0.59221922982113;0.417889546109276;-0.0347397681356911;0.0789991645331089;;;;;1;0.467577345095765;0.347241049802764;0.442829050616262
Thalamus (R);;;;;;;-0.110937316198084;0.192179960608591;0.598719701282428;0.419048651198413;-0.0789047287698892;0.199417757079272;;;;;0.467577345095765;1;0.30972199963384;0.414854652699721
Hypothalamus (L);;;;;;;-0.0591292657795705;-0.00965474911720639;0.363640722887114;0.229583430183072;-0.0125185122886158;-0.0508613393078036;;;;;0.347241049802764;0.30972199963384;1;0.401342655243438
Hypothalamus (R);;;;;;;0.158525418213472;0.0960690633374861;0.589124608339664;0.477380148250166;0.060876293822383;0.0812896474473305;;;;;0.442829050616262;0.414854652699721;0.401342655243438;1
