Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, barrel field (R);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (R);;;;;;;;;;;;;;;;;;;;
Olfactory areas (L);;;;;;;1;-0.0498897926099055;-0.0282695243973238;0.280401627947011;0.208289465620025;-0.0216942880219549;;;;;-0.114003540927218;-0.380630074086413;-0.200289140816789;0.00572798266906933
Olfactory areas (R);;;;;;;-0.0498897926099055;0.999999999999999;0.0170516962684841;0.0825660564086914;0.0640033694839574;0.123964409413677;;;;;-0.343952045732758;0.0236599177127874;-0.167128790132267;-0.137997265225683
Hippocampal formation (L);;;;;;;-0.0282695243973238;0.0170516962684841;1;-0.0538350612848552;-0.00287025059990237;-0.159567126647072;;;;;-0.128717777732585;-0.115011452690455;-0.251151571097025;-0.247346048780859
Hippocampal formation (R);;;;;;;0.280401627947011;0.0825660564086914;-0.0538350612848552;1;0.112773412310415;-0.104646578483781;;;;;-0.288119588394407;-0.290174347873317;-0.310270137040574;-0.227959196986672
Cortical subplate (L);;;;;;;0.208289465620025;0.0640033694839574;-0.00287025059990237;0.112773412310415;1;0.124123331242447;;;;;-0.155393137046703;-0.22006699083217;-0.0777880682712998;-0.0240744789462165
Cortical subplate (R);;;;;;;-0.0216942880219549;0.123964409413677;-0.159567126647072;-0.104646578483781;0.124123331242447;1;;;;;-0.0658975664903368;0.109190018216392;-0.168842359373628;-0.0755433398990498
Striatum (L);;;;;;;;;;;;;;;;;;;;
Striatum (R);;;;;;;;;;;;;;;;;;;;
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);;;;;;;-0.114003540927218;-0.343952045732758;-0.128717777732585;-0.288119588394407;-0.155393137046703;-0.0658975664903368;;;;;1;-0.0977305596360552;-0.0469939245327744;-0.208119694632855
Thalamus (R);;;;;;;-0.380630074086413;0.0236599177127874;-0.115011452690455;-0.290174347873317;-0.22006699083217;0.109190018216392;;;;;-0.0977305596360552;1;-0.112405669110051;-0.273359164834245
Hypothalamus (L);;;;;;;-0.200289140816789;-0.167128790132267;-0.251151571097025;-0.310270137040574;-0.0777880682712998;-0.168842359373628;;;;;-0.0469939245327744;-0.112405669110051;1;0.0138563067416312
Hypothalamus (R);;;;;;;0.00572798266906933;-0.137997265225683;-0.247346048780859;-0.227959196986672;-0.0240744789462165;-0.0755433398990498;;;;;-0.208119694632855;-0.273359164834245;0.0138563067416312;0.999999999999999
