Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;-0.02374412969339;;;0.0173606111568204;-0.0908690112312076;0.292882070318484;-0.0773803780300654;0.142247926416395;-0.200121680019311;0.223880847818621;-0.0100346706823636;;-0.170474026423256;;;0.0540177064544869;0.0481901053122533;0.0374852501963498;-0.116240174418168
Primary somatosensory area, barrel field (R);-0.02374412969339;1;;;0.286448575253904;0.0540305459439297;0.0118174107536844;0.0218100150491366;-0.00752039882378775;0.289047250093456;0.233354616323402;-0.0386373951749155;;0.0432231384494957;;;-0.323734860903677;-0.338805890234633;-0.267651208630907;-0.170354986540952
Primary somatosensory area, lower limb (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);0.0173606111568204;0.286448575253904;;;1;-0.0913774845638955;0.0334886260553582;-0.0581973903901107;0.15174766794305;0.129370075658557;0.250192215137066;0.0572975869396217;;-0.0638451771166788;;;-0.366045066497459;-0.304320442750589;-0.328715319421995;-0.170369889447921
Supplemental somatosensory area (R);-0.0908690112312076;0.0540305459439297;;;-0.0913774845638955;1;0.0993450818690699;0.14543239869999;-0.239252995483668;-0.23155569498042;-0.0797592640021992;-0.0192993732349417;;-0.0271604216139749;;;-0.0819689475637281;-0.12743410906711;0.0824753765344266;-0.15247663348094
Olfactory areas (L);0.292882070318484;0.0118174107536844;;;0.0334886260553582;0.0993450818690699;1;0.243297700223629;0.229247955533184;-0.452296498037575;0.391826093849767;-0.111353052440371;;-0.0372209095101868;;;0.250042716807007;0.34266085177569;0.312570488192292;0.147955514546447
Olfactory areas (R);-0.0773803780300654;0.0218100150491366;;;-0.0581973903901107;0.14543239869999;0.243297700223629;1;-0.000651515432267942;-0.14355508922747;-0.174493736057734;0.0893293437245825;;0.156767881698791;;;0.143380175422973;0.306211946901131;0.21383642045097;0.154500819277809
Hippocampal formation (L);0.142247926416395;-0.00752039882378775;;;0.15174766794305;-0.239252995483668;0.229247955533184;-0.000651515432267942;1;0.199673834713865;0.290726980796292;-0.0489289522298089;;-0.048938768951914;;;-0.154614413526003;-0.241906870600407;-0.328189666046335;-0.262892152133854
Hippocampal formation (R);-0.200121680019311;0.289047250093456;;;0.129370075658557;-0.23155569498042;-0.452296498037575;-0.14355508922747;0.199673834713865;1;-0.0516332050387743;-0.0317127562809494;;0.0510983432748979;;;-0.393782525025877;-0.467585647153243;-0.508133657377591;-0.331066006537317
Cortical subplate (L);0.223880847818621;0.233354616323402;;;0.250192215137066;-0.0797592640021992;0.391826093849767;-0.174493736057734;0.290726980796292;-0.0516332050387743;1;-0.0356365623216477;;-0.0535868525502307;;;-0.0141244943936094;-0.130893522262838;-0.1984915633404;-0.0647607404726422
Cortical subplate (R);-0.0100346706823636;-0.0386373951749155;;;0.0572975869396217;-0.0192993732349417;-0.111353052440371;0.0893293437245825;-0.0489289522298089;-0.0317127562809494;-0.0356365623216477;1;;0.0923855626216289;;;0.0128628404635933;-0.0171575312837994;-0.0464366177906898;-0.0280745681291385
Striatum (L);;;;;;;;;;;;;;;;;;;;
Striatum (R);-0.170474026423256;0.0432231384494957;;;-0.0638451771166788;-0.0271604216139749;-0.0372209095101868;0.156767881698791;-0.048938768951914;0.0510983432748979;-0.0535868525502307;0.0923855626216289;;1;;;-0.00304568506541344;-0.0173854605920571;-0.0515243773566611;0.0368244953920857
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);0.0540177064544869;-0.323734860903677;;;-0.366045066497459;-0.0819689475637281;0.250042716807007;0.143380175422973;-0.154614413526003;-0.393782525025877;-0.0141244943936094;0.0128628404635933;;-0.00304568506541344;;;1;0.228545926489745;0.251942359095179;-0.0764175232564602
Thalamus (R);0.0481901053122533;-0.338805890234633;;;-0.304320442750589;-0.12743410906711;0.34266085177569;0.306211946901131;-0.241906870600407;-0.467585647153243;-0.130893522262838;-0.0171575312837994;;-0.0173854605920571;;;0.228545926489745;1;0.337114511354177;0.222380030224349
Hypothalamus (L);0.0374852501963498;-0.267651208630907;;;-0.328715319421995;0.0824753765344266;0.312570488192292;0.21383642045097;-0.328189666046335;-0.508133657377591;-0.1984915633404;-0.0464366177906898;;-0.0515243773566611;;;0.251942359095179;0.337114511354177;1;0.101932993802517
Hypothalamus (R);-0.116240174418168;-0.170354986540952;;;-0.170369889447921;-0.15247663348094;0.147955514546447;0.154500819277809;-0.262892152133854;-0.331066006537317;-0.0647607404726422;-0.0280745681291385;;0.0368244953920857;;;-0.0764175232564602;0.222380030224349;0.101932993802517;1
