Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R)
2.8,,,,,,,0.757705327338481,1.01161022082826,2.37365274274223,3.27469693839073,5.01461744815253,5.51264428948406,,,,,6.91849988956383,7.9843344624974,8.88016559230666,9.67664778579018
3.39999999999991,,,,,,,0.797244490055918,1,2.36260763192663,3.25012241522143,5.03800834799243,5.50908812650736,,,,,6.87324472976006,7.85356057703072,8.83223662576339,9.53788114211219
3.99999999999982,,,,,,,0.836783652773364,1.0976362108273,2.35474220900863,3.22052148142127,5.06139924783235,5.56403598868098,,,,,6.82798956995629,7.73911987822947,8.78430765922012,9.39911449843419
4.59999999999973,,,,,,,0.968516793189807,1.1935310207949,2.40607174676652,3.2402886150433,5.08187879685642,5.66535771872084,,,,,6.79158129169535,7.69042003777643,8.73637869267685,9.2603478547562
5.19999999999964,,,,,,,1.00623650627835,1.30583244848387,2.56115192660373,3.32800067166338,5.11666936083695,5.80933136330493,,,,,6.82792823699509,7.64985778683591,8.79423903164369,9.33495229194468
5.79999999999955,,,,,,,0.998549523218046,1.48366269849528,2.6173409875358,3.3855495879674,5.1285533415986,5.90332115420665,,,,,6.87110301063282,7.47184919157312,8.81853365965413,9.36745305849674
6.39999999999946,,,,,,,0.992305885365982,1.69904793860911,2.63740705293787,3.41687036738515,5.14043732236024,5.96324641546579,,,,,6.91373898576983,7.36811547699167,8.84282828766455,9.39995382504878
6.99999999999936,,,,,,,0.986062247513915,1.79098839254482,2.65028348321376,3.44528028497558,5.15232130312188,6.00220597784274,,,,,6.95637496090684,7.25056527303856,8.86712291567496,9.43245459160083
7.59999999999927,,,,,,,0.815198677114005,1.86429800436652,2.55576884280104,3.40082010577684,5.1031463376223,6.03535943862882,,,,,7.01241150730705,7.1110620321713,8.89141754368537,9.46495535815287
8.19999999999918,,,,,,,0.701845328729183,1.85682454959359,2.56533500059766,3.34370316926391,5.05100323715109,5.93378974440405,,,,,6.9439978024783,7,8.82170352793548,9.46780671317718
8.79999999999909,,,,,,,0.707376829693631,1.81168326524779,2.64948744554763,3.32041506741348,4.97265377538409,5.86081274055287,,,,,6.87974436145741,7.06565050003898,8.76621145397223,9.49393418368699
9.399999999999,,,,,,,0.716018519943117,1.69125664473813,2.74337240177081,3.28140623651319,4.89430431361706,5.75472217084409,,,,,6.81052034826975,7.09464287497175,8.710719380009,9.52006165419682
9.99999999999891,,,,,,,0.72466021019261,1.64858006233714,2.84326668333449,3.22650630389475,4.81595485185002,5.6670941255149,,,,,6.74129633508208,7.14505065511611,8.65522730604577,9.54618912470666
10.5999999999988,,,,,,,0.82298617297505,1.59173327477786,3.02433954093133,3.22050903249394,4.82851174336443,5.54783276324953,,,,,6.65328270293908,7.27793393788049,8.59973523208254,9.5723165952165
11.1999999999987,,,,,,,0.908894311641631,1.68061242168466,3.02441448097519,3.19212708991778,4.94958335647623,5.5309398975403,,,,,6.74493991294639,7.44186005316027,8.61711725526003,9.633303072974
11.7999999999986,,,,,,,0.835026738061509,1.78156444555744,2.97645735541878,3.18208998793606,5.07513243030496,5.47554115072505,,,,,6.82091013535549,7.53962132965304,8.68606093772153,9.70187469858831
12.3999999999985,,,,,,,0.760602699678524,1.87610030323477,2.94425855954753,3.21268758478366,5.20068150413368,5.5703251377271,,,,,6.9097250667975,7.62339845142847,8.75500462018313,9.77044632420263
