Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R)
0.4,,,,,,,1.95374398456661,1.72795803158378,3.27156612080788,5.34517370261344,5.52488669167901,6.3375159222485,,,,,7.71569987962127,7.37303359308932,,
0.8,,,,,,,1.70075681452443,2.30654632186723,4.01401536104578,4.75951089580914,5.15701670661148,5.90689688762747,,,,,7.65452627827564,7.63938130490149,,
1.200025,,,,,,,1.85226222777049,2.63024803454874,3.69003704224842,4.25496733667835,4.96317241587324,6.91966464742942,,,,,7.72188138748993,8.63545211733281,,
1.60005,,,,,,,0.945439762073371,1.76659456986647,3.80367311814476,5.12736945883874,5.52443143042665,6.62986479022459,,,,,7.09990462040386,7.59006358008585,,
2.00005,,,,,,,1.68845483344808,2.69905410647204,4.08239751151265,4.06678030062051,5.07320316618923,6.3974993670845,,,,,8.03367862115249,8.15370551964482,,
2.400075,,,,,,,1.26902212295802,2.12246325015889,3.66100241534359,4.06969330209717,5.99765534842653,6.86144904624903,,,,,8.36419159914908,7.82171198026378,,
2.8001,,,,,,,2.16557879573625,2.48157702646841,2.95603672024254,4.54729183292389,5.93460529971825,7.47132513485102,,,,,7.64277147890138,9.16348318124188,,
3.2001,,,,,,,1.68571099826846,2.48625681403591,3.55524485240741,5.04837160612154,5.99712728373211,6.61674089261224,,,,,7.52388797612815,8.14950218152759,,
3.600125,,,,,,,1.5082147005236,3.1193508583274,4.42892982275328,4.73933207600274,5.31424723945014,6.85841065696104,,,,,7.32580919239078,8.23923044575658,,
4.000125,,,,,,,1.6247756785195,2.99730441422416,3.62864895826046,4.04295580267981,6.2948353900081,7.3454102031664,,,,,8.42873898208192,8.55520067827608,,
