Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R)
0.4,,,,,,,1.22726923723566,1,3.83187687368031,5.51925948337154,5.50403266931544,6.27647465255533,,,,,8.28159520601703,8.15887211102369,,
0.8,,,,,,,1.06465668470626,1.81958511427998,3.47750699908057,4.53082932735321,5.1762752540647,5.87069522670351,,,,,7.6763149464868,7.71144847881447,,
1.200025,,,,,,,1.18506601088679,1.98771657966035,3.57606342841494,4.48817230934189,4.96951714781179,6.87417581434157,,,,,7.92348499579731,8.56014697550873,,
1.60005,,,,,,,0.383814637793998,1.49659100265084,3.05973199166797,4.43959018989162,5.55870723882621,6.60434792381008,,,,,7.03945343238404,7.40690451211822,,
2.00005,,,,,,,1.02668878450064,2.0165160224433,3.83884332954373,4.45437259815689,5.07464518236225,6.35056681677163,,,,,8.19801665101001,8.32311038725254,,
2.400075,,,,,,,0.611793737530218,1.44467124459843,3.80268529199286,4.61122688702296,5.9853567159824,6.80874249892662,,,,,8.55800692213031,8.25847100923712,,
2.8001,,,,,,,1.46569317503397,1.73869157555008,3.50568009422357,4.91484875842526,5.92026888976993,7.41695241412823,,,,,8.08925292207826,9.14013394290695,,
3.2001,,,,,,,1.0758243129775,2.01638516835343,3.18354098631826,4.6241666637189,6.0152929384997,6.58418044978634,,,,,7.52381221100894,7.97335612721345,,
3.600125,,,,,,,0.873611537122837,2.41586603660763,3.9373426507386,4.76629948691401,5.31752928901118,6.81452235347105,,,,,7.65144944190248,8.32164820642388,,
4.000125,,,,,,,0.940748559728505,2.11486313971472,3.99400542700558,4.79118055187135,6.26925040337175,7.28640134311914,,,,,8.76452575741198,8.90336033716919,,
4.40015,,,,,,,1.50746588930758,1.53491370817908,3.89414916142475,5.0960111657982,6.09412396772338,6.5523409995422,,,,,8.49778684167583,8.42666401123181,,
4.800175,,,,,,,1.0275677706041,2.18599764367761,4.04392556197468,4.95951313868738,5.25961646105134,6.60239116359224,,,,,8.21166186326433,8.68063347397015,,
5.200175,,,,,,,1.47698744548295,2.37028813204053,4.50288372886777,4.86639504162269,6.49709442249598,6.38445430223481,,,,,8.6730589618773,8.96200730318249,,
5.6002,,,,,,,1.19175317981467,2.09172826690375,4.29716667385357,4.77748005755416,6.29960070995439,6.29533736093365,,,,,8.53716333373112,9.77009238903116,,
6.000225,,,,,,,0.872583936594839,2.51807605873246,3.86061625162073,5.35089415279474,5.22976349375397,6.81620665359266,,,,,7.74229382203628,8.46609296207201,,
6.400225,,,,,,,1.27718010904747,2.1496106765827,4.01288002054706,4.97094467594343,5.23316673470917,7.07037335950375,,,,,7.45917297480511,8.35711342581738,,
6.80025,,,,,,,0.552435044559429,1.87100052302778,3.41424677092788,4.67773086568907,5.67229638928872,6.15578182548851,,,,,7.93283150327925,8.48918806144912,,
7.200275,,,,,,,0.611142947423993,1.91942187213718,3.37437104813899,5.0973743725486,4.98598118009662,5.82844961081701,,,,,7.46659715321921,8.56317573793839,,
7.600275,,,,,,,0.838468216552189,2.00626860878285,3.40737870060126,4.40865711896693,5.33956120138151,6.56601129153535,,,,,8.31882787181722,8.54119966660453,,
8.0003,,,,,,,0.699875843690851,1.98881484312922,3.37325780983718,5.05539937587377,6.20756991676581,6.43600096754951,,,,,7.9333769535901,7.8563464418454,,
8.400325,,,,,,,1.0270367473988,2.01073594511024,4.24420842402226,4.81122999745829,5.56503084932099,7.00264987501027,,,,,8.62740690987981,8.80095848163328,,
8.800325,,,,,,,1.04088805804947,1.9413175055189,4.12525570773264,4.33876404441777,5.69180572479225,6.05444960573034,,,,,7.63524113675277,8.72402892627754,,
9.20035,,,,,,,1.16790336282998,2.35113365342493,3.80222046523423,4.80946941710157,6.40763977968652,6.45552789341792,,,,,7.11819366188568,8.37307073032443,,
9.60035,,,,,,,0.977047415193983,2.00100920213884,3.66362239250827,4.58777578548019,6.46559423986028,5.81936481137555,,,,,8.04984932118616,8.24626571454299,,
10.000375,,,,,,,0.942507587856504,1.85694149757848,3.35737385896698,4.52895602813756,5.86800417680477,6.12011333678632,,,,,7.25481654663069,8.41736704286286,,
10.4004,,,,,,,1.46249359124249,1.93970637960113,3.4664434839432,4.68865590829221,4.93464049028648,5.84819349302935,,,,,6.61332264798129,8.54201395271333,,
10.8004,,,,,,,1.23331486769284,1.74676805631287,2.87328525921678,4.41666492503461,5.90370980231337,6.45632588176298,,,,,7.54369177090092,7.89829469764581,,
