Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R)
0.4,,,,,,,,,2.27717613047532,3.12829590036898,,,,,,,3.54765349593665,,,
0.800025,,,,,,,,,1.54117652946513,2.44993616550833,,,,,,,4.80423603785136,,,
1.200025,,,,,,,,,1.7903309983237,3.48838512513392,,,,,,,3.62633079245407,,,
1.60005,,,,,,,,,1.44625616097725,2.87302465880807,,,,,,,4.49125186655735,,,
2.000075,,,,,,,,,2.36431590427754,3.13165289199007,,,,,,,3.47048123558641,,,
2.400075,,,,,,,,,2.49592601251984,2.73913801482204,,,,,,,3.72384158697382,,,
2.8001,,,,,,,,,2.24757522166563,2.89377099629299,,,,,,,3.79101127663501,,,
3.200125,,,,,,,,,2.10252339371613,2.85883737105852,,,,,,,3.94677468835809,,,
3.600125,,,,,,,,,1.84308997207381,2.56557727029089,,,,,,,4.44008524908759,,,
4.00015,,,,,,,,,1.54951588183896,2.27892125091187,,,,,,,4.95626308621673,,,
4.400175,,,,,,,,,1.67327387287021,2.75195661796352,,,,,,,4.41098133886607,,,
4.800175,,,,,,,,,2.08866502717813,3.6954263444606,,,,,,,3.18018231774285,,,
5.2002,,,,,,,,,1.56434127021999,2.2481308408316,,,,,,,4.97231252917054,,,
5.6002,,,,,,,,,1.46383303000092,2.27181126969265,,,,,,,5.03568910630084,,,
6.000225,,,,,,,,,2.54720729533398,2.0915074030909,,,,,,,4.28282471995338,,,
6.40025,,,,,,,,,3.17061314119308,2.00724961140674,,,,,,,3.83146634494716,,,
6.80025,,,,,,,,,2.46417157371123,2.82936795317001,,,,,,,3.66687497307428,,,
7.200275,,,,,,,,,1.61174381350978,3.5965989488228,,,,,,,3.67740610475701,,,
7.6003,,,,,,,,,2.17856074602518,2.29141942590861,,,,,,,4.41009033910507,,,
8.0003,,,,,,,,,1.85421076671791,2.39880065748899,,,,,,,4.58580535871528,,,
8.400325,,,,,,,,,2.32146342517976,2.51325877345822,,,,,,,4.08225469121027,,,
8.80035,,,,,,,,,2.25259086541836,2.22997515990691,,,,,,,4.40434987686123,,,
9.20035,,,,,,,,,2.6034311180522,2.32144854418324,,,,,,,4.0211083161655,,,
9.600375,,,,,,,,,2.24864607835463,2.67585651147416,,,,,,,3.99285060572295,,,
10.000375,,,,,,,,,2.95368981816995,2.02397743049262,,,,,,,4.00023789418068,,,
10.4004,,,,,,,,,2.31305259016842,2.85624790062937,,,,,,,3.77028225683741,,,
10.800425,,,,,,,,,1.6245038446449,2.54831475486483,,,,,,,4.64189467061138,,,
11.200425,,,,,,,,,1.98921015037384,2.60070718898354,,,,,,,4.2832313508245,,,
11.60045,,,,,,,,,1.55321043409544,2.39504810362643,,,,,,,4.84507824447658,,,
12.000475,,,,,,,,,1.99675646973842,2.8925705818719,,,,,,,4.00526675902862,,,
12.400475,,,,,,,,,0.705182641393228,2.61866632821398,,,,,,,5.35765191225475,,,
12.8005,,,,,,,,,1.93117961174446,2.48726250438434,,,,,,,4.43809385114999,,,
13.200525,,,,,,,,,2.25944505598256,2.5949880511954,,,,,,,4.05891458048861,,,
13.600525,,,,,,,,,1.87258085612263,2.89143914655788,,,,,,,4.11184034295301,,,
14.00055,,,,,,,,,2.20443957174749,2.81527924172962,,,,,,,3.90069605129087,,,
14.400575,,,,,,,,,2.25880882667481,3.06947954344167,,,,,,,3.61798469661215,,,
14.800575,,,,,,,,,2.09535596825116,2.55686288007581,,,,,,,4.23382475037018,,,
15.2006,,,,,,,,,2.81136673691496,2.33480417894292,,,,,,,3.83198438427206,,,
15.6006,,,,,,,,,1.88546471632577,3.00002797003065,,,,,,,3.99986013030448,,,
16.000625,,,,,,,,,1.46558694681741,2.73208379429269,,,,,,,4.60595758139862,,,
16.40065,,,,,,,,,1.91105569502547,2.16349192762649,,,,,,,4.75643321498733,,,
16.80065,,,,,,,,,1.88150596341079,2.57042805695591,,,,,,,4.40292722826998,,,
17.200675,,,,,,,,,2.56470674478088,2.24931770289448,,,,,,,4.12112627136275,,,
17.6007,,,,,,,,,1.70192275262183,3.18990462782174,,,,,,,3.97916614325329,,,
18.0007,,,,,,,,,1.65934301759759,2.33401405172981,,,,,,,4.81167635928694,,,
18.400725,,,,,,,,,2.22852021252156,3.07227289676255,,,,,,,3.64112413793164,,,
18.80075,,,,,,,,,2.4391085742495,2.74033664132529,,,,,,,3.77100821099238,,,
19.20075,,,,,,,,,2.47332298709786,2.38887882679291,,,,,,,4.06893283417168,,,
19.600775,,,,,,,,,2.04478036372533,2.64528799330353,,,,,,,4.1945310484045,,,
20.000775,,,,,,,,,1.99022470462267,2.71106956208673,,,,,,,4.17968721096419,,,
20.4008,,,,,,,,,2.12155522083578,2.86645347230212,,,,,,,3.92351590638911,,,
20.800825,,,,,,,,,1.73796677702781,2.87574923707098,,,,,,,4.24082955286422,,,
21.200825,,,,,,,,,1.26528466608362,3.29071216452328,,,,,,,4.25641660373032,,,
21.60085,,,,,,,,,2.86343710683967,2.32972408788119,,,,,,,3.79246302774848,,,
22.000875,,,,,,,,,1.96123477989068,2.46043745688254,,,,,,,4.43751205865243,,,
22.400875,,,,,,,,,2.2619024447864,2.45621619217044,,,,,,,4.18594076654127,,,
22.8009,,,,,,,,,1.71251221543051,2.82493895251669,,,,,,,4.30973439137364,,,
23.200925,,,,,,,,,2.17201996020183,2.31826820400431,,,,,,,4.39066820236268,,,
23.600925,,,,,,,,,2.03502735071797,3.02466650040248,,,,,,,3.84984219960692,,,
24.00095,,,,,,,,,2.34474954320686,1.94652496163312,,,,,,,4.58976031043873,,,
