Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, barrel field (R);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (R);;;;;;;;;;;;;;;;;;;;
Olfactory areas (L);;;;;;;;;;;;;;;;;;;;
Olfactory areas (R);;;;;;;;;;;;;;;;;;;;
Hippocampal formation (L);;;;;;;;;1;-0.371708046819887;;;;;;;-0.503931397078042;;;
Hippocampal formation (R);;;;;;;;;-0.371708046819887;1;;;;;;;-0.614540814627893;;;
Cortical subplate (L);;;;;;;;;;;;;;;;;;;;
Cortical subplate (R);;;;;;;;;;;;;;;;;;;;
Striatum (L);;;;;;;;;;;;;;;;;;;;
Striatum (R);;;;;;;;;;;;;;;;;;;;
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);;;;;;;;;-0.503931397078042;-0.614540814627893;;;;;;;1;;;
Thalamus (R);;;;;;;;;;;;;;;;;;;;
Hypothalamus (L);;;;;;;;;;;;;;;;;;;;
Hypothalamus (R);;;;;;;;;;;;;;;;;;;;
