Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.231043055812321;;;0.265661961416721;0.109859516041885;0.171043858073236;0.221883396274119;0.536951039399321;0.138965601396355;0.0776299104317153;0.218274404279277;;;;;0.0265775632089387;-0.0747988514199321;0.198450011661167;0.0174172468816866
Primary somatosensory area, barrel field (R);0.231043055812321;1;;;0.182365545637295;0.390269471049093;0.212473526536304;0.275257311298079;0.101622268551223;0.243948397754458;-0.10845254571825;0.0852116562535693;;;;;-0.0268913316625564;0.0534989800825089;0.155628319595526;0.0697283318369481
Primary somatosensory area, lower limb (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);0.265661961416721;0.182365545637295;;;1;0.364493961603012;0.346738220799084;0.184005181004715;0.190997236370358;0.45405987531141;0.0383665660224628;0.213366857517733;;;;;0.217269144775866;0.23286286901537;0.174182705121565;0.214150704310441
Supplemental somatosensory area (R);0.109859516041885;0.390269471049093;;;0.364493961603012;1;0.230606533391177;0.387482098524977;0.118551802244301;0.426849701838064;0.069206429134688;0.14223536329108;;;;;0.181679361384486;0.0556575964270838;0.145651227257778;0.255104380658365
Olfactory areas (L);0.171043858073236;0.212473526536304;;;0.346738220799084;0.230606533391177;1;0.308993358435072;0.112313709357988;0.392473117018734;0.141891560285014;0.112477130596651;;;;;0.190511227687432;0.0674861895436426;0.164667562373282;0.276408139588113
Olfactory areas (R);0.221883396274119;0.275257311298079;;;0.184005181004715;0.387482098524977;0.308993358435072;1;0.266390688204417;0.467109415299499;-0.0485948689961732;0.119882832865231;;;;;0.125021719283506;-0.0135728438933665;0.177665527286565;0.247310644024781
Hippocampal formation (L);0.536951039399321;0.101622268551223;;;0.190997236370358;0.118551802244301;0.112313709357988;0.266390688204417;1;0.364801359303587;0.0500125205708481;0.364076606627403;;;;;0.18654767656151;0.22307909813592;0.202940684458126;0.19603657381535
Hippocampal formation (R);0.138965601396355;0.243948397754458;;;0.45405987531141;0.426849701838064;0.392473117018734;0.467109415299499;0.364801359303587;1;0.0186382195428073;0.228062649122241;;;;;0.21224415816792;0.33165768702085;0.15763846557309;0.235341949964211
Cortical subplate (L);0.0776299104317153;-0.10845254571825;;;0.0383665660224628;0.069206429134688;0.141891560285014;-0.0485948689961732;0.0500125205708481;0.0186382195428073;1;0.0783799865296213;;;;;0.103705268270995;0.203252164805765;0.217724048494682;0.00907494792754259
Cortical subplate (R);0.218274404279277;0.0852116562535693;;;0.213366857517733;0.14223536329108;0.112477130596651;0.119882832865231;0.364076606627403;0.228062649122241;0.0783799865296213;1;;;;;0.176651514629187;0.0844110884177403;-0.0145457927579671;0.182848370716573
Striatum (L);;;;;;;;;;;;;;;;;;;;
Striatum (R);;;;;;;;;;;;;;;;;;;;
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);0.0265775632089387;-0.0268913316625564;;;0.217269144775866;0.181679361384486;0.190511227687432;0.125021719283506;0.18654767656151;0.21224415816792;0.103705268270995;0.176651514629187;;;;;1;0.0185337772121878;0.291347335031312;0.152476235735121
Thalamus (R);-0.0747988514199321;0.0534989800825089;;;0.23286286901537;0.0556575964270838;0.0674861895436426;-0.0135728438933665;0.22307909813592;0.33165768702085;0.203252164805765;0.0844110884177403;;;;;0.0185337772121878;1;0.0389154243923396;0.0326738374721434
Hypothalamus (L);0.198450011661167;0.155628319595526;;;0.174182705121565;0.145651227257778;0.164667562373282;0.177665527286565;0.202940684458126;0.15763846557309;0.217724048494682;-0.0145457927579671;;;;;0.291347335031312;0.0389154243923396;1;0.173920775640387
Hypothalamus (R);0.0174172468816866;0.0697283318369481;;;0.214150704310441;0.255104380658365;0.276408139588113;0.247310644024781;0.19603657381535;0.235341949964211;0.00907494792754259;0.182848370716573;;;;;0.152476235735121;0.0326738374721434;0.173920775640387;1
