Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.587271395220697;-0.309031227998154;-0.160508472104284;-0.0200320698148419;-0.0276708755738751;0.126800946224627;-0.151719351471871;-0.0813889030439598;-0.0536245220396654;0.000944393963988033;-0.0661885715239379;-0.128565721427198;-0.0366787313103913;-0.0281138787620176;-0.108705084659967;0.139923772940312;0.242173573063279;-0.130764387484753;-0.149569498615089
Primary somatosensory area, barrel field (R);0.587271395220697;1;-0.252926591482307;-0.0977954758823782;0.00103634009463763;0.210400654640663;-0.055344109879245;-0.194530232417949;-0.166035371499511;-0.190780548692863;-0.172030497279776;-0.0184637292532668;0.0116245361876572;0.145559354432181;-0.0784505460202014;-0.111479647669285;0.0513076035602213;-0.00161528549176029;-0.176566936296715;-0.0840282812873721
Primary somatosensory area, lower limb (L);-0.309031227998154;-0.252926591482307;1;-0.0364132396043915;0.0571382633012085;0.0748179520978446;-0.132548569860291;-0.10610760886775;0.163655960239983;-0.000969320201548425;-0.0755353751389103;-0.101469462704273;-0.150272336385771;-0.074347702098619;0.0267767611852656;0.101319246696508;-0.160042138209332;-0.067492625450154;-0.221627722849125;-0.0464313696535451
Primary somatosensory area, lower limb (R);-0.160508472104284;-0.0977954758823782;-0.0364132396043915;1;-0.0289955233459228;-0.0710263524217293;-0.0851047689904747;-0.146722940004312;0.149500126204443;0.0751816207536331;-0.149835155530235;-0.301749895600733;-0.107549810254554;-0.245468379386445;-0.0104660253921044;-0.0542183610025856;0.171696404692636;0.0705806801739995;0.0069687145346757;0.138136436449541
Supplemental somatosensory area (L);-0.0200320698148419;0.00103634009463763;0.0571382633012085;-0.0289955233459228;0.999999999999999;0.686005169873704;-0.323666196245627;0.0380092738781471;-0.0749689548841759;0.341401921963896;-0.0809890563682682;-0.0261142887536102;0.160049384639251;0.148651466181195;-0.276727520234173;0.259516216854962;-0.073965399522253;-0.122946781617848;-0.103923456829322;-0.192143432498261
Supplemental somatosensory area (R);-0.0276708755738751;0.210400654640663;0.0748179520978446;-0.0710263524217293;0.686005169873704;1;-0.351843955035294;0.186268666060209;-0.0839525788694141;0.15259010887634;-0.114304521256984;-0.079813432840588;0.199723725720253;0.19372915298892;-0.304326386580822;0.228253628478482;-0.0894042322215377;-0.186145433949387;-0.202806330859864;-0.179084048389103
Olfactory areas (L);0.126800946224627;-0.055344109879245;-0.132548569860291;-0.0851047689904747;-0.323666196245627;-0.351843955035294;1;-0.20538176075244;0.215462052579662;0.0205398722955186;0.302099500723102;-0.0863666623320891;0.0687756847929151;-0.481876867773356;0.0216731901192409;-0.157247126379505;0.113538807116768;-0.00203585644750016;0.0268279341561157;-0.00816748552056187
Olfactory areas (R);-0.151719351471871;-0.194530232417949;-0.10610760886775;-0.146722940004312;0.0380092738781471;0.186268666060209;-0.20538176075244;1;0.00112254278033917;0.256784349031726;-0.224315071540064;0.426936523932695;-0.186988994009477;0.0329488514366918;-0.219584172484115;-0.0198668955187274;-0.28684698393003;-0.239997278813907;-0.293990543693664;-0.056887130637877
Hippocampal formation (L);-0.0813889030439598;-0.166035371499511;0.163655960239983;0.149500126204443;-0.0749689548841759;-0.0839525788694141;0.215462052579662;0.00112254278033917;1;0.467812186819095;-0.0325604783131625;-0.217874767299398;-0.19156487233724;-0.413837145942553;-0.167096686412632;-0.182441201359647;0.274037621486405;0.33843449511455;-0.135246383240845;0.116305575836958
Hippocampal formation (R);-0.0536245220396654;-0.190780548692863;-0.000969320201548425;0.0751816207536331;0.341401921963896;0.15259010887634;0.0205398722955186;0.256784349031726;0.467812186819095;0.999999999999999;-0.124781650302518;0.0215816268361943;-0.157893293376259;-0.248494614209744;-0.436657335412184;-0.0162573529112385;0.0594420549829121;0.225238806589134;-0.259389309676162;0.183793071864388
