Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R)
0.4,,,,,,,0.806589890627837,1.68671067587899,2.49615021771226,3.35058304511076,5.41772601162362,,,,,,5.88049825912572,7.00378290031133,,
1,,,,,,,0.649525189481905,1.6793349144804,2.46251755681464,3.0098085242655,5.70196133053119,,,,,,6.18783245161081,6.78278770636589,,
1.600025,,,,,,,0.933130712779204,1.71689629029076,2.27043177535827,3.59603147269202,5.06830090819767,,,,,,5.78694083028933,7.33368642019469,,
2.20005,,,,,,,1.05235049114318,1.78648301115437,2.47654176255511,3.42490237725828,4.6407073401412,,,,,,5.98527502851508,7.53717208197995,,
2.80005,,,,,,,0.357825308631549,2.07280945676006,2.45264691071441,3.3686982487681,5.0008978608761,,,,,,6.2156510034558,7.46326604271248,,
3.400075,,,,,,,0.338647119097799,2.31411281909473,2.44718699127854,3.42027316346313,5.09577846920481,,,,,,6.05049763284684,7.34971241639437,,
4.000075,,,,,,,1.43960069565167,2.32543478902087,2.60049530380912,3.6057334166808,4.99471915126049,,,,,,6.21548393028641,7.41526514305371,,
4.6001,,,,,,,0.550985454984489,2.06287107850235,2.5799606258548,3.64527130299526,5.31161201174903,,,,,,5.8552537980415,7.3524062959669,,
5.200125,,,,,,,0.7332394593356,1.72361724034119,2.54905528388887,3.80972977398954,5.09602758773632,,,,,,6.23524761951531,7.20933975155264,,
5.800125,,,,,,,0.107050893485435,1.55230594633206,2.28392583900604,3.28090510464559,5.6433820315807,,,,,,6.09608878779061,7.29694885561168,,
6.40015,,,,,,,0.936449150644468,2.5734980619959,2.82793805213672,3.80267329665924,4.76660532832727,,,,,,5.70730430346843,7.26471505412122,,
7.000175,,,,,,,0.84018733936445,1.9107129432851,2.6664712910326,3.73316387821653,5.4780501681221,,,,,,6.43745186031715,6.99508993386744,,
7.600175,,,,,,,0.278018575688492,2.06082881664582,2.42220760276283,3.67657158045066,4.62447746004022,,,,,,6.3260416144289,7.26938858351344,,
8.2002,,,,,,,0.126289927283701,1.7190276385308,2.35078869385274,3.48628252537998,5.18605051803768,,,,,,5.58858464290911,7.2140483784778,,
8.800225,,,,,,,0.750721027938159,2.12114399046834,2.18236349819854,3.4500370467157,4.81499377392894,,,,,,6.43269872221172,7.23287875262582,,
9.400225,,,,,,,0.820248144847727,1.7123611632254,2.38081154107762,3.38954922995429,4.27656900450296,,,,,,6.2347248719098,7.67085920246241,,
10.00025,,,,,,,0.653839688065639,1.30185215255179,2.49542775363742,3.25568858305175,4.80660715155987,,,,,,6.41373986589369,7.67450952691937,,
10.60025,,,,,,,0.749043366940493,1.50619811129014,2.35250351058226,3.40566296631283,5.17360023063033,,,,,,5.0812530765605,7.08756760947923,,
11.200275,,,,,,,1.18942337235947,1.27025656816849,2.17737473593546,3.18038796975387,5.19790031651146,,,,,,6.03530857202918,7.30112235816874,,
11.8003,,,,,,,0.819078570700698,1.3658033492998,2.39641626704228,3.48580995314733,5.26297107515827,,,,,,6.08266468943322,7.02444328350277,,
12.4003,,,,,,,0.857600773544714,2.23538767904951,2.17402619988795,3.4753736048717,5.27587351302031,,,,,,5.69261814198377,6.71471275494291,,
13.000325,,,,,,,0.688180459414117,1.37507721985379,2.3405802881826,3.24036971150269,5.57483392506255,,,,,,6.30993356538118,7.18323772254322,,
13.60035,,,,,,,0.923613502231393,1.7683360190854,2.44136760973269,3.49615461274293,4.87742478851621,,,,,,6.35959966008529,6.74901978763401,,
14.20035,,,,,,,1.32419481410073,1.24250836614263,2.38212931700119,3.28577901645988,5.08203664228931,,,,,,6.17050291356122,6.96644929894268,,
14.800375,,,,,,,0.0272397592850639,1.31779698935494,2.40060421863674,3.14877337158811,5.33065454030311,,,,,,5.71557611445254,7.08106562975237,,
15.4004,,,,,,,0.273254263617611,2.0027440876056,2.21518766018721,3.22380099593499,4.95201073482406,,,,,,6.04489791663848,7.71552305451633,,
16.0004,,,,,,,0.729102902880613,1.76750192806366,2.41977741391098,3.6398172218539,4.52425994799671,,,,,,6.37055122235504,6.83535861345664,,
16.600425,,,,,,,0.818836185186432,1.77352682644792,2.55229222069867,3.38349457820579,5.00734883168663,,,,,,6.3365783277347,6.93365527514697,,
17.20045,,,,,,,1.01037220535964,1.77613083044842,2.39935834686522,3.56041769194211,4.62889139864043,,,,,,6.0629253372108,6.92520014037531,,
17.80045,,,,,,,0.56396975932537,1.84182347297798,2.58239248229586,3.40752936880298,5.09413224599198,,,,,,5.46718222250339,7.53611454556913,,
18.400475,,,,,,,0.977032308758124,1.49247405510897,2.32399338225147,3.793740841083,5.71791765559684,,,,,,6.59924078699178,7.117876541563,,
19.000475,,,,,,,1.13986071193478,1.43398536623766,2.48371943452169,3.40393763198914,5.0058370699322,,,,,,6.38411287152157,7.78074082964828,,
19.6005,,,,,,,1.09264664350412,1.832524053078,2.61939180339154,3.60281662835269,4.79475978293061,,,,,,6.1494391156003,7.68720693713425,,
20.200525,,,,,,,0.975459753723143,2.13235109078409,2.54800553707528,3.39438749330788,5.79357283700922,,,,,,6.27682485890565,7.27151551859026,,
20.800525,,,,,,,0.947752126723299,2.35982653896273,2.44199156453368,3.32483505975926,5.27195877362129,,,,,,5.52626550850923,7.66660384567426,,
21.40055,,,,,,,0.453793289422006,1.87202155929875,2.5291193726904,3.66910849843874,5.50055277732216,,,,,,5.9012690516591,7.80197415128973,,
22.000575,,,,,,,0.265644980850663,2.37912107874671,2.36510124956217,3.39754104654209,5.02517467222324,,,,,,6.36623404069002,7.73679568824938,,
22.600575,,,,,,,0.817409885038708,1.73096461035721,2.73185497691221,3.49456844883536,5.46139360844931,,,,,,6.48602879041594,6.89584920474852,,
23.2006,,,,,,,0.780653406126431,1.66852363266815,2.79078749518497,3.63272433308602,5.52961313062207,,,,,,7.10766259513585,7.25748260512655,,
23.800625,,,,,,,0.676701226891853,1.97419734463881,2.64063017883849,3.73473062028594,5.38492262425136,,,,,,5.77229263374569,7.90059151872449,,
24.400625,,,,,,,0.915696630842497,1.83993761750927,2.44061995731019,3.68413535700007,5.60042914071671,,,,,,6.40436463189785,7.56158901430699,,
25.00065,,,,,,,1.26323606868548,1.702322483566,2.62244288936106,3.503832633712,4.89835245300233,,,,,,5.9512257638385,8.05616611005304,,
25.60065,,,,,,,0.697776478318709,1.28636310739665,2.67820914848119,3.39001140455577,5.66735265900919,,,,,,6.85417416662567,7.58538474952889,,
26.200675,,,,,,,1.46307169270409,2.07829833690187,2.33027110660681,3.51337754064625,5.60009815050816,,,,,,6.71258290062959,7.12115835382014,,
26.8007,,,,,,,1.08074351052019,1.9581726597131,2.63623996985706,3.5531093804098,5.03799509280756,,,,,,5.74648750683466,7.06768195448327,,
27.4007,,,,,,,0.691567705774131,1.78514449039275,2.783549508359,3.80998171801333,4.82050292680893,,,,,,6.68750363981858,7.48273310363169,,
28.000725,,,,,,,0.672745459302756,1.78685622575202,2.22951413941965,3.45356333321467,4.80240642644498,,,,,,6.29169161953383,6.99344655601225,,
28.60075,,,,,,,0.980702640007959,1.70720238710543,2.54357702692972,3.68444794322668,5.02857438762371,,,,,,5.67439372440359,6.97622640730334,,
29.20075,,,,,,,1.02180216424881,1.90041333064388,2.5626083192551,3.4507118870312,5.49298640588017,,,,,,6.28426270727399,6.94128118071313,,
29.800775,,,,,,,0.453330327561267,2.51711345150867,2.71638414960465,3.61855575563515,5.59672891075296,,,,,,6.12392633269331,7.34514531598419,,
30.4008,,,,,,,0.483818723412784,2.04402644906722,2.38701522149161,4.18045674583706,5.90340278196705,,,,,,6.60433739102292,7.52425384833699,,
31.0008,,,,,,,0.71823992113183,2.24195378268929,2.47786743235812,3.78125909385661,5.18028232113785,,,,,,6.36575697754689,6.3221807819458,,
31.600825,,,,,,,0.813329090317607,2.42875537740574,2.29986786380813,3.74112854300894,5.3388586542723,,,,,,6.26394215111964,7.13206471980404,,
32.20085,,,,,,,1.32578395241543,2.15345582550108,2.78870604745418,4.01816304957042,6.16754473018652,,,,,,6.44684400620956,7.74693240039787,,
32.80085,,,,,,,0.826535557019326,1.89407935095075,2.67480752847776,4.06941167505593,4.48016883528668,,,,,,6.45471870005786,7.37811678981077,,
33.400875,,,,,,,0.536285709661089,2.37001311166845,2.74766886753397,3.79282712872503,4.5145184373471,,,,,,6.0640767776785,7.97711523230677,,
