Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.609376986825452;0.374949411070697;0.298068872905595;0.665513423846338;0.513335222636736;0.430765145970053;0.597914410560844;0.417044093687589;0.69090560535044;0.545627614838964;0.608123524005762;0.554556900491072;0.214597648736992;0.163935864378271;0.241312275074676;0.515043551376299;0.503701572624041;0.600870008757325;0.420412737607582
Primary somatosensory area, barrel field (R);0.609376986825452;1;0.102249727194627;0.336973117262565;0.344742689184733;0.51548366673187;0.388731468243634;0.497878052250545;0.452633201444226;0.46295411412581;0.548508452544633;0.634380887695231;0.568492812699435;0.320748153880073;0.177227991451224;0.370166243397256;0.540176761302631;0.715386876064247;0.353469453283022;0.476192888520123
Primary somatosensory area, lower limb (L);0.374949411070697;0.102249727194627;1;0.590336998263943;0.439927313972668;0.225214234352947;0.165039935989495;0.173858123009014;0.0346271232752053;0.36397991156727;0.201349198500884;0.203683506246007;0.240838979979416;-0.0134688710647003;0.0296764234143154;0.0149583261538092;0.149314216083549;-0.00446809322561435;0.295465083391999;0.0191003920219727
Primary somatosensory area, lower limb (R);0.298068872905595;0.336973117262565;0.590336998263943;1;0.437893705728902;0.382857313937456;0.158954778760707;0.283038773639903;0.291736075493572;0.52029515191569;0.426214737676472;0.248096952450145;0.451012319065198;0.231476874961168;0.179583236104039;0.272293323756952;0.388521913905999;0.252187855140825;0.416092240451674;0.155602302402148
Supplemental somatosensory area (L);0.665513423846338;0.344742689184733;0.439927313972668;0.437893705728902;1;0.487071302511195;0.476108130478933;0.66604914890549;0.270795585557754;0.609464388713995;0.567889905197949;0.516167869302424;0.494421492071515;0.382552301733108;0.241023644066977;0.284910130301473;0.333996938213941;0.319428437933709;0.406959210038376;0.249607597856102
Supplemental somatosensory area (R);0.513335222636736;0.51548366673187;0.225214234352947;0.382857313937456;0.487071302511195;1;0.366301275729569;0.475355713681107;0.336835107834628;0.522154693559991;0.377396288369075;0.605046865392531;0.704972001016229;0.367719465508539;0.299850074717374;0.325791566884925;0.454538027409815;0.540034888103611;0.469982147449442;0.349920123756405
Olfactory areas (L);0.430765145970053;0.388731468243634;0.165039935989495;0.158954778760707;0.476108130478933;0.366301275729569;1;0.635132319548914;0.627218610572343;0.593659678687212;0.408701587030332;0.281574319913988;0.474382511331465;0.431812217744793;0.391070447882574;0.286113862403125;0.544427215199204;0.433138863799738;0.235862655442932;0.346145749000026
Olfactory areas (R);0.597914410560844;0.497878052250545;0.173858123009014;0.283038773639903;0.66604914890549;0.475355713681107;0.635132319548914;1;0.506532711754193;0.702324502375428;0.617773187728524;0.585452649933219;0.639753138671806;0.538236436540683;0.38621562963374;0.40824673941872;0.559727656388185;0.519688497377441;0.4424352829203;0.460505413875928
Hippocampal formation (L);0.417044093687589;0.452633201444226;0.0346271232752053;0.291736075493572;0.270795585557754;0.336835107834628;0.627218610572343;0.506532711754193;1;0.625384150117265;0.353968157219889;0.25309517041811;0.46787627542376;0.304352807051874;0.467829711194094;0.27509579716232;0.862736448344462;0.693264694212489;0.453565580330453;0.545526534677807
Hippocampal formation (R);0.69090560535044;0.46295411412581;0.36397991156727;0.52029515191569;0.609464388713995;0.522154693559991;0.593659678687212;0.702324502375428;0.625384150117265;1;0.60334495145222;0.485548320141033;0.618330851418966;0.336041621762143;0.255444602224834;0.359278351330319;0.767792422238493;0.631348510316346;0.645360245687966;0.494759394037296
Cortical subplate (L);0.545627614838964;0.548508452544633;0.201349198500884;0.426214737676472;0.567889905197949;0.377396288369075;0.408701587030332;0.617773187728524;0.353968157219889;0.60334495145222;1;0.580420754244512;0.55046926886049;0.301606571198792;-0.00857512384651865;0.286291252392372;0.484348913518561;0.457842051639215;0.541800745791315;0.404038361408528
Cortical subplate (R);0.608123524005762;0.634380887695231;0.203683506246007;0.248096952450145;0.516167869302424;0.605046865392531;0.281574319913988;0.585452649933219;0.25309517041811;0.485548320141033;0.580420754244512;0.999999999999999;0.527811057115764;0.399182060292265;0.134576622137897;0.266458499870393;0.368923516535416;0.473319183808178;0.336178856715444;0.386308033029899
Striatum (L);0.554556900491072;0.568492812699435;0.240838979979416;0.451012319065198;0.494421492071515;0.704972001016229;0.474382511331465;0.639753138671806;0.46787627542376;0.618330851418966;0.55046926886049;0.527811057115764;1;0.612657654979232;0.511953539874933;0.637334494724895;0.559826850603564;0.549259941842486;0.495649282047545;0.482982454005147
Striatum (R);0.214597648736992;0.320748153880073;-0.0134688710647003;0.231476874961168;0.382552301733108;0.367719465508539;0.431812217744793;0.538236436540683;0.304352807051874;0.336041621762143;0.301606571198792;0.399182060292265;0.612657654979232;1;0.567085223885135;0.643256702501122;0.27256888834719;0.284015413304165;0.164587907972804;0.27614938978314
Pallidum (L);0.163935864378271;0.177227991451224;0.0296764234143154;0.179583236104039;0.241023644066977;0.299850074717374;0.391070447882574;0.38621562963374;0.467829711194094;0.255444602224834;-0.00857512384651865;0.134576622137897;0.511953539874933;0.567085223885135;1;0.544815643016952;0.364266529056773;0.299935743851174;0.13755966013749;0.227890632178069
Pallidum (R);0.241312275074676;0.370166243397256;0.0149583261538092;0.272293323756952;0.284910130301473;0.325791566884925;0.286113862403125;0.40824673941872;0.27509579716232;0.359278351330319;0.286291252392372;0.266458499870393;0.637334494724895;0.643256702501122;0.544815643016952;1;0.289305875383749;0.323951728770074;0.234767405583942;0.223431095854919
Thalamus (L);0.515043551376299;0.540176761302631;0.149314216083549;0.388521913905999;0.333996938213941;0.454538027409815;0.544427215199204;0.559727656388185;0.862736448344462;0.767792422238493;0.484348913518561;0.368923516535416;0.559826850603564;0.27256888834719;0.364266529056773;0.289305875383749;1;0.84820623161088;0.717501529524473;0.716247771136587
Thalamus (R);0.503701572624041;0.715386876064247;-0.00446809322561435;0.252187855140825;0.319428437933709;0.540034888103611;0.433138863799738;0.519688497377441;0.693264694212489;0.631348510316346;0.457842051639215;0.473319183808178;0.549259941842486;0.284015413304165;0.299935743851174;0.323951728770074;0.84820623161088;1;0.60505708418441;0.74644181643013
Hypothalamus (L);0.600870008757325;0.353469453283022;0.295465083391999;0.416092240451674;0.406959210038376;0.469982147449442;0.235862655442932;0.4424352829203;0.453565580330453;0.645360245687966;0.541800745791315;0.336178856715444;0.495649282047545;0.164587907972804;0.13755966013749;0.234767405583942;0.717501529524473;0.60505708418441;1;0.570480142770368
Hypothalamus (R);0.420412737607582;0.476192888520123;0.0191003920219727;0.155602302402148;0.249607597856102;0.349920123756405;0.346145749000026;0.460505413875928;0.545526534677807;0.494759394037296;0.404038361408528;0.386308033029899;0.482982454005147;0.27614938978314;0.227890632178069;0.223431095854919;0.716247771136587;0.74644181643013;0.570480142770368;1
