Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.0665620543182235;0.377256146752376;-0.0874299571296713;0.518594848341919;-0.158435118445253;-0.176466448985273;0.260123318980558;-0.455554245693127;0.0213246338733644;0.287743098117474;0.274485226114934;-0.05799599891248;-0.397869419950341;-0.404314287611986;-0.155483123675408;-0.42018991896725;-0.273414684942721;-0.138033944013959;-0.302689496736135
Primary somatosensory area, barrel field (R);0.0665620543182235;1;-0.17895750755781;-0.0720820061567114;-0.32582148180218;0.0744008794624739;-0.101428208839067;-0.264790092899117;0.0619947854101441;-0.267007102077688;0.00160799123336007;0.244890601603812;-0.121369692896609;-0.205969678043857;-0.226238106829475;-0.113902201391798;0.0746143952422413;0.411941570324439;-0.0954932531308382;0.118192307871239
Primary somatosensory area, lower limb (L);0.377256146752376;-0.17895750755781;1;0.536801061521368;0.450147499158263;-0.0472250518194284;-0.0784235681817278;0.0674078649068802;-0.351634853581033;0.141003281053785;0.144862520160151;0.0745577622975546;0.0628560030027008;-0.247336645292817;-0.19463306789155;-0.107921477511679;-0.268684963635539;-0.402444227657136;-0.0431100025793814;-0.311862375888297
Primary somatosensory area, lower limb (R);-0.0874299571296713;-0.0720820061567114;0.536801061521368;1;0.139784778297513;0.0101190608138811;-0.278883518533701;-0.230011887848373;-0.109209982162965;0.157782129935117;0.108726461157626;-0.165099243319305;0.029649131756665;-0.136722529197657;-0.111844500263386;-0.032542609283917;-0.0593757616339266;-0.248826951385404;0.0615815213193729;-0.25298730512931
Supplemental somatosensory area (L);0.518594848341919;-0.32582148180218;0.450147499158263;0.139784778297513;1;-0.144635082017667;-0.0581953954988207;0.433681222766756;-0.571694131733751;-0.0697315027335416;0.353030928152678;0.163142250711118;-0.107722596200317;-0.0915286115538268;-0.259414677512787;-0.0526752410038708;-0.610283741381168;-0.510904023930706;-0.344051774657971;-0.479703303122126
Supplemental somatosensory area (R);-0.158435118445253;0.0744008794624739;-0.0472250518194284;0.0101190608138811;-0.144635082017667;1;-0.0782786978232234;-0.337967124997871;0.0299828320636581;-0.0330046208576043;-0.336074705608732;0.172313851849386;0.237489434324804;-0.0838817212993531;0.0245976101075901;-0.193882094331347;0.0593517325330124;0.14669298689915;0.188681694094697;0.0145147015700476
Olfactory areas (L);-0.176466448985273;-0.101428208839067;-0.0784235681817278;-0.278883518533701;-0.0581953954988207;-0.0782786978232234;1;0.111540251241313;0.389569151677561;0.194713424822142;-0.174104740612491;-0.316390489723532;-0.197490133780222;0.070961666620417;0.166624629839121;-0.182174774011874;0.207086473014115;-0.00906503653896477;-0.143666382348742;0.0182727757132908
Olfactory areas (R);0.260123318980558;-0.264790092899117;0.0674078649068802;-0.230011887848373;0.433681222766756;-0.337967124997871;0.111540251241313;1;-0.384656730391841;-0.0721436826619295;0.286146843313979;0.133937816221257;-0.0719003057199543;0.0389464818954913;-0.146458497775478;-0.023920072514462;-0.436455259113881;-0.37178755302887;-0.421274247656357;-0.307544100331585
Hippocampal formation (L);-0.455554245693127;0.0619947854101441;-0.351634853581033;-0.109209982162965;-0.571694131733751;0.0299828320636581;0.389569151677561;-0.384656730391841;1;0.31950759761302;-0.458975769567947;-0.400820638605135;-0.285112236940367;-0.0939437574058346;0.337502743541353;-0.282704681812632;0.846681696302026;0.516717572387828;0.392052060720751;0.459155880486557
Hippocampal formation (R);0.0213246338733644;-0.267007102077688;0.141003281053785;0.157782129935117;-0.0697315027335416;-0.0330046208576043;0.194713424822142;-0.0721436826619295;0.31950759761302;1;-0.0983444777612501;-0.24136087471509;-0.295054370125726;-0.350068743961309;-0.192452538942163;-0.312339924356522;0.45621488374457;0.142367761426147;0.360000599008128;0.100333268788334
Cortical subplate (L);0.287743098117474;0.00160799123336007;0.144862520160151;0.108726461157626;0.353030928152678;-0.336074705608732;-0.174104740612491;0.286146843313979;-0.458975769567947;-0.0983444777612501;1;0.239527617247746;-0.0469847991680773;-0.244687576235148;-0.61510872782483;-0.0978475164586377;-0.386768709894789;-0.296465774712493;-0.145104247660906;-0.266626236246516
Cortical subplate (R);0.274485226114934;0.244890601603812;0.0745577622975546;-0.165099243319305;0.163142250711118;0.172313851849386;-0.316390489723532;0.133937816221257;-0.400820638605135;-0.24136087471509;0.239527617247746;0.999999999999999;-0.10395238422118;-0.0506221752362357;-0.344858974745788;-0.179502186777211;-0.377943657035808;-0.142020121648069;-0.268247449551055;-0.147500628412289
Striatum (L);-0.05799599891248;-0.121369692896609;0.0628560030027008;0.029649131756665;-0.107722596200317;0.237489434324804;-0.197490133780222;-0.0719003057199543;-0.285112236940367;-0.295054370125726;-0.0469847991680773;-0.10395238422118;1;0.20873033581214;0.165885910104365;0.354799414772528;-0.303283382489231;-0.268656404837948;-0.201351630439611;-0.162112398512653
Striatum (R);-0.397869419950341;-0.205969678043857;-0.247336645292817;-0.136722529197657;-0.0915286115538268;-0.0838817212993531;0.070961666620417;0.0389464818954913;-0.0939437574058346;-0.350068743961309;-0.244687576235148;-0.0506221752362357;0.20873033581214;1;0.391362339256292;0.420251840307228;-0.267905543116436;-0.286904704724498;-0.294816060461905;-0.123199240595224
Pallidum (L);-0.404314287611986;-0.226238106829475;-0.19463306789155;-0.111844500263386;-0.259414677512787;0.0245976101075901;0.166624629839121;-0.146458497775478;0.337502743541353;-0.192452538942163;-0.61510872782483;-0.344858974745788;0.165885910104365;0.391362339256292;1;0.289241366194749;0.158799646477803;0.00284827360098455;-0.0672671602396165;0.0334191559026206
Pallidum (R);-0.155483123675408;-0.113902201391798;-0.107921477511679;-0.032542609283917;-0.0526752410038708;-0.193882094331347;-0.182174774011874;-0.023920072514462;-0.282704681812632;-0.312339924356522;-0.0978475164586377;-0.179502186777211;0.354799414772528;0.420251840307228;0.289241366194749;1;-0.369528880657226;-0.266498724071738;-0.312590447844591;-0.289627428868601
Thalamus (L);-0.42018991896725;0.0746143952422413;-0.268684963635539;-0.0593757616339266;-0.610283741381168;0.0593517325330124;0.207086473014115;-0.436455259113881;0.846681696302026;0.45621488374457;-0.386768709894789;-0.377943657035808;-0.303283382489231;-0.267905543116436;0.158799646477803;-0.369528880657226;1;0.695423763550082;0.63922128662725;0.621223834452929
Thalamus (R);-0.273414684942721;0.411941570324439;-0.402444227657136;-0.248826951385404;-0.510904023930706;0.14669298689915;-0.00906503653896477;-0.37178755302887;0.516717572387828;0.142367761426147;-0.296465774712493;-0.142020121648069;-0.268656404837948;-0.286904704724498;0.00284827360098455;-0.266498724071738;0.695423763550082;0.999999999999999;0.384617133480338;0.616882840558614
Hypothalamus (L);-0.138033944013959;-0.0954932531308382;-0.0431100025793814;0.0615815213193729;-0.344051774657971;0.188681694094697;-0.143666382348742;-0.421274247656357;0.392052060720751;0.360000599008128;-0.145104247660906;-0.268247449551055;-0.201351630439611;-0.294816060461905;-0.0672671602396165;-0.312590447844591;0.63922128662725;0.384617133480338;1;0.463312344742711
Hypothalamus (R);-0.302689496736135;0.118192307871239;-0.311862375888297;-0.25298730512931;-0.479703303122126;0.0145147015700476;0.0182727757132908;-0.307544100331585;0.459155880486557;0.100333268788334;-0.266626236246516;-0.147500628412289;-0.162112398512653;-0.123199240595224;0.0334191559026206;-0.289627428868601;0.621223834452929;0.616882840558614;0.463312344742711;1
