Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.899123136828366;0.249135464579483;0.442516123970472;0.802821322619654;0.767663817235989;0.383090915293596;0.592244086908055;0.793782537664863;0.806543680765502;0.693224470324884;0.589621579111594;0.62891609607602;0.574657730799867;0.0268744065874285;0.0701678801350718;0.825210466854553;0.830261887407981;0.510652463962192;0.665012508848083
Primary somatosensory area, barrel field (R);0.899123136828366;1;0.257549052727319;0.460609007770154;0.779735680392192;0.800833536874341;0.305606408030971;0.54688884533777;0.76115664448729;0.759987410222855;0.625250988413165;0.582132830318119;0.653864522945574;0.617761348242439;0.00525702142730232;0.0549125491325516;0.791359077527505;0.758428767735205;0.479753631557954;0.670579496016974
Primary somatosensory area, lower limb (L);0.249135464579483;0.257549052727319;1;0.206117992553011;0.42939787572744;0.430379987081761;-0.0469910095505826;0.262595113208292;0.448562906806705;0.397994863088489;0.288378901635628;0.246465621370767;0.242763477710896;0.269426561195229;0.033325154064314;0.161146256505696;0.322730155427162;0.346290727171207;0.107967655423784;0.31167746459094
Primary somatosensory area, lower limb (R);0.442516123970472;0.460609007770154;0.206117992553011;1;0.542950527994547;0.511897212164717;-0.0257489156135053;0.367654613941195;0.549448410730948;0.5487374807806;0.349263853520841;0.244628673525727;0.383522843950138;0.298587393436343;-0.00987696638763201;0.0583885286572768;0.567115150735986;0.520247004299477;0.34444588577583;0.505640473372657
Supplemental somatosensory area (L);0.802821322619654;0.779735680392192;0.42939787572744;0.542950527994547;1;0.928899270053984;0.260004673172403;0.656562376144921;0.852367422678749;0.90926947610906;0.715843474842326;0.608060506735973;0.735751961556462;0.60352208700881;-0.0573201653922711;0.21922275521359;0.825832766142127;0.791482214095728;0.564732566953684;0.70647880998882
Supplemental somatosensory area (R);0.767663817235989;0.800833536874341;0.430379987081761;0.511897212164717;0.928899270053984;1;0.234499921495114;0.676163147090372;0.822694472918327;0.852324637060713;0.678074518998875;0.552058775828533;0.728716467427286;0.584856323261219;-0.09072433591956;0.21462184652012;0.790472366791588;0.742182895042963;0.501314909385777;0.678024616662668
Olfactory areas (L);0.383090915293596;0.305606408030971;-0.0469910095505826;-0.0257489156135053;0.260004673172403;0.234499921495114;1;0.216341827413954;0.309627904255986;0.306404237240343;0.414524625690952;0.287455846261578;0.34357291548015;0.0906511424409059;-0.0601337346688354;-0.0460672817819961;0.319589420105128;0.255830414168925;0.154676483119983;0.173836115965784
Olfactory areas (R);0.592244086908055;0.54688884533777;0.262595113208292;0.367654613941195;0.656562376144921;0.676163147090372;0.216341827413954;1;0.702487018642682;0.752662720449493;0.496677046515197;0.701529377202973;0.463170154975688;0.42183577673086;-0.0982049985304317;0.0646484282811514;0.586715395276814;0.574518329318545;0.324053241680861;0.588107134866318
Hippocampal formation (L);0.793782537664863;0.76115664448729;0.448562906806705;0.549448410730948;0.852367422678749;0.822694472918327;0.309627904255986;0.702487018642682;1;0.921132482556023;0.694358291275382;0.598848227873904;0.650296092323698;0.543648056562348;-0.0536778468236549;0.0705579497392687;0.869253172777828;0.866701946653805;0.516918796843449;0.746083463199371
Hippocampal formation (R);0.806543680765502;0.759987410222855;0.397994863088489;0.5487374807806;0.90926947610906;0.852324637060713;0.306404237240343;0.752662720449493;0.921132482556023;1;0.694486275549412;0.657494848856631;0.666032981379096;0.558095802421732;-0.129846892460817;0.127068862917051;0.844575572488744;0.853574129338542;0.506314110850963;0.781927461668073
Cortical subplate (L);0.693224470324884;0.625250988413165;0.288378901635628;0.349263853520841;0.715843474842326;0.678074518998875;0.414524625690952;0.496677046515197;0.694358291275382;0.694486275549412;1;0.474018141003457;0.640399395012566;0.533092132707739;0.0618314786458141;0.260888615076873;0.710285483767394;0.682767206862971;0.500427680566108;0.550560285650724
