Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.447918968464248;0.140683769318614;0.228439619740479;-0.680760274180538;-0.680099753872325;-0.481989632961892;-0.44884855091507;0.586416640036802;0.534888490946933;0.221429007423927;-0.05274850352377;-0.14133537812296;-0.249135523517815;-0.0678999021073959;-0.084800406760311;0.658566990722521;0.634780248790371;-0.46362036013622;0.222160606461099
Primary somatosensory area, barrel field (R);0.447918968464248;1;-0.277564406971917;-0.144063580483476;-0.0974108703019873;-0.03936355932001;-0.23320384929081;-0.17171963915537;-0.146355679497658;-0.18132912795347;0.203715622644729;0.209730691598011;0.226750893409263;-0.0505637643328103;0.0135818663954948;-0.0221326086113584;0.130991920302181;0.202884323324695;-0.227551338513114;-0.0756274279910017
Primary somatosensory area, lower limb (L);0.140683769318614;-0.277564406971917;1;0.330372243536344;-0.459064235231785;-0.479714744835637;-0.409145930278409;-0.398234764186675;0.577976756687527;0.531290358316049;-0.132241709587126;-0.221458865609289;-0.25455659453601;-0.112955116853608;0.0401936005747901;0.00617430606064697;0.360465336209141;0.270306912165596;-0.446141221074797;0.204187397752166
Primary somatosensory area, lower limb (R);0.228439619740479;-0.144063580483476;0.330372243536344;1;-0.476945284671971;-0.500808449415281;-0.399117191830744;-0.426954559125558;0.557007405460097;0.536125877744019;-0.137565893487465;-0.347167476565239;-0.202662899420925;-0.264636278278635;0.0198797688991627;-0.108994771590581;0.490821135918116;0.356716964639261;-0.313601089203373;0.333043007174444
Supplemental somatosensory area (L);-0.680760274180538;-0.0974108703019873;-0.459064235231785;-0.476945284671971;1;0.988608198974311;0.70078900350779;0.521641363081499;-0.881803920062148;-0.779349326654392;-0.299818101465323;0.0378417316608759;0.13836701257518;0.339328817733692;0.0402668873851526;0.0656516190620419;-0.87511359306573;-0.750855664994813;0.532103677564256;-0.491452003028948
Supplemental somatosensory area (R);-0.680099753872325;-0.03936355932001;-0.479714744835637;-0.500808449415281;0.988608198974311;1;0.695671264577227;0.549292159452721;-0.904419141661045;-0.818902493531203;-0.267411457095958;0.053474331894228;0.162285103653135;0.32856636210511;0.0381606987172198;0.0659911172577423;-0.875468830378363;-0.745402826237143;0.523722462907464;-0.491451826003307
Olfactory areas (L);-0.481989632961892;-0.23320384929081;-0.409145930278409;-0.399117191830744;0.70078900350779;0.695671264577227;1;0.385104004151491;-0.560318303746903;-0.559766072916433;-0.135398339805962;-0.116218288071151;-0.0238151313584224;0.0214077131980122;-0.080627667299664;-0.0770321876944128;-0.654426708044681;-0.63672111002156;0.556488589411536;-0.296597663566618
Olfactory areas (R);-0.44884855091507;-0.17171963915537;-0.398234764186675;-0.426954559125558;0.521641363081499;0.549292159452721;0.385104004151491;1;-0.488891875714645;-0.394330821188293;-0.185561686598985;0.341150092788142;-0.10472592347738;0.176091982878748;-0.248139719189292;0.0320344945339966;-0.583717908668437;-0.529800312419479;0.22271892247577;-0.265065726835052
Hippocampal formation (L);0.586416640036802;-0.146355679497658;0.577976756687527;0.557007405460097;-0.881803920062148;-0.904419141661045;-0.560318303746903;-0.488891875714645;1;0.923794520170199;0.0432794225646559;-0.245227613084146;-0.298123283096566;-0.276608014651008;-0.148643053223907;-0.114868252047601;0.805799553830355;0.631490816082736;-0.495065826644286;0.480921280011472
Hippocampal formation (R);0.534888490946933;-0.18132912795347;0.531290358316049;0.536125877744019;-0.779349326654392;-0.818902493531203;-0.559766072916433;-0.394330821188293;0.923794520170199;1;-0.0350851217821759;-0.183197878019664;-0.29136500605523;-0.247713087427737;-0.226627732624414;-0.0843831807547046;0.725988472137309;0.592213194584898;-0.544173478939967;0.479125034505498
