Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R)
0.4,,,,,,,1.61528775036347,1.99762203382898,3.44178043737126,4.07978227317723,5.4705241713594,,,,,,5.98134559612151,7.30483349805525,,
1,,,,,,,1.42269023308118,1.98935639064863,3.3751344976939,3.58255661720216,5.75599031907541,,,,,,6.29517809288869,7.06122752323247,,
1.600025,,,,,,,1.7695731033674,2.03090046781565,2.99906978521576,4.43623680553764,5.12059508960405,,,,,,5.88545333505375,7.66593010693189,,
2.20005,,,,,,,1.91520804641369,2.10794092138545,3.4005631153014,4.18623261281339,4.69192921362155,,,,,,6.08792567804286,7.88882893794691,,
2.80005,,,,,,,1.06462933557971,2.42524290177713,3.3529176553752,4.10370698489365,5.05358769907502,,,,,,6.32313311872277,7.80687713168274,,
3.400075,,,,,,,1.040829624767,2.69262925810354,3.34126546235551,4.17824616701709,5.14907720330639,,,,,,6.15424878903356,7.68135412826402,,
4.000075,,,,,,,2.38832829623752,2.7050644849266,3.63963760454571,4.4478947239468,5.04799162192635,,,,,,6.32265044505175,7.75266939006928,,
4.6001,,,,,,,1.30013317303009,2.41387849352633,3.59853901730806,4.50489087668499,5.36620473082784,,,,,,5.95446588052963,7.68286230277905,,
5.200125,,,,,,,1.52292771838451,2.03767243893683,3.53718465782079,4.74393210684174,5.15021908760379,,,,,,6.3425287735303,7.5249086943703,,
5.800125,,,,,,,0.755999986686261,1.84763389546506,3.01845256600249,3.97265612390393,5.6996324309171,,,,,,6.20020050054297,7.62046771885653,,
6.40015,,,,,,,1.77104514220957,2.97953982279408,4.07973887694032,4.73240064309341,4.82031494088007,,,,,,5.80284256439852,7.58432130377414,,
7.000175,,,,,,,1.65286671048893,2.24466761755446,3.76342088342836,4.63047983616598,5.53434314637856,,,,,,6.54863815840059,7.28728440074354,,
7.600175,,,,,,,0.964308771801001,2.41093167226089,3.28541935560517,4.5473822999947,4.67829933207851,,,,,,6.43465825781055,7.58801812279605,,
8.2002,,,,,,,0.778222634908907,2.03187594727273,3.14492967529975,4.26944864769527,5.24196677959945,,,,,,5.68107914640226,7.52648177303583,,
8.800225,,,,,,,1.54233366691196,2.47748489776779,2.81500961591519,4.21600079272883,4.86999132375074,,,,,,6.54330743251469,7.54645977715921,,
9.400225,,,,,,,1.62711227370884,2.0241664814226,3.20148384648156,4.12722399895075,4.33010499560689,,,,,,6.34088917558139,8.02708277541401,,
10.00025,,,,,,,1.42304947841039,1.56892943139468,3.42425364708698,3.93152070603514,4.8621280179198,,,,,,6.52362022774829,8.03038054683851,,
10.60025,,,,,,,1.53925869210341,1.79528482013037,3.14411564309541,4.14944737323829,5.23057709793102,,,,,,5.16212937134171,7.38462192039004,,
11.200275,,,,,,,2.0780417722393,1.53355446227665,2.80108665146469,3.82052504788917,5.25522444046671,,,,,,6.13667782108041,7.61860607277968,,
11.8003,,,,,,,1.62430862563546,1.63929047897244,3.22775536631314,4.26498277278353,5.32077152565081,,,,,,6.18489906275925,7.31382715346184,,
12.4003,,,,,,,1.67112149252915,2.60308084162402,2.79242928947198,4.24914169760818,5.33397935188057,,,,,,5.7862487938703,6.97272615728995,,
