Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R)
0.4,,,,,,,1.62782042954329,2.10755221224575,3.66890217266189,3.87379042342353,5.51621068455917,,,,,,6.06069236400845,7.51927042231464,,
1,,,,,,,1.55008638136498,2.20971070651868,3.88891070996135,3.43601771280433,5.82710326733454,,,,,,6.44457320724421,7.34984185179747,,
1.600025,,,,,,,1.73030242080804,2.08785675359493,2.99023210266258,4.23749276349643,5.1508707587101,,,,,,5.93156463469972,7.86727447923949,,
2.20005,,,,,,,1.80137199388025,2.10242919848311,3.26380302791146,3.71645106455453,4.70263054277444,,,,,,6.10740702537129,8.04692358777104,,
2.80005,,,,,,,0.923301605725473,2.55066206351077,3.41958319542712,3.78323511654227,5.08402409111105,,,,,,6.39295235968254,8.02760906466464,,
3.400075,,,,,,,0.874805557338986,2.84520762774838,3.36222583819266,3.84987024740673,5.17725595883081,,,,,,6.20777283683785,7.87358486244421,,
4.000075,,,,,,,2.02754034186353,2.54935720612519,2.88520799991321,3.51451786638486,5.01290779469811,,,,,,6.23297307682204,7.6725785858281,,
4.6001,,,,,,,1.07817392039822,2.44712361146026,3.46816542645349,4.13611292798761,5.38185217868155,,,,,,5.96200126935795,7.80844151479225,,
5.200125,,,,,,,1.31483843089319,1.99413410746474,3.35400235007877,4.43400600548079,5.16044726523901,,,,,,6.36157873724972,7.61906048190131,,
5.800125,,,,,,,0.830567286267598,2.08290092474585,3.56926063427023,4.06767865969032,5.77775488810383,,,,,,6.36344311961461,8.00470453474792,,
6.40015,,,,,,,1.36329197931889,2.90511210811273,3.50272010424624,3.99577567428806,4.79016329393528,,,,,,5.70542418183235,7.51885012428397,,
7.000175,,,,,,,1.38580953383657,2.17373068745098,3.45792573304697,4.13557300900432,5.53640704470812,,,,,,6.54804366421017,7.30024582135276,,
7.600175,,,,,,,0.795258945438615,2.52441816385599,3.31422745481478,4.38059248813439,4.70283218264144,,,,,,6.50528780159002,7.77606616132405,,
8.2002,,,,,,,0.838779625419562,2.28361654469206,3.68254290444331,4.45108805036819,5.31253544839767,,,,,,5.81213640479096,7.8882349756102,,
8.800225,,,,,,,1.46128962080471,2.60157767121863,2.75830989999535,3.91747594717733,4.89651324374457,,,,,,6.61919061616796,7.7297544788303,,
9.400225,,,,,,,1.54998567417135,2.06755765111671,3.1958674174126,3.7774917951879,4.34950154909977,,,,,,6.40337353951654,8.2567923347943,,
10.00025,,,,,,,1.39510156953947,1.60054392299132,3.62519092480176,3.64705126207528,4.89963862182451,,,,,,6.62550565421077,8.31664304350868,,
10.60025,,,,,,,1.72122352328924,2.01256528703176,3.69229157393341,4.2927532810132,5.30182820493132,,,,,,5.26954923518755,7.73442918602874,,
11.200275,,,,,,,2.24693636035882,1.63440807003424,3.0899134832834,3.66411264455152,5.31193164887025,,,,,,6.25609369912065,7.9273930741406,,
11.8003,,,,,,,1.68096493743352,1.72407276353607,3.50472681704982,4.20829636110663,5.37150709232659,,,,,,6.29045255197852,7.55914587202597,,
12.4003,,,,,,,1.72587136158774,2.83755149425453,2.97205281891687,4.17008891580238,5.38344889111962,,,,,,5.86871593478381,7.17428783794162,,
13.000325,,,,,,,1.54211631339528,1.77174370285291,3.47013119781995,3.79014002501218,5.69547099381148,,,,,,6.55141091835922,7.78388040015708,,
13.60035,,,,,,,1.74428570531415,2.17789027644581,3.43276285488816,4.0792152993611,4.96852271592367,,,,,,6.55544025829402,7.16284938051251,,
14.20035,,,,,,,2.37153891119545,1.54827750612467,3.42401929437009,3.76113251070321,5.18591100527954,,,,,,6.37613735548331,7.47084623189735,,
14.800375,,,,,,,0.896629670729858,1.92067452173552,4.20186179358937,4.11371052137872,5.49346823971179,,,,,,6.02283517212626,7.85866547150835,,
15.4004,,,,,,,0.932175821397995,2.5620886630384,3.12885004312904,3.71243506941095,5.06151002229724,,,,,,6.25799665225807,8.41399185550796,,
16.0004,,,,,,,1.48165362358918,2.186298256981,3.40582689803317,4.39192667853346,4.61357842443094,,,,,,6.57160821338707,7.27446522104066,,
16.600425,,,,,,,1.58068889063273,2.17274724202855,3.65374482387861,3.82125731242233,5.09939291204735,,,,,,6.52473624208299,7.37455667942258,,
17.20045,,,,,,,1.85279546251471,2.17756323284041,3.30449784773576,4.18425999807391,4.71628072863234,,,,,,6.23204177996099,7.36502541102725,,
17.80045,,,,,,,1.23486122060114,2.27160377886915,3.75091840402876,3.89444916293085,5.1901483048263,,,,,,5.59792346261431,8.11801160421825,,
18.400475,,,,,,,1.66562871467239,1.70355020862678,2.83981345792815,4.4096638038659,5.799265582884,,,,,,6.75396832379757,7.50105280693505,,
19.000475,,,,,,,1.86861163841616,1.60745414989775,3.15210160633939,3.56885702254363,5.07345662879187,,,,,,6.51319443681549,8.2902403877098,,
