Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.190699052838551;0.369412447020935;-0.178678718199601;0.06879967626512;0.249418090521562;0.198657520530795;0.123941169683955;0.13937098830554;-0.0542925370450228;-0.0382653893859023;0.140264158787142;-0.0075201652497098;-0.109053901766774;0.160839425259422;;-0.133406733027827;0.281391726103531;0.119594941338475;0.595919264630891
Primary somatosensory area, barrel field (R);0.190699052838551;1;-0.283371644374218;0.0782692572703284;0.19944348951018;0.139861630047169;-0.160916627035525;-0.228179112436811;-0.144665492909634;-0.207816541749016;-0.0969559284597721;0.0209069256464249;-0.28592162107354;-0.253286056250361;0.0117334652468357;;0.0998259385103882;0.322266613380445;0.329171314289563;0.230422893234866
Primary somatosensory area, lower limb (L);0.369412447020935;-0.283371644374218;1;-0.0107766512693029;0.159828398972493;-0.348344192051263;0.0567884830665617;-0.124493192725265;0.106693337703086;0.0392759477366278;0.0174178666609186;-0.289700441841929;-0.328745074806369;-0.218882191368365;0.00453909301074665;;0.0103283152961046;0.113445794620076;-0.13255930338503;0.219005823619936
Primary somatosensory area, lower limb (R);-0.178678718199601;0.0782692572703284;-0.0107766512693029;1;-0.164682068068927;-0.224091204752482;0.0794636324298773;-0.169167311278118;-0.108626516221939;-0.685724098820175;-0.17665018612892;-0.0203828402751287;-0.0485014220168533;-0.0101346197561338;0.103782936638532;;-0.097312152105462;-0.121654864575881;0.00492190346551614;-0.0511430816330345
Supplemental somatosensory area (L);0.06879967626512;0.19944348951018;0.159828398972493;-0.164682068068927;1;-0.0958575869976289;-0.653338678475864;-0.0766288428189859;-0.316642325057103;0.513450857861987;-0.448840541463778;0.0604131812501594;-0.463124889356441;-0.13431400613051;0.130694288505878;;0.242244810638862;0.630741712516761;-0.0847767707582046;0.322447736440531
Supplemental somatosensory area (R);0.249418090521562;0.139861630047169;-0.348344192051263;-0.224091204752482;-0.0958575869976289;1;0.171863573406146;0.422314847681904;-0.313790370959082;0.0479470577465387;0.267341166929216;0.269265955872126;0.454636867276996;-0.120879434270873;-0.111388440676173;;-0.057340341699287;0.248022174717913;0.343500011124969;0.235509508681947
Olfactory areas (L);0.198657520530795;-0.160916627035525;0.0567884830665617;0.0794636324298773;-0.653338678475864;0.171863573406146;1;-0.0229177853686771;0.439460351202748;-0.537509517092949;0.424896355475697;-0.124269358661888;0.214381707850983;0.0403739591376998;-0.12605036641251;;-0.192517490831144;-0.412235743703714;-0.0856434060778033;-0.0419888208884426
Olfactory areas (R);0.123941169683955;-0.228179112436811;-0.124493192725265;-0.169167311278118;-0.0766288428189859;0.422314847681904;-0.0229177853686771;1;-0.334491837521434;0.18118400138205;-0.0257271019421404;0.395948811504829;0.396187981472723;0.023767193051961;-0.247799309146686;;-0.39036154019732;-0.178412003659589;0.0334696869769584;0.114508240021289
Hippocampal formation (L);0.13937098830554;-0.144665492909634;0.106693337703086;-0.108626516221939;-0.316642325057103;-0.313790370959082;0.439460351202748;-0.334491837521434;1;-0.0736672033698961;0.176030428412443;-0.49551287518874;-0.0138906876995602;0.00968101486578027;0.111461533698198;;-0.148840873394247;-0.239789078274934;-0.337320120042215;-0.138341846559096
Hippocampal formation (R);-0.0542925370450228;-0.207816541749016;0.0392759477366278;-0.685724098820175;0.513450857861987;0.0479470577465387;-0.537509517092949;0.18118400138205;-0.0736672033698961;1;-0.102652280121861;0.0569946949059481;-0.116679325877292;-0.110211083767198;0.0461401269396259;;0.178236311312395;0.236954328257171;-0.27057222231764;0.00586958346273949
