Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.158331987405177;0.217517345095774;-0.113021911324526;-0.267349966421901;0.402620990164071;0.427982863964572;0.323256019989961;0.146630516578552;-0.143850813096131;0.299737943931404;0.198199707891077;0.292242987290281;-0.0642726250696654;-0.193769713743473;;-0.468977380757618;-0.00464225739087862;-0.0126631000804604;0.36087886111129
Primary somatosensory area, barrel field (R);0.158331987405177;1;-0.357037555478028;0.189024079016517;-0.14529656345364;0.122794464328132;0.168687044055501;-0.245495244206365;0.130148105728676;-0.399138433730401;0.129353413594097;-0.125020161922958;-0.15191213126732;-0.265815893300446;-0.0415041568089433;;-0.0703221969654087;0.167785297094538;0.267489234710458;0.1885167031035
Primary somatosensory area, lower limb (L);0.217517345095774;-0.357037555478028;1;-0.00167155634115386;0.0485330501721758;-0.291387004988672;0.1193892445788;-0.0587126768353422;0.082116628197638;0.0289163151644603;0.252045672215983;-0.321544854801166;-0.274211308649799;-0.192607814346393;-0.266222819226908;;-0.111078281309505;-0.0743503126466257;-0.219988425905928;-0.126729344053587
Primary somatosensory area, lower limb (R);-0.113021911324526;0.189024079016517;-0.00167155634115386;1;-0.226479447660596;-0.210438008679935;0.169364633790205;-0.353819475857117;0.0337154612859904;-0.721773702320885;-0.288912119104192;-0.0856540662593462;-0.267452027885192;0.00762301162988879;0.253553438493431;;0.083454767804383;-0.0392243017938395;0.08535002332175;-0.0194508967347536
Supplemental somatosensory area (L);-0.267349966421901;-0.14529656345364;0.0485330501721758;-0.226479447660596;0.999999999999999;-0.104390156505818;-0.348006366597477;-0.105063470595071;0.241195567293365;0.498680210760461;-0.0421484374002146;-0.285496339865052;-0.331889378664175;-0.0971569343911713;-0.0672167012842912;;0.0085904588119963;0.418709044309396;-0.410444068671793;-0.183334021840894
Supplemental somatosensory area (R);0.402620990164071;0.122794464328132;-0.291387004988672;-0.210438008679935;-0.104390156505818;1;0.277461501095528;0.439432444323459;-0.418262875738583;0.0351605697456556;0.256835286250078;0.262919424505911;0.529152881811139;-0.150557034501133;-0.0276798061491803;;-0.0679447371033213;0.37248863308254;0.363144746854763;0.589915934629305
Olfactory areas (L);0.427982863964572;0.168687044055501;0.1193892445788;0.169364633790205;-0.348006366597477;0.277461501095528;1;0.0703761083354899;-0.14319372111386;-0.532454150705014;0.182797641005428;0.219901418188521;0.0758702662172527;-0.0082606398714984;-0.206274280463152;;-0.0994759325131907;-0.232529958304713;0.0412276845249204;0.349117288047304
Olfactory areas (R);0.323256019989961;-0.245495244206365;-0.0587126768353422;-0.353819475857117;-0.105063470595071;0.439432444323459;0.0703761083354899;1;-0.24421376394926;0.241621578510756;-0.111527435131817;0.360248730807253;0.314620101704215;0.031598768014741;-0.137880510103123;;-0.31484475766895;-0.132002543013824;0.0852804614687658;0.368458424229616
Hippocampal formation (L);0.146630516578552;0.130148105728676;0.082116628197638;0.0337154612859904;0.241195567293365;-0.418262875738583;-0.14319372111386;-0.24421376394926;1;0.102120112250307;-0.0893979490727201;-0.311504345695548;-0.0443271014252598;-0.0569411485629962;-0.027170043644936;;-0.28220475585832;-0.125332948091091;-0.452633975134723;-0.153335764862375
Hippocampal formation (R);-0.143850813096131;-0.399138433730401;0.0289163151644603;-0.721773702320885;0.498680210760461;0.0351605697456556;-0.532454150705014;0.241621578510756;0.102120112250307;1;0.0491105013730912;-0.0231811979158854;0.021768311714794;-0.106222392071368;0.00532540260628682;;0.0699816109220955;0.118933189715594;-0.376355458073057;-0.145454566550969
