Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R)
0.4,,,,,,,,,1.97244951237767,2.17964900824392,,,,,,,,,,
0.8,,,,,,,,,1.34549688932713,2.18149804823666,,,,,,,,,,
1.2,,,,,,,,,2.54760949381758,3.23328082427104,,,,,,,,,,
1.6,,,,,,,,,3.38645749169159,2.78046696454249,,,,,,,,,,
2,,,,,,,,,1.68990438392706,1,,,,,,,,,,
2.4,,,,,,,,,3.44420251509951,4.06206687951884,,,,,,,,,,
2.8,,,,,,,,,1.53368385139773,2.81975915371066,,,,,,,,,,
3.2,,,,,,,,,3.11317070661194,2.53066008921752,,,,,,,,,,
3.6,,,,,,,,,2.66111907182821,2.68398684061001,,,,,,,,,,
4,,,,,,,,,2.7087717661993,3.64550454349378,,,,,,,,,,
4.4,,,,,,,,,2.19217018263302,2.63846567382276,,,,,,,,,,
4.8,,,,,,,,,2.3095388301584,2.30791460855144,,,,,,,,,,
5.2,,,,,,,,,2.12478462867866,2.59899486044645,,,,,,,,,,
5.6,,,,,,,,,2.44031905106575,2.76763739758737,,,,,,,,,,
6,,,,,,,,,3.19756655707736,4.01412959973586,,,,,,,,,,
6.4,,,,,,,,,1.50306255630713,2.26865137982578,,,,,,,,,,
6.8,,,,,,,,,2.2898261082323,2.26396593693452,,,,,,,,,,
7.2,,,,,,,,,2.10723349832689,2.31573158695416,,,,,,,,,,
7.6,,,,,,,,,3.2039109891874,3.51309164612289,,,,,,,,,,
8,,,,,,,,,2.43365345571256,2.61023173277039,,,,,,,,,,
8.4,,,,,,,,,1.93883436954777,2.68210807919216,,,,,,,,,,
8.8,,,,,,,,,1.77420313914842,2.26219595412573,,,,,,,,,,
9.2,,,,,,,,,3.07114108840628,4.2029757279433,,,,,,,,,,
9.6,,,,,,,,,2.30008578463,2.77632261454188,,,,,,,,,,
10,,,,,,,,,3.33048647217551,3.2603720932857,,,,,,,,,,
10.4,,,,,,,,,3.15852837726999,2.29704309234596,,,,,,,,,,
10.8,,,,,,,,,3.39407903512537,4.40630946300738,,,,,,,,,,
11.2,,,,,,,,,3.17376771907847,3.8964162297666,,,,,,,,,,
11.6,,,,,,,,,2.59928525682555,3.03411318865775,,,,,,,,,,
12,,,,,,,,,3.86011169408853,3.06049431747542,,,,,,,,,,
12.4,,,,,,,,,2.34139039176797,3.28642871237254,,,,,,,,,,
12.8,,,,,,,,,2.95753323427159,3.2592190590561,,,,,,,,,,
13.2,,,,,,,,,2.87013517259363,3.3514637372044,,,,,,,,,,
13.6,,,,,,,,,2.58395182718919,1.68350804575704,,,,,,,,,,
14,,,,,,,,,3.57044389092632,4.08397081488701,,,,,,,,,,
14.4,,,,,,,,,2.88871471184884,3.46978865171689,,,,,,,,,,
14.8,,,,,,,,,2.90559106482662,3.07507433929755,,,,,,,,,,
15.2,,,,,,,,,3.43475803755943,2.94350206767018,,,,,,,,,,
15.6,,,,,,,,,2.71828686878721,3.5559558789217,,,,,,,,,,
16,,,,,,,,,2.3183932595468,4.17953290272038,,,,,,,,,,
16.4,,,,,,,,,3.00050610064971,2.38203390413954,,,,,,,,,,
16.8,,,,,,,,,0.73665818161752,2.57616756810658,,,,,,,,,,
17.2,,,,,,,,,3.24804585866145,4.18500687189713,,,,,,,,,,
17.6,,,,,,,,,2.08697932699939,4.15942713584699,,,,,,,,,,
18,,,,,,,,,2.37039022515614,2.89486664046143,,,,,,,,,,
18.4,,,,,,,,,3.01309888028192,3.37109811747462,,,,,,,,,,
18.8,,,,,,,,,2.74993002614759,4.11849098584014,,,,,,,,,,
19.2,,,,,,,,,3.08232493529805,5.06902956171604,,,,,,,,,,
19.6,,,,,,,,,2.62996956609888,2.90542858429414,,,,,,,,,,
20,,,,,,,,,2.21990230559898,2.72261942825496,,,,,,,,,,
20.4,,,,,,,,,1.91488060568276,3.88835611142754,,,,,,,,,,
20.8,,,,,,,,,3.2041924858231,3.26402394760995,,,,,,,,,,
21.2,,,,,,,,,2.29080413468291,2.99375384750991,,,,,,,,,,
21.6,,,,,,,,,1.76233207121652,1.96213516502108,,,,,,,,,,
22,,,,,,,,,2.7406186916131,3.31733033297793,,,,,,,,,,
22.4,,,,,,,,,2.25140333924267,3.58209882702887,,,,,,,,,,
22.8,,,,,,,,,2.24321544589141,3.84655940951233,,,,,,,,,,
23.2,,,,,,,,,3.08101326875929,3.0072256784781,,,,,,,,,,
23.6,,,,,,,,,3.34269746224441,3.13099056467449,,,,,,,,,,
24,,,,,,,,,2.74783150241088,2.88363168998275,,,,,,,,,,
24.4,,,,,,,,,3.28367092081922,3.57842132112571,,,,,,,,,,
24.8,,,,,,,,,2.12945701997988,3.16731959791366,,,,,,,,,,
25.2,,,,,,,,,2.60538369721786,3.72967806610176,,,,,,,,,,
25.6,,,,,,,,,2.71915557653543,3.84244185910279,,,,,,,,,,
26,,,,,,,,,3.8457450073572,3.53884325479511,,,,,,,,,,
26.4,,,,,,,,,2.41333904309169,3.18039877779765,,,,,,,,,,
26.8,,,,,,,,,1.6533899446683,3.73330400258434,,,,,,,,,,
27.2,,,,,,,,,3.12083177081606,3.14219469161867,,,,,,,,,,
27.6,,,,,,,,,2.62268387875794,3.28700365164206,,,,,,,,,,
28,,,,,,,,,2.58648481248286,2.47334708589876,,,,,,,,,,
28.4,,,,,,,,,3.5007008040203,4.78290449483856,,,,,,,,,,
28.8,,,,,,,,,3.36268683430009,3.8612113007362,,,,,,,,,,
29.2,,,,,,,,,2.82186825027112,2.92970481003668,,,,,,,,,,
29.6,,,,,,,,,2.90113794689438,3.17484000050369,,,,,,,,,,
30,,,,,,,,,2.31888960344037,3.89843660107031,,,,,,,,,,
30.4,,,,,,,,,3.03538718885573,3.9883480962889,,,,,,,,,,
30.8,,,,,,,,,2.57185104075996,3.60061119314414,,,,,,,,,,
31.2,,,,,,,,,3.22474500335755,3.50973279002504,,,,,,,,,,
31.6,,,,,,,,,2.69001770880594,4.0898726368133,,,,,,,,,,
32,,,,,,,,,2.51571309821946,3.61874933139689,,,,,,,,,,
32.4,,,,,,,,,1.42379195872222,3.20956675474811,,,,,,,,,,
32.8,,,,,,,,,2.09696830756947,3.56097406124507,,,,,,,,,,
33.2,,,,,,,,,3.42436464494353,3.62396037538576,,,,,,,,,,
33.6,,,,,,,,,3.44667064276773,4.05217654332728,,,,,,,,,,
34,,,,,,,,,1.79436567149077,3.55580859528804,,,,,,,,,,
34.4,,,,,,,,,3.46229628011518,3.16583950564153,,,,,,,,,,
34.8,,,,,,,,,3.19755261310183,4.03888943383086,,,,,,,,,,
35.2,,,,,,,,,3.10839556651797,3.2811088046904,,,,,,,,,,
35.6,,,,,,,,,3.40159354620068,3.07174419535281,,,,,,,,,,
36,,,,,,,,,2.64787465619883,3.65435043302263,,,,,,,,,,
36.4,,,,,,,,,2.30623134406489,4.21263288231006,,,,,,,,,,
36.8,,,,,,,,,1.72563120336746,4.04250708544594,,,,,,,,,,
37.2,,,,,,,,,3.20325606776649,3.96825521076109,,,,,,,,,,
37.6,,,,,,,,,2.92396064575581,3.22213649802195,,,,,,,,,,
38,,,,,,,,,3.3305353550395,4.1595622159397,,,,,,,,,,
38.4,,,,,,,,,2.89379512063666,3.98629154981238,,,,,,,,,,
38.8,,,,,,,,,1.47639824983691,2.42121813471468,,,,,,,,,,
39.2,,,,,,,,,3.32376395712719,4.61133418668663,,,,,,,,,,
39.6,,,,,,,,,2.18040324155032,2.55698105189803,,,,,,,,,,
40,,,,,,,,,8.21289451982252,11.810343438652,,,,,,,,,,
40.4,,,,,,,,,2.29338038500722,4.27639079531081,,,,,,,,,,
40.8,,,,,,,,,3.44873766327408,4.05916816317536,,,,,,,,,,
41.2,,,,,,,,,2.34706497348815,3.48513689977734,,,,,,,,,,
41.6,,,,,,,,,2.62156621734108,2.96835847033289,,,,,,,,,,
42,,,,,,,,,2.94060658243956,3.5857263729337,,,,,,,,,,
42.400025,,,,,,,,,2.85759574154324,4.36667649657674,,,,,,,,,,
42.800025,,,,,,,,,3.03363096842953,3.41196523287456,,,,,,,,,,
43.200025,,,,,,,,,1.82651796712638,2.75963468995909,,,,,,,,,,
43.600025,,,,,,,,,3.43445910749717,5.39695388255753,,,,,,,,,,
44.000025,,,,,,,,,2.60817141904763,5.4010314624535,,,,,,,,,,
44.400025,,,,,,,,,2.21764483794856,3.74023982039348,,,,,,,,,,
44.800025,,,,,,,,,2.80054492572168,3.16196415081252,,,,,,,,,,
45.200025,,,,,,,,,2.88096040971914,4.26415572664932,,,,,,,,,,
45.600025,,,,,,,,,3.33255613723589,5.23309983162692,,,,,,,,,,
46.000025,,,,,,,,,3.26116948124988,3.80343614076561,,,,,,,,,,
46.400025,,,,,,,,,2.37480457951276,3.66753360719095,,,,,,,,,,
46.800025,,,,,,,,,2.81179327651669,4.86883559223445,,,,,,,,,,
47.200025,,,,,,,,,2.48712608976331,3.67249024574328,,,,,,,,,,
47.600025,,,,,,,,,2.26143631833692,3.77451379869404,,,,,,,,,,
48.000025,,,,,,,,,3.39579898753145,4.18512257010337,,,,,,,,,,
48.400025,,,,,,,,,2.82165098157687,4.11100365995867,,,,,,,,,,
48.800025,,,,,,,,,2.5244997983996,3.81734585662867,,,,,,,,,,
49.200025,,,,,,,,,2.06592340362461,3.22374802300598,,,,,,,,,,
49.600025,,,,,,,,,3.30645782694386,4.80166990835652,,,,,,,,,,
50.000025,,,,,,,,,2.82236468439195,3.8237175145042,,,,,,,,,,
50.400025,,,,,,,,,1.67231855437585,4.29998638348312,,,,,,,,,,
50.800025,,,,,,,,,2.38954069400191,2.98380631788098,,,,,,,,,,
51.200025,,,,,,,,,3.44635298513652,3.955364091501,,,,,,,,,,
51.600025,,,,,,,,,3.19332088762169,4.00602056038793,,,,,,,,,,
52.000025,,,,,,,,,3.01396295586651,3.51200732505258,,,,,,,,,,
52.400025,,,,,,,,,2.54874469734154,3.18436161241534,,,,,,,,,,
52.800025,,,,,,,,,2.50329770702157,4.52546484360232,,,,,,,,,,
53.200025,,,,,,,,,3.08503587235905,4.3704612760112,,,,,,,,,,
53.600025,,,,,,,,,1.90897204343496,3.11970610533528,,,,,,,,,,
54.000025,,,,,,,,,2.75057454744555,3.91930390121052,,,,,,,,,,
54.400025,,,,,,,,,2.53215629145122,4.99570252475788,,,,,,,,,,
54.800025,,,,,,,,,2.23494498316762,3.06618801678987,,,,,,,,,,
55.200025,,,,,,,,,3.08640629901283,5.14887107896745,,,,,,,,,,
55.600025,,,,,,,,,3.04332794299929,3.13085483195483,,,,,,,,,,
56.000025,,,,,,,,,2.76175910472766,4.25450658264216,,,,,,,,,,
56.400025,,,,,,,,,2.75829116948872,5.22772879559968,,,,,,,,,,
56.800025,,,,,,,,,2.87006888317603,3.25218743413012,,,,,,,,,,
57.200025,,,,,,,,,2.60063591089381,2.43028905177399,,,,,,,,,,
57.600025,,,,,,,,,3.33460254815904,3.71259950242046,,,,,,,,,,
58.000025,,,,,,,,,2.48600512800406,4.17526650714368,,,,,,,,,,
58.400025,,,,,,,,,3.21728619331168,3.41297792557829,,,,,,,,,,
58.800025,,,,,,,,,2.52960663033823,3.58809913901149,,,,,,,,,,
59.200025,,,,,,,,,2.99451420944281,2.44337080851166,,,,,,,,,,
59.600025,,,,,,,,,2.12037234983833,3.36656822726683,,,,,,,,,,
60.000025,,,,,,,,,3.07885158138978,3.98080235170844,,,,,,,,,,
60.400025,,,,,,,,,2.36108898702015,2.58059362361242,,,,,,,,,,
60.800025,,,,,,,,,2.95204868826178,3.38963300946207,,,,,,,,,,
