Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R)
0.4,,,,,,,,,1.67854301356062,2.44581183465668,,,,,,,,,,
0.8,,,,,,,,,1.06707632652638,2.44523137892125,,,,,,,,,,
1.2,,,,,,,,,2.23853880249438,3.3762899571981,,,,,,,,,,
1.6,,,,,,,,,3.05590026606433,2.97228187006103,,,,,,,,,,
2,,,,,,,,,1.40181451723383,1.39021402008739,,,,,,,,,,
2.4,,,,,,,,,3.11153576633706,4.10506452834408,,,,,,,,,,
2.8,,,,,,,,,1.24888266518839,3.00052766529415,,,,,,,,,,
3.2,,,,,,,,,2.78820320781404,2.74180297677221,,,,,,,,,,
3.6,,,,,,,,,2.34722964558367,2.8756586647536,,,,,,,,,,
4,,,,,,,,,2.39335634587315,3.72664828210271,,,,,,,,,,
4.4,,,,,,,,,1.88946215397279,2.83088668290365,,,,,,,,,,
4.8,,,,,,,,,2.00354738246367,2.5353951489554,,,,,,,,,,
5.2,,,,,,,,,1.82313110425295,2.79149799343894,,,,,,,,,,
5.6,,,,,,,,,2.13038464361249,2.93896211054293,,,,,,,,,,
6,,,,,,,,,2.86820997824955,4.04283580132963,,,,,,,,,,
6.4,,,,,,,,,1.2161277055778,2.49185474737131,,,,,,,,,,
6.8,,,,,,,,,1.98272566640429,2.48553108294486,,,,,,,,,,
7.2,,,,,,,,,1.8044191999798,2.52930168205654,,,,,,,,,,
7.6,,,,,,,,,2.87311487986217,3.58959363356702,,,,,,,,,,
8,,,,,,,,,2.12196793421711,2.78630575053205,,,,,,,,,,
8.4,,,,,,,,,1.63931228210963,2.84793203558429,,,,,,,,,,
8.8,,,,,,,,,1.47851632431108,2.47318439018754,,,,,,,,,,
9.2,,,,,,,,,2.74242325087066,4.19314781019799,,,,,,,,,,
9.6,,,,,,,,,1.99050084503208,2.92509819390481,,,,,,,,,,
10,,,,,,,,,2.99459477824768,3.35247163590804,,,,,,,,,,
10.4,,,,,,,,,2.82665895426899,2.49554959929413,,,,,,,,,,
10.8,,,,,,,,,3.05595336595225,4.36503032439628,,,,,,,,,,
11.2,,,,,,,,,2.84088508000481,3.91046165184469,,,,,,,,,,
11.6,,,,,,,,,2.28057985898565,3.14319358279152,,,,,,,,,,
12,,,,,,,,,3.50928997269261,3.16448324527935,,,,,,,,,,
12.4,,,,,,,,,2.02856462305708,3.36284565928446,,,,,,,,,,
12.8,,,,,,,,,2.62885382601383,3.33658993066638,,,,,,,,,,
13.2,,,,,,,,,2.54334889018421,3.4163329394293,,,,,,,,,,
13.6,,,,,,,,,2.264073403634,1.93420489902765,,,,,,,,,,
14,,,,,,,,,3.22537171198634,4.06210105911149,,,,,,,,,,
14.4,,,,,,,,,2.56052878459587,3.51502268784113,,,,,,,,,,
14.8,,,,,,,,,2.57667019970838,3.16268781251227,,,,,,,,,,
15.2,,,,,,,,,3.09218068020219,3.04384975085713,,,,,,,,,,
15.6,,,,,,,,,2.39347372525792,3.58521025645344,,,,,,,,,,
16,,,,,,,,,2.00335947062494,4.13644426859906,,,,,,,,,,
16.4,,,,,,,,,2.66795951275593,2.53939390078651,,,,,,,,,,
16.8,,,,,,,,,0.460908694553181,2.70957803426916,,,,,,,,,,
17.2,,,,,,,,,2.90864274801764,4.13507330681342,,,,,,,,,,
17.6,,,,,,,,,1.77655767246978,4.11030676293054,,,,,,,,,,
18,,,,,,,,,2.05251484907532,2.98616176053104,,,,,,,,,,
18.4,,,,,,,,,2.67870734073935,3.40667334054948,,,,,,,,,,
18.8,,,,,,,,,2.42187285303981,4.0677974977678,,,,,,,,,,
19.2,,,,,,,,,2.74558007660447,4.90918202504346,,,,,,,,,,
19.6,,,,,,,,,2.30433221947917,2.98730764083733,,,,,,,,,,
20,,,,,,,,,1.90430632710975,2.82304835312966,,,,,,,,,,
20.4,,,,,,,,,1.60667684760068,3.8553947516821,,,,,,,,,,
20.8,,,,,,,,,2.86316577400029,3.29936691454937,,,,,,,,,,
21.2,,,,,,,,,1.97251624938941,3.05751170285313,,,,,,,,,,
21.6,,,,,,,,,1.45707436222414,2.14009429051556,,,,,,,,,,
22,,,,,,,,,2.41038498620727,3.34056657367968,,,,,,,,,,
22.4,,,,,,,,,1.9332106647175,3.57347652614673,,,,,,,,,,
22.8,,,,,,,,,1.92493082832222,3.80611677721941,,,,,,,,,,
23.2,,,,,,,,,2.7412979716536,3.05933321360447,,,,,,,,,,
23.6,,,,,,,,,2.99608399761344,3.16713729318482,,,,,,,,,,
24,,,,,,,,,2.41592615520339,2.94563646727347,,,,,,,,,,
24.4,,,,,,,,,2.93795314177162,3.56013366291947,,,,,,,,,,
24.8,,,,,,,,,1.81255750321981,3.19334626862967,,,,,,,,,,
25.2,,,,,,,,,2.27618406386055,3.69034061715807,,,,,,,,,,
25.6,,,,,,,,,2.38679140705103,3.78840062738778,,,,,,,,,,
26,,,,,,,,,3.48466937153132,3.51701421862095,,,,,,,,,,
26.4,,,,,,,,,2.08810095999615,3.19696503334613,,,,,,,,,,
26.8,,,,,,,,,1.34702779281172,3.68558521697774,,,,,,,,,,
27.2,,,,,,,,,2.77716203666757,3.15909303473256,,,,,,,,,,
27.6,,,,,,,,,2.29128742592579,3.28560503766748,,,,,,,,,,
28,,,,,,,,,2.25570990511305,2.56164745459402,,,,,,,,,,
28.4,,,,,,,,,3.14657455986761,4.60900778417904,,,,,,,,,,
28.8,,,,,,,,,3.01175139143588,3.78919324451162,,,,,,,,,,
29.2,,,,,,,,,2.48428454333334,2.96067456074847,,,,,,,,,,
29.6,,,,,,,,,2.56126530521018,3.17622615983104,,,,,,,,,,
30,,,,,,,,,1.99341478754795,3.8163333071018,,,,,,,,,,
30.4,,,,,,,,,2.69155096433681,3.89415753023376,,,,,,,,,,
30.8,,,,,,,,,2.2394192857197,3.54815452674793,,,,,,,,,,
31.2,,,,,,,,,2.87555724447755,3.465565759741,,,,,,,,,,
31.6,,,,,,,,,2.35403121238125,3.97839355638699,,,,,,,,,,
32,,,,,,,,,2.18383703587451,3.55840982601918,,,,,,,,,,
32.4,,,,,,,,,1.11917295602521,3.1933912644266,,,,,,,,,,
32.8,,,,,,,,,1.77508380592191,3.50326865312838,,,,,,,,,,
33.2,,,,,,,,,3.06871302737561,3.55722552536762,,,,,,,,,,
