Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R)
0.4,,,,,,,,,3.19573481520188,2.85029394411548,,,,,,,,,,
0.8,,,,,,,,,2.61991841128558,3.42611034803178,,,,,,,,,,
1.2,,,,,,,,,2.84404561425122,3.20198314506614,,,,,,,,,,
1.6,,,,,,,,,3.9899699711365,2.05605878818086,,,,,,,,,,
2,,,,,,,,,3.92052641991305,2.12550233940431,,,,,,,,,,
2.4,,,,,,,,,2.97425934165508,3.07176941766228,,,,,,,,,,
2.8,,,,,,,,,2.26010849789754,3.78592026141982,,,,,,,,,,
3.2,,,,,,,,,3.94793544987984,2.09809330943752,,,,,,,,,,
3.6,,,,,,,,,3.4060216645863,2.64000709473106,,,,,,,,,,
4,,,,,,,,,2.64795267760902,3.39807608170834,,,,,,,,,,
4.4,,,,,,,,,3.01443066056378,3.03159809875359,,,,,,,,,,
4.8,,,,,,,,,3.39755270121826,2.6484760580991,,,,,,,,,,
5.2,,,,,,,,,2.9856179332215,3.06041082609586,,,,,,,,,,
5.6,,,,,,,,,3.13402554223217,2.91200321708519,,,,,,,,,,
6,,,,,,,,,2.78831660664856,3.2577121526688,,,,,,,,,,
6.4,,,,,,,,,2.69157621885796,3.3544525404594,,,,,,,,,,
6.8,,,,,,,,,3.4161408866728,2.62988787264455,,,,,,,,,,
7.2,,,,,,,,,3.20572768251881,2.84030107679855,,,,,,,,,,
7.6,,,,,,,,,3.21189567011854,2.83413308919882,,,,,,,,,,
8,,,,,,,,,3.25916555805922,2.78686320125814,,,,,,,,,,
8.4,,,,,,,,,2.74599145287833,3.30003730643903,,,,,,,,,,
8.8,,,,,,,,,2.9453175285449,3.10071123077246,,,,,,,,,,
9.2,,,,,,,,,2.51505293456191,3.53097582475545,,,,,,,,,,
9.6,,,,,,,,,2.99833321440137,3.04769554491599,,,,,,,,,,
10,,,,,,,,,3.53855470141924,2.50747405789812,,,,,,,,,,
10.4,,,,,,,,,4.18427297320702,1.86175578611034,,,,,,,,,,
10.8,,,,,,,,,2.64131633004981,3.40471242926755,,,,,,,,,,
11.2,,,,,,,,,2.86466733867145,3.18136142064591,,,,,,,,,,
11.6,,,,,,,,,3.0574463369899,2.98858242232746,,,,,,,,,,
12,,,,,,,,,4.19033862215957,1.85569013715779,,,,,,,,,,
12.4,,,,,,,,,2.61083855214753,3.43519020716983,,,,,,,,,,
12.8,,,,,,,,,3.19789923110554,2.84812952821182,,,,,,,,,,
13.2,,,,,,,,,3.04093052086906,3.0050982384483,,,,,,,,,,
13.6,,,,,,,,,4.16954191374706,1.8764868455703,,,,,,,,,,
14,,,,,,,,,3.07163003559707,2.97439872372029,,,,,,,,,,
14.4,,,,,,,,,2.95928911862066,3.0867396406967,,,,,,,,,,
14.8,,,,,,,,,3.30386205609366,2.7421667032237,,,,,,,,,,
15.2,,,,,,,,,3.89827279342334,2.14775596589402,,,,,,,,,,
15.6,,,,,,,,,2.73133438032301,3.31469437899436,,,,,,,,,,
16,,,,,,,,,1.84509938970353,4.20092936961383,,,,,,,,,,
16.4,,,,,,,,,3.96866235847717,2.07736640084019,,,,,,,,,,
16.8,,,,,,,,,1.73315846398129,4.31287029533607,,,,,,,,,,
17.2,,,,,,,,,2.69207628484221,3.35395247447515,,,,,,,,,,
17.6,,,,,,,,,1.64989365071338,4.39613510860398,,,,,,,,,,
18,,,,,,,,,2.96388797583281,3.08214078348455,,,,,,,,,,
18.4,,,,,,,,,3.15551086434456,2.8905178949728,,,,,,,,,,
18.8,,,,,,,,,2.29127450068212,3.75475425863524,,,,,,,,,,
19.2,,,,,,,,,1.80317749843901,4.24285126087835,,,,,,,,,,
19.6,,,,,,,,,3.19285028549781,2.85317847381955,,,,,,,,,,
20,,,,,,,,,2.96966488887759,3.07636387043977,,,,,,,,,,
20.4,,,,,,,,,1.71827528991582,4.32775346940154,,,,,,,,,,
20.8,,,,,,,,,3.41982728473957,2.62620147457779,,,,,,,,,,
21.2,,,,,,,,,2.80853628702036,3.237492472297,,,,,,,,,,
21.6,,,,,,,,,3.18463593300576,2.8613928263116,,,,,,,,,,
22,,,,,,,,,2.95075688968087,3.09527186963649,,,,,,,,,,
22.4,,,,,,,,,2.28188133772718,3.76414742159018,,,,,,,,,,
22.8,,,,,,,,,2.05387298341331,3.99215577590405,,,,,,,,,,
23.2,,,,,,,,,3.52111741468561,2.52491134463175,,,,,,,,,,
23.6,,,,,,,,,3.6576185987635,2.38841016055386,,,,,,,,,,
24,,,,,,,,,3.31898354792805,2.72704521138931,,,,,,,,,,
24.4,,,,,,,,,3.23048181692959,2.81554694238777,,,,,,,,,,
24.8,,,,,,,,,2.51602601135553,3.53000274796183,,,,,,,,,,
25.2,,,,,,,,,2.48306724200718,3.56296151731018,,,,,,,,,,
25.6,,,,,,,,,2.49325679539148,3.55277196392588,,,,,,,,,,
26,,,,,,,,,3.77832955586556,2.2676992034518,,,,,,,,,,
26.4,,,,,,,,,2.76515015488853,3.28087860442883,,,,,,,,,,
26.8,,,,,,,,,1.60803880458263,4.43798995473473,,,,,,,,,,
27.2,,,,,,,,,3.4450525057602,2.60097625355716,,,,,,,,,,
27.6,,,,,,,,,2.86801774633475,3.17801101298261,,,,,,,,,,
28,,,,,,,,,3.51329071925195,2.53273804006541,,,,,,,,,,
28.4,,,,,,,,,2.42497286478932,3.62105589452804,,,,,,,,,,
28.8,,,,,,,,,3.06706707723561,2.97896168208174,,,,,,,,,,
29.2,,,,,,,,,3.34838358796233,2.69764517135503,,,,,,,,,,
29.6,,,,,,,,,3.21659804094262,2.82943071837474,,,,,,,,,,
30,,,,,,,,,2.07993339333594,3.96609536598142,,,,,,,,,,
30.4,,,,,,,,,2.66126064429358,3.38476811502378,,,,,,,,,,
30.8,,,,,,,,,2.5599686146768,3.48606014464056,,,,,,,,,,
31.2,,,,,,,,,3.23377979333213,2.81224896598523,,,,,,,,,,
31.6,,,,,,,,,2.26025825824898,3.78577050106838,,,,,,,,,,
32,,,,,,,,,2.49342384576123,3.55260491355613,,,,,,,,,,
32.4,,,,,,,,,1.8344266317987,4.21160212751866,,,,,,,,,,
32.8,,,,,,,,,2.15803620664105,3.88799255267631,,,,,,,,,,
