Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);0.999999999999999;0.922277569507431;0.582522114751131;0.764495953682229;0.390451143355562;0.261012547965705;0.589642566309624;0.753137915807938;0.113880245954039;0.464186722595031;0.38142267275834;0.592930945895951;0.370946773811257;0.565267807094803;0.13152101913776;0.257195159712919;0.373370610446052;0.522322021761715;0.425624387882532;0.392943709670137
Primary somatosensory area, barrel field (R);0.922277569507431;1;0.460450490866002;0.756331923070671;0.405830476529;0.438182588336284;0.639047685834794;0.816901815368672;0.0416463797226017;0.702461285570978;0.436727225606598;0.641410163820258;0.403634954116182;0.600335814345066;0.140446875168389;0.252553473034632;0.637513732308032;0.7513384685052;0.646562624928289;0.569280946483784
Primary somatosensory area, lower limb (L);0.582522114751131;0.460450490866002;1;0.685003145342913;0.147157633707275;0.184302469784228;0.335010135764517;0.31413168442372;0.65875617093452;0.184425919643323;0.242900140314963;0.273465887260791;0.29698235053203;0.385246205046734;0.125559126360176;0.22016864201882;0.0768534025581866;0.209603304124496;0.136268749107487;0.15554220623654
Primary somatosensory area, lower limb (R);0.764495953682229;0.756331923070671;0.685003145342913;1;0.344640953333714;0.461723314281577;0.528211608567827;0.555015907675194;0.023969833829515;0.439625860607128;0.375208153731457;0.501787826293261;0.379020429182326;0.614346522004088;0.175947858902001;0.388162204487421;0.380389814309163;0.515316253888936;0.413242928546371;0.410035418269892
Supplemental somatosensory area (L);0.390451143355562;0.405830476529;0.147157633707275;0.344640953333714;1;0.404169448121316;0.515432245882836;0.436936904266468;0.0384084220061292;0.364346392943707;0.442966179982576;0.349153420980539;0.539569315474555;0.315598286581504;0.0757072642990665;0.160533373803331;0.45634769076127;0.402499334928537;0.473424254926237;0.364283652257794
Supplemental somatosensory area (R);0.261012547965705;0.438182588336284;0.184302469784228;0.461723314281577;0.404169448121316;1;0.461217942970861;0.377409579881067;-0.0287014927779593;0.65511999050897;0.455091288731217;0.318941363327136;0.441410605379915;0.359701300403212;0.105678775283253;0.163146423615416;0.656832611360165;0.585787803691461;0.568841780812473;0.493168171707068
Olfactory areas (L);0.589642566309624;0.639047685834794;0.335010135764517;0.528211608567827;0.515432245882836;0.461217942970861;1;0.594501835062547;0.100592638472564;0.567849616758265;0.787237106039691;0.508386835911661;0.725890337274539;0.538212934671771;0.121809076679585;0.25828878057417;0.578665241648751;0.590287753716047;0.577805457437355;0.503965692517226
Olfactory areas (R);0.753137915807938;0.816901815368672;0.31413168442372;0.555015907675194;0.436936904266468;0.377409579881067;0.594501835062547;1;0.0474964799147044;0.626256427218646;0.383003513636975;0.584118475705826;0.365896439849955;0.513290564059327;0.0960337734480784;0.191328995065958;0.620201542400488;0.680300477641783;0.631540248587878;0.532042934156701
Hippocampal formation (L);0.113880245954039;0.0416463797226017;0.65875617093452;0.023969833829515;0.0384084220061292;-0.0287014927779593;0.100592638472564;0.0474964799147044;1;0.104517187438564;0.104137204371192;0.0139316487524725;0.192707703103396;0.0418438948045646;0.0181154407009525;-0.0440886843516443;0.0270465296297402;0.0362900734756425;0.0431370156399191;0.0324807449074953
Hippocampal formation (R);0.464186722595031;0.702461285570978;0.184425919643323;0.439625860607128;0.364346392943707;0.65511999050897;0.567849616758265;0.626256427218646;0.104517187438564;1;0.472870433549573;0.491755417806412;0.419841145122162;0.452699020407894;0.109537342875421;0.159644479119776;0.882943166572279;0.867160594311788;0.786219044723779;0.713382666878184
Cortical subplate (L);0.38142267275834;0.436727225606598;0.242900140314963;0.375208153731457;0.442966179982576;0.455091288731217;0.787237106039691;0.383003513636975;0.104137204371192;0.472870433549573;1;0.381345840145674;0.814393566120678;0.441107433635566;0.11623021168604;0.16181559415744;0.483675737034462;0.499570627517585;0.462788540078265;0.416818414339144
Cortical subplate (R);0.592930945895951;0.641410163820258;0.273465887260791;0.501787826293261;0.349153420980539;0.318941363327136;0.508386835911661;0.584118475705826;0.0139316487524725;0.491755417806412;0.381345840145674;1;0.353397755965858;0.500446328216243;0.0764205168229021;0.208345373200791;0.474273206975788;0.564582517817017;0.492927978936635;0.440037148591432
