Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.799394646819958;;;0.380203349834783;0.488501802446982;0.567718289721788;0.378172537190219;0.847199915152871;0.803394419702371;0.291014756317401;0.351701648007202;0.20254712615171;0.634875736031463;;;0.791380506337531;0.783749029433733;0.714929262779848;0.735358507513114
Primary somatosensory area, barrel field (R);0.799394646819958;1;;;0.444952107344392;0.677391589273169;0.683639087585968;0.519217856404313;0.909145258700379;0.902888140792262;0.348667665329164;0.525056535926243;0.238007077541338;0.7346445333875;;;0.914603117139271;0.8952732184662;0.891101112923953;0.846560576210926
Primary somatosensory area, lower limb (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);0.380203349834783;0.444952107344392;;;1;0.289657656608129;0.412293313977822;0.331752583330368;0.36971017555942;0.368987815791787;0.382676999953384;0.371541024501825;0.174581988533409;0.371290431056661;;;0.368221095699524;0.363925106716717;0.357728846027867;0.367196943909956
Supplemental somatosensory area (R);0.488501802446982;0.677391589273169;;;0.289657656608129;1;0.467363194251976;0.246999273467965;0.676814598875088;0.675753092373748;0.265060749449431;0.310813262098997;0.219504370500372;0.561264862131731;;;0.694172925834317;0.647739080607693;0.705597272510074;0.619223274465705
Olfactory areas (L);0.567718289721788;0.683639087585968;;;0.412293313977822;0.467363194251976;1;0.348777726139276;0.660236263320204;0.656798874842189;0.409405514424518;0.404270649237239;0.344753535020672;0.590372957360595;;;0.667868154235598;0.664784998064701;0.648933865640528;0.618371109617814
Olfactory areas (R);0.378172537190219;0.519217856404313;;;0.331752583330368;0.246999273467965;0.348777726139276;1;0.326759091060384;0.325071828391752;0.191163591951925;0.637098933239764;0.13616289788613;0.329851226135857;;;0.336387000476173;0.327375919102661;0.358082774655718;0.359391027150816
Hippocampal formation (L);0.847199915152871;0.909145258700379;;;0.36971017555942;0.676814598875088;0.660236263320204;0.326759091060384;1;0.97134615198361;0.32048489846058;0.368032947999021;0.231937717774194;0.752520542913751;;;0.970941847574242;0.944563088827306;0.906740682963547;0.871160495420533
Hippocampal formation (R);0.803394419702371;0.902888140792262;;;0.368987815791787;0.675753092373748;0.656798874842189;0.325071828391752;0.97134615198361;1;0.32222802935451;0.372639982746556;0.233126651547653;0.760146235397123;;;0.967599631092535;0.94248505568339;0.90803733495129;0.868425153183711
Cortical subplate (L);0.291014756317401;0.348667665329164;;;0.382676999953384;0.265060749449431;0.409405514424518;0.191163591951925;0.32048489846058;0.32222802935451;1;0.258672745289067;0.164607625607037;0.360202449364761;;;0.324679426899382;0.336055416103073;0.318885307661843;0.321618999233112
Cortical subplate (R);0.351701648007202;0.525056535926243;;;0.371541024501825;0.310813262098997;0.404270649237239;0.637098933239764;0.368032947999021;0.372639982746556;0.258672745289067;1;0.206994827438374;0.410997662218346;;;0.380157237875982;0.370627176379819;0.401958115617589;0.404876729591472
Striatum (L);0.20254712615171;0.238007077541338;;;0.174581988533409;0.219504370500372;0.344753535020672;0.13616289788613;0.231937717774194;0.233126651547653;0.164607625607037;0.206994827438374;1;0.297673849392474;;;0.230384780609856;0.239836467744383;0.229655498223424;0.219536470360583
Striatum (R);0.634875736031463;0.7346445333875;;;0.371290431056661;0.561264862131731;0.590372957360595;0.329851226135857;0.752520542913751;0.760146235397123;0.360202449364761;0.410997662218346;0.297673849392474;0.999999999999999;;;0.762674026615275;0.751379224296806;0.720910846052631;0.711486710902713
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);0.791380506337531;0.914603117139271;;;0.368221095699524;0.694172925834317;0.667868154235598;0.336387000476173;0.970941847574242;0.967599631092535;0.324679426899382;0.380157237875982;0.230384780609856;0.762674026615275;;;1;0.960208736165416;0.931438744362895;0.874628829223075
Thalamus (R);0.783749029433733;0.8952732184662;;;0.363925106716717;0.647739080607693;0.664784998064701;0.327375919102661;0.944563088827306;0.94248505568339;0.336055416103073;0.370627176379819;0.239836467744383;0.751379224296806;;;0.960208736165416;1;0.907550358840963;0.863972018737421
Hypothalamus (L);0.714929262779848;0.891101112923953;;;0.357728846027867;0.705597272510074;0.648933865640528;0.358082774655718;0.906740682963547;0.90803733495129;0.318885307661843;0.401958115617589;0.229655498223424;0.720910846052631;;;0.931438744362895;0.907550358840963;1;0.834727228700374
Hypothalamus (R);0.735358507513114;0.846560576210926;;;0.367196943909956;0.619223274465705;0.618371109617814;0.359391027150816;0.871160495420533;0.868425153183711;0.321618999233112;0.404876729591472;0.219536470360583;0.711486710902713;;;0.874628829223075;0.863972018737421;0.834727228700374;1
