Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.600604571963018;;;0.560120518337577;0.0071832653613507;0.635699363635824;0.545177032811111;0.792129686307567;0.71832482252038;0.51955401299229;0.414114635175417;0.449490050322839;0.625453182787874;;;0.691669417025166;0.73118382195174;0.566504338728346;0.684071156959616
Primary somatosensory area, barrel field (R);0.600604571963018;1;;;0.404799393875365;0.54837941864715;0.631748012289153;0.429887237453429;0.838910764717186;0.835656756649779;0.33894967568382;0.567460395326727;0.29873050216817;0.751580218386466;;;0.901994199191646;0.813996453236712;0.915457706778289;0.784715035047204
Primary somatosensory area, lower limb (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);0.560120518337577;0.404799393875365;;;1;-0.189631287652659;0.635717665261076;0.607607063798242;0.580558741049366;0.572119354911217;0.626249774133532;0.556063112472215;0.483690145444033;0.547338475909955;;;0.512678098326073;0.587292645368681;0.3841163184244;0.58426988288273
Supplemental somatosensory area (R);0.0071832653613507;0.54837941864715;;;-0.189631287652659;1;-0.0548656661174853;-0.273633556117009;0.161225421584823;0.154832186044602;-0.214079233645128;-0.0397853745650034;-0.176028617716056;0.153069137189832;;;0.305701615420115;0.110016781366012;0.532358970131232;0.104094634406018
Olfactory areas (L);0.635699363635824;0.631748012289153;;;0.635717665261076;-0.0548656661174853;1;0.636465825113131;0.79917326579408;0.799305157402326;0.641657140755633;0.643759128108329;0.599801976519676;0.741464217400711;;;0.762258547200845;0.812481638866352;0.631483140487762;0.787294626853046
Olfactory areas (R);0.545177032811111;0.429887237453429;;;0.607607063798242;-0.273633556117009;0.636465825113131;1;0.584118902164018;0.596527381188822;0.537874669391446;0.758174137637727;0.490326596812735;0.561754404043401;;;0.517265314732037;0.605791672308137;0.34945925617531;0.635761223511352
Hippocampal formation (L);0.792129686307567;0.838910764717186;;;0.580558741049366;0.161225421584823;0.79917326579408;0.584118902164018;1;0.978153003503093;0.560046251157958;0.616069386126644;0.510989182586574;0.850232147489921;;;0.968060254808842;0.968167886370928;0.848521850724788;0.925223538619862
Hippocampal formation (R);0.71832482252038;0.835656756649779;;;0.572119354911217;0.154832186044602;0.799305157402326;0.596527381188822;0.978153003503093;1;0.550208459642121;0.651371759337628;0.506371149933901;0.863390850738057;;;0.968659664152952;0.968605770390685;0.838919170745481;0.936391418234492
Cortical subplate (L);0.51955401299229;0.33894967568382;;;0.626249774133532;-0.214079233645128;0.641657140755633;0.537874669391446;0.560046251157958;0.550208459642121;0.999999999999999;0.488857381714014;0.493805905320207;0.540912718699191;;;0.489615132648733;0.57954132737927;0.368830163201865;0.563716915995975
Cortical subplate (R);0.414114635175417;0.567460395326727;;;0.556063112472215;-0.0397853745650034;0.643759128108329;0.758174137637727;0.616069386126644;0.651371759337628;0.488857381714014;1;0.461547272288623;0.642209067321585;;;0.607204802056555;0.64233568312247;0.494182949327561;0.680312187091847
Striatum (L);0.449490050322839;0.29873050216817;;;0.483690145444033;-0.176028617716056;0.599801976519676;0.490326596812735;0.510989182586574;0.506371149933901;0.493805905320207;0.461547272288623;0.999999999999999;0.510526349713412;;;0.447325004601566;0.527970000323086;0.34195953381511;0.51277303281625
Striatum (R);0.625453182787874;0.751580218386466;;;0.547338475909955;0.153069137189832;0.741464217400711;0.561754404043401;0.850232147489921;0.863390850738057;0.540912718699191;0.642209067321585;0.510526349713412;1;;;0.851790165158473;0.854279251955205;0.740748355094141;0.83729932293417
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);0.691669417025166;0.901994199191646;;;0.512678098326073;0.305701615420115;0.762258547200845;0.517265314732037;0.968060254808842;0.968659664152952;0.489615132648733;0.607204802056555;0.447325004601566;0.851790165158473;;;1;0.958555620363737;0.911755019580176;0.912482831854835
Thalamus (R);0.73118382195174;0.813996453236712;;;0.587292645368681;0.110016781366012;0.812481638866352;0.605791672308137;0.968167886370928;0.968605770390685;0.57954132737927;0.64233568312247;0.527970000323086;0.854279251955205;;;0.958555620363737;1;0.8327324832712;0.930718200456064
Hypothalamus (L);0.566504338728346;0.915457706778289;;;0.3841163184244;0.532358970131232;0.631483140487762;0.34945925617531;0.848521850724788;0.838919170745481;0.368830163201865;0.494182949327561;0.34195953381511;0.740748355094141;;;0.911755019580176;0.8327324832712;1;0.780628947283937
Hypothalamus (R);0.684071156959616;0.784715035047204;;;0.58426988288273;0.104094634406018;0.787294626853046;0.635761223511352;0.925223538619862;0.936391418234492;0.563716915995975;0.680312187091847;0.51277303281625;0.83729932293417;;;0.912482831854835;0.930718200456064;0.780628947283937;1
