Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;-0.134065712142535;;;0.0855596429749376;-0.144934386088629;-0.0893999849483259;0.0256446558174517;0.298312224885099;-0.139440000132027;0.0443348549133368;-0.345463936289528;-0.0116395960111923;-0.202652103980221;;;-0.184435304671866;-0.0636956192195375;-0.210598957783066;-0.189951870482385
Primary somatosensory area, barrel field (R);-0.134065712142535;1;;;-0.411817842067687;0.820900592905113;-0.350564375144266;-0.394950850407346;0.183172282711456;0.168385687521626;-0.500078137312712;-0.13588520996727;-0.458598173533038;0.0105136457838274;;;0.606989609351525;0.0154200456305053;0.717212799110504;-0.0456863055708634
Primary somatosensory area, lower limb (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);0.0855596429749376;-0.411817842067687;;;1;-0.378727227756718;0.138895584425506;0.261238667032254;-0.391476471745798;-0.412936582246427;0.335607928785022;0.119876883637036;0.140168896607436;-0.162290737104627;;;-0.548710101880715;-0.3357011749651;-0.440625043569014;-0.214693539956788
Supplemental somatosensory area (R);-0.144934386088629;0.820900592905113;;;-0.378727227756718;1;-0.333099918447038;-0.508224535339419;0.145249425028005;0.11693186064727;-0.393757778122225;-0.199380207785243;-0.315869591377859;0.0849154016721651;;;0.582818855658612;-0.0549220358783312;0.775635253367288;-0.0523323853804751
Olfactory areas (L);-0.0893999849483259;-0.350564375144266;;;0.138895584425506;-0.333099918447038;1;0.102121281663657;-0.286519531490689;-0.259688852926769;0.213876020666683;0.0282924229505191;0.216772528711588;-0.121375206121435;;;-0.357948670686325;-0.161275906210336;-0.319489856726919;-0.161479185302449
Olfactory areas (R);0.0256446558174517;-0.394950850407346;;;0.261238667032254;-0.508224535339419;0.102121281663657;1;-0.474196891654837;-0.383405651984369;0.161503274675125;0.509197736710255;0.136833072467003;-0.169920289273334;;;-0.614373460648414;-0.335559543424538;-0.574778276878182;-0.0747885710528258
Hippocampal formation (L);0.298312224885099;0.183172282711456;;;-0.391476471745798;0.145249425028005;-0.286519531490689;-0.474196891654837;1;0.673998883530271;-0.342529389033108;-0.542184235015654;-0.302636008975378;-0.0929149092507453;;;0.631271196407134;0.523820386485283;0.301719336693571;0.16108932443229
Hippocampal formation (R);-0.139440000132027;0.168385687521626;;;-0.412936582246427;0.11693186064727;-0.259688852926769;-0.383405651984369;0.673998883530271;1;-0.371848852864525;-0.315995128404999;-0.30712335960257;0.0381546342371191;;;0.644271986755605;0.546054967776919;0.239223098712762;0.308574891592905
Cortical subplate (L);0.0443348549133368;-0.500078137312712;;;0.335607928785022;-0.393757778122225;0.213876020666683;0.161503274675125;-0.342529389033108;-0.371848852864525;1;0.0263978359776803;0.179459072703203;-0.102558656323388;;;-0.514549772123514;-0.226370119975571;-0.406138872129878;-0.183134357418436
Cortical subplate (R);-0.345463936289528;-0.13588520996727;;;0.119876883637036;-0.199380207785243;0.0282924229505191;0.509197736710255;-0.542184235015654;-0.315995128404999;0.0263978359776803;1;0.049114008671093;-0.035475103473744;;;-0.410589936951247;-0.367654780118011;-0.312800126787104;-0.0494426910795666
Striatum (L);-0.0116395960111923;-0.458598173533038;;;0.140168896607436;-0.315869591377859;0.216772528711588;0.136833072467003;-0.302636008975378;-0.30712335960257;0.179459072703203;0.049114008671093;1;-0.0458202650186661;;;-0.447220367654189;-0.205960413081021;-0.341050657051386;-0.169071734644696
Striatum (R);-0.202652103980221;0.0105136457838274;;;-0.162290737104627;0.0849154016721651;-0.121375206121435;-0.169920289273334;-0.0929149092507453;0.0381546342371191;-0.102558656323388;-0.035475103473744;-0.0458202650186661;1;;;0.0529049316803528;-0.0388100537266436;-0.00499289948364792;-0.0111269817464478
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);-0.184435304671866;0.606989609351525;;;-0.548710101880715;0.582818855658612;-0.357948670686325;-0.614373460648414;0.631271196407134;0.644271986755605;-0.514549772123514;-0.410589936951247;-0.447220367654189;0.0529049316803528;;;1;0.5228743749272;0.691840008560978;0.176947778200397
Thalamus (R);-0.0636956192195375;0.0154200456305053;;;-0.3357011749651;-0.0549220358783312;-0.161275906210336;-0.335559543424538;0.523820386485283;0.546054967776919;-0.226370119975571;-0.367654780118011;-0.205960413081021;-0.0388100537266436;;;0.5228743749272;1;0.196311902910662;0.243198846066757
Hypothalamus (L);-0.210598957783066;0.717212799110504;;;-0.440625043569014;0.775635253367288;-0.319489856726919;-0.574778276878182;0.301719336693571;0.239223098712762;-0.406138872129878;-0.312800126787104;-0.341050657051386;-0.00499289948364792;;;0.691840008560978;0.196311902910662;1;-0.0267654393520406
Hypothalamus (R);-0.189951870482385;-0.0456863055708634;;;-0.214693539956788;-0.0523323853804751;-0.161479185302449;-0.0747885710528258;0.16108932443229;0.308574891592905;-0.183134357418436;-0.0494426910795666;-0.169071734644696;-0.0111269817464478;;;0.176947778200397;0.243198846066757;-0.0267654393520406;1
