Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.193558466299074;;;-0.11661212883915;-0.0350729552410112;-0.188997558245913;-0.116078327911401;0.37382316858494;0.137603661303929;-0.196275315499248;-0.247795039355886;-0.192459299045198;-0.119114190741341;;;0.104623378610045;0.0608659376359872;-0.0892875961232974;-0.0275417194472529
Primary somatosensory area, barrel field (R);0.193558466299074;1;;;-0.186789178118553;0.384463389002173;-0.200975949978433;0.0170131173573852;0.191000529118088;0.1010780216696;-0.31851726628963;-0.0742511231956738;-0.345616509083783;-0.164130758558634;;;0.273485730738996;0.0802454744573972;0.322799348248546;-0.0514335424208748
Primary somatosensory area, lower limb (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);-0.11661212883915;-0.186789178118553;;;1;-0.125163126357214;0.0316507176112995;0.113101690144135;-0.407402373824762;-0.382189336239316;0.201641016342437;0.130226408315448;0.00809234152829292;-0.114336733212415;;;-0.428871286870867;-0.374865700601291;-0.326639955224295;-0.218423676698959
Supplemental somatosensory area (R);-0.0350729552410112;0.384463389002173;;;-0.125163126357214;0.999999999999999;-0.120308938922163;-0.227953047639662;0.184538180332611;0.125082358872842;-0.127168224588653;-0.161111483345851;-0.106722799855453;0.0395716516766511;;;0.293008810789699;0.0427216603301441;0.373667873654338;-0.0299793237806814
Olfactory areas (L);-0.188997558245913;-0.200975949978433;;;0.0316507176112995;-0.120308938922163;1;-0.0478739997405774;-0.275114400599892;-0.263068014456637;0.112485749155238;-0.0257903716873235;0.138508873255136;-0.105439947358169;;;-0.257473392273169;-0.201672526570739;-0.18224035134708;-0.194238733980869
Olfactory areas (R);-0.116078327911401;0.0170131173573852;;;0.113101690144135;-0.227953047639662;-0.0478739997405774;0.999999999999999;-0.488770582235167;-0.4488953247314;-0.0149451428100438;0.51502133141659;-0.00594873612904867;-0.168793492167507;;;-0.487774138116777;-0.416629249449543;-0.304351062448374;-0.168404932172931
Hippocampal formation (L);0.37382316858494;0.191000529118088;;;-0.407402373824762;0.184538180332611;-0.275114400599892;-0.488770582235167;1;0.755975914148586;-0.3607509076046;-0.533537464695968;-0.303367567441727;-0.0880203516019285;;;0.745662073991338;0.554549602779046;0.380141831577861;0.220327191647777
Hippocampal formation (R);0.137603661303929;0.1010780216696;;;-0.382189336239316;0.125082358872842;-0.263068014456637;-0.4488953247314;0.755975914148586;1;-0.322780451542726;-0.478569039546175;-0.266339849661362;-0.03836805524676;;;0.704916049150802;0.555617171582901;0.371441876881945;0.237826070436128
Cortical subplate (L);-0.196275315499248;-0.31851726628963;;;0.201641016342437;-0.127168224588653;0.112485749155238;-0.0149451428100438;-0.3607509076046;-0.322780451542726;1;0.0309665784470308;0.0330077293377238;-0.0331520353968122;;;-0.368818269982196;-0.261223844533767;-0.279532396290974;-0.173054871057072
Cortical subplate (R);-0.247795039355886;-0.0742511231956738;;;0.130226408315448;-0.161111483345851;-0.0257903716873235;0.51502133141659;-0.533537464695968;-0.478569039546175;0.0309665784470308;1;0.0456704886953488;-0.0937721949918076;;;-0.516043367200685;-0.457330508766744;-0.309746628292147;-0.191013316684156
Striatum (L);-0.192459299045198;-0.345616509083783;;;0.00809234152829292;-0.106722799855453;0.138508873255136;-0.00594873612904867;-0.303367567441727;-0.266339849661362;0.0330077293377238;0.0456704886953488;1;0.0148043141270281;;;-0.332101612449737;-0.231823369902685;-0.252051433283369;-0.169927172025503
Striatum (R);-0.119114190741341;-0.164130758558634;;;-0.114336733212415;0.0395716516766511;-0.105439947358169;-0.168793492167507;-0.0880203516019285;-0.03836805524676;-0.0331520353968122;-0.0937721949918076;0.0148043141270281;1;;;-0.0422585510885533;-0.0574462045010021;-0.0835609952976496;-0.0677054949029516
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);0.104623378610045;0.273485730738996;;;-0.428871286870867;0.293008810789699;-0.257473392273169;-0.487774138116777;0.745662073991338;0.704916049150802;-0.368818269982196;-0.516043367200685;-0.332101612449737;-0.0422585510885533;;;1;0.659870134752091;0.560825917781804;0.211515578579483
Thalamus (R);0.0608659376359872;0.0802454744573972;;;-0.374865700601291;0.0427216603301441;-0.201672526570739;-0.416629249449543;0.554549602779046;0.555617171582901;-0.261223844533767;-0.457330508766744;-0.231823369902685;-0.0574462045010021;;;0.659870134752091;1;0.385541040436153;0.230504051175287
Hypothalamus (L);-0.0892875961232974;0.322799348248546;;;-0.326639955224295;0.373667873654338;-0.18224035134708;-0.304351062448374;0.380141831577861;0.371441876881945;-0.279532396290974;-0.309746628292147;-0.252051433283369;-0.0835609952976496;;;0.560825917781804;0.385541040436153;1;0.104045856621605
Hypothalamus (R);-0.0275417194472529;-0.0514335424208748;;;-0.218423676698959;-0.0299793237806814;-0.194238733980869;-0.168404932172931;0.220327191647777;0.237826070436128;-0.173054871057072;-0.191013316684156;-0.169927172025503;-0.0677054949029516;;;0.211515578579483;0.230504051175287;0.104045856621605;1
