Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R)
0.4,0.83386706098301,3.02659074994574,,,3.54570377394558,4.92878193831646,5.34135796601808,5.39098708831882,11.51821832184,11.7028654758442,10.1505486516069,10.0891491286971,11.6910047739511,14.113642097941,,,17.0142213392738,18.2659923805286,16.9156229785738,17.5041744566809
0.8,1.14328910009133,2.92740042749051,,,3.3313011765408,5.76400707974688,5.42203325220273,5.24076886953788,11.7153040112952,11.8493805597148,10.506544976468,9.90354942449374,11.3297505753657,14.3721959239448,,,16.5698758418958,17.5825262258831,17.096232302526,17.6809893992731
1.2,0.978398498503983,2.98750337222319,,,2.56904559025469,5.42834332938564,5.64089307186531,5.74254140513601,12.0484094741934,11.9542600945726,10.3019615467838,10.2341428977134,10.883220265029,13.6320427771244,,,17.365186531824,18.1658110842334,17.3166802973412,17.6255466516547
1.6,1.04969485672639,3.07160358119658,,,2.35294846556049,5.63716708077283,4.89729870509804,5.63131675573365,12.142302136072,12.275729942235,10.4649052967084,9.80225649644361,11.7445888010561,13.630071379656,,,17.1658006027361,18.1414748943346,17.4759533480775,17.623496266829
2,0.981194317355189,3.27931085328989,,,2.90835332060913,5.431267196942,5.36611852477669,5.59812893749556,11.8587062722297,12.0878678254525,9.92904494160143,9.78354671043248,11.5297461724268,13.5633947021282,,,17.3818404530986,18.1683238120568,17.1314154526372,17.9698281864946
2.4,0.8926197065747,2.71352416072093,,,3.40781633138839,5.35909575699029,5.53846636960446,5.89084327563542,11.5256567376687,11.8244020657347,10.4088111181604,9.93248941367092,11.2560852419201,13.5156622734097,,,17.0608644102848,18.4705928150314,16.7207141961669,18.0869352557189
2.8,1.05991540952426,3.36998489004872,,,2.23468173420755,5.58885181124047,5.030381534755,6.02235262684167,11.6379122302955,12.1564420276959,9.76197185441504,10.3097988253183,11.5643368651038,13.8623135565373,,,17.4436457679428,18.5272773231391,17.3768005157976,16.9101665289259
3.2,1.08503064570936,2.97473624013353,,,3.40852255836041,5.78949628109622,5.48282875403528,5.37883683669174,10.9884186222048,11.3867670762677,9.93036926604047,10.730215710028,11.1501807277238,14.9005299588056,,,16.7825735046282,17.664003920619,16.9235654781314,17.3779824318239
3.6,1.02043157139242,3.26294650484119,,,2.06390763945304,5.59574555525878,5.83448050765383,5.86509757628761,12.0144828213763,12.1382774342948,9.77231692078876,10.1555712831008,11.1638039798982,12.9682696706105,,,17.4821391192555,18.857737194663,17.3129257407166,18.0300126017154
4,0.957095932753898,3.1238559743778,,,2.62570527690883,5.47693765272499,4.277672337157,5.28946017840079,12.1307938497115,12.4943211969878,9.51671486811303,10.154192796494,11.9174668043446,14.0921007914313,,,17.1977034872886,18.3424805064113,17.5933600769319,18.2642565959925
4.4,1.16292630965497,3.19246800648222,,,2.82921428597904,5.06859509651323,4.78732154614239,5.8182531490011,11.2761194209567,11.5293035198734,10.4449577839126,10.0255992462058,11.3306098713006,14.8605847997348,,,16.853657123147,17.6630604680701,16.9837564648701,18.0062404609227
4.8,0.994223467191987,3.05414822491505,,,3.71411234129354,5.25860413488694,5.34689059694711,5.53556005844422,11.7156970529645,12.174101333189,10.1266183802838,9.55209170373075,11.5150904186298,13.8462361614541,,,16.8193540236366,17.6134232418498,17.1947619594894,17.8446931734032
5.2,1.16407330067011,3.02648239580987,,,2.59973477782819,5.74415254194846,4.11183508274498,5.7540684616958,12.4764985582228,12.1385992334084,9.49021676627856,9.89483219061963,11.3959348300243,15.0000684882221,,,17.0849196395957,18.5989179570506,17.2446639750596,18.0079273162596
5.6,0.922685951543109,2.9967016017282,,,2.44085194729721,5.30675724926057,4.87619907438375,5.4527578128356,11.8836652456209,12.0250792561073,9.79931866628072,10.6347189238836,11.5927789699148,13.890353781729,,,17.0667994675184,18.0637324039626,17.5967347796689,18.2416859671003
6,1.35171610576662,3.38470287279119,,,2.77889879578781,5.30335075502471,4.7602150769958,5.99776659486402,12.4022717919748,12.0734732508055,9.84230256768671,9.84596238631257,10.8304983827532,13.5264229649285,,,17.1413286887851,18.8724544063912,17.0814564038586,18.1664318738649
6.4,1.10741956877764,2.91643207731252,,,2.73116526344532,5.30721533283478,4.71200915117742,5.59111523075102,12.1494960276635,12.3583481507636,10.4929328346387,10.0519297208822,11.0874506768426,13.4337825222908,,,17.4610029236726,18.413073251205,17.5790761029644,17.6982446905673
6.8,1.01695544910936,2.6628475066928,,,3.20683771822389,5.24102544625561,5.181555433115,5.58271820335638,11.8579768690385,11.8327662291604,9.90584552542185,9.9183325714062,11.0414958066615,13.8668420169352,,,17.3695708837076,18.1507096927797,17.6654963747488,18.3116722589759
7.2,0.993659750973486,3.10337128917107,,,2.58046039079749,5.79847141996216,5.50944953649415,5.85942398286614,11.3125748405603,11.686823140963,9.86643385633024,10.5470719036502,11.3881222995647,14.8283528003125,,,16.920635482456,17.766696556502,17.130047417499,16.9529606247883
7.6,1.26362169763815,3.07851963692377,,,2.79747989144453,5.55151140514762,5.53200733024252,5.54277722110667,11.603267025394,11.8381708628016,10.3906464790271,9.94079810125388,11.5979601775034,13.4567863580815,,,17.2241193865121,18.0033637367103,16.8581503974209,17.949764130158
8,1.19633319360855,2.90702205120963,,,2.86281359979608,5.30181839287119,5.23175517096491,5.60736791343462,11.6849485567018,11.7932216863886,10.7300422450684,10.488817837614,11.0994123206041,13.8048368899296,,,16.8278845340627,17.9212302877421,17.0692429890005,17.6294288564147
8.4,1.12592551634071,3.16373756783862,,,3.01752427197785,5.80960519945555,4.68429963281045,5.72685189903557,11.7296049972775,11.7198747031961,9.56739149935826,10.1282343929042,12.2723978395631,13.4099909446588,,,17.2550535335402,18.7821438157148,17.1719542556124,17.3804285724464
