Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);0.999999999999999;0.229614319340083;0.409535441437637;;0.260468897215042;0.118606254063067;0.152937191665258;0.193958091487294;0.282230228214811;0.325916610596685;0.108377148366297;0.0397454364403323;0.0759444167744333;;;;0.235314400024331;0.151365093281466;0.161213822148313;0.0752464118529967
Primary somatosensory area, barrel field (R);0.229614319340083;1;0.00773395429916514;;0.224356528137692;0.216675867210099;0.184025660311781;0.199462376997781;0.179529242518998;0.382199094534589;0.229100150251083;0.0926259232431826;0.152131882353159;;;;0.13881460659875;0.260626604779245;0.216755185910519;0.116134034142751
Primary somatosensory area, lower limb (L);0.409535441437637;0.00773395429916514;1;;0.220168074294099;0.0144361752198346;0.0491574400895934;0.0247201443625033;0.286375910142885;0.24457929365188;0.0103841577724172;-0.000470020719301746;0.000293722229759557;;;;0.20085005589164;0.124398930412938;0.189177871097696;0.101352594924819
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);0.260468897215042;0.224356528137692;0.220168074294099;;1;0.133193851418922;0.214641008117813;0.115826220043803;0.470941538034968;0.401983642580838;0.111344644581173;0.0408120873915692;0.0710927909096467;;;;0.310342613967805;0.254872651080403;0.272510491620264;0.17036202945789
Supplemental somatosensory area (R);0.118606254063067;0.216675867210099;0.0144361752198346;;0.133193851418922;1;0.258213113882498;0.187548231086727;0.0697402213323479;0.161757437112528;0.316010294550675;0.109242861138081;0.254584506394182;;;;0.111223010484963;0.204464962982665;0.139873167851889;0.0601130400594816
Olfactory areas (L);0.152937191665258;0.184025660311781;0.0491574400895934;;0.214641008117813;0.258213113882498;1;0.179371127833513;0.193833966439637;0.247643216598389;0.304068391951983;0.108582338843674;0.276383420287332;;;;0.170057569644734;0.256208247953415;0.226332405495692;0.102422190744048
Olfactory areas (R);0.193958091487294;0.199462376997781;0.0247201443625033;;0.115826220043803;0.187548231086727;0.179371127833513;1;0.123060685151388;0.208195296242952;0.214718313726385;0.117814227976591;0.162179819940977;;;;0.110651934670051;0.197108927644255;0.175806696724365;0.110498666089728
Hippocampal formation (L);0.282230228214811;0.179529242518998;0.286375910142885;;0.470941538034968;0.0697402213323479;0.193833966439637;0.123060685151388;1;0.719328750557865;0.0641862450633607;0.0408421870729616;0.0457229468852066;;;;0.619211649487585;0.458517288235196;0.544005651789389;0.381419754923999
Hippocampal formation (R);0.325916610596685;0.382199094534589;0.24457929365188;;0.401983642580838;0.161757437112528;0.247643216598389;0.208195296242952;0.719328750557865;0.999999999999999;0.172016475255155;0.0519059866755564;0.146947219467185;;;;0.62181377532242;0.557433776564735;0.589286695447274;0.428715395143346
Cortical subplate (L);0.108377148366297;0.229100150251083;0.0103841577724172;;0.111344644581173;0.316010294550675;0.304068391951983;0.214718313726385;0.0641862450633607;0.172016475255155;1;0.170980743492387;0.292769915059348;;;;0.0926757095773827;0.239836955264174;0.192130341746571;0.0713308557285578
Cortical subplate (R);0.0397454364403323;0.0926259232431826;-0.000470020719301746;;0.0408120873915692;0.109242861138081;0.108582338843674;0.117814227976591;0.0408421870729616;0.0519059866755564;0.170980743492387;1;0.11651131958549;;;;0.0403237844422932;0.0805716600980074;0.0715900017679882;0.049415346525516
Striatum (L);0.0759444167744333;0.152131882353159;0.000293722229759557;;0.0710927909096467;0.254584506394182;0.276383420287332;0.162179819940977;0.0457229468852066;0.146947219467185;0.292769915059348;0.11651131958549;1;;;;0.0887987452319644;0.230013661031085;0.166748258916792;0.0798772021596261
Striatum (R);;;;;;;;;;;;;;;;;;;;
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);0.235314400024331;0.13881460659875;0.20085005589164;;0.310342613967805;0.111223010484963;0.170057569644734;0.110651934670051;0.619211649487585;0.62181377532242;0.0926757095773827;0.0403237844422932;0.0887987452319644;;;;1;0.460944315283454;0.517540577678055;0.37772245581268
Thalamus (R);0.151365093281466;0.260626604779245;0.124398930412938;;0.254872651080403;0.204464962982665;0.256208247953415;0.197108927644255;0.458517288235196;0.557433776564735;0.239836955264174;0.0805716600980074;0.230013661031085;;;;0.460944315283454;1;0.498933939713078;0.332694105696239
Hypothalamus (L);0.161213822148313;0.216755185910519;0.189177871097696;;0.272510491620264;0.139873167851889;0.226332405495692;0.175806696724365;0.544005651789389;0.589286695447274;0.192130341746571;0.0715900017679882;0.166748258916792;;;;0.517540577678055;0.498933939713078;0.999999999999999;0.403807350748828
Hypothalamus (R);0.0752464118529967;0.116134034142751;0.101352594924819;;0.17036202945789;0.0601130400594816;0.102422190744048;0.110498666089728;0.381419754923999;0.428715395143346;0.0713308557285578;0.049415346525516;0.0798772021596261;;;;0.37772245581268;0.332694105696239;0.403807350748828;1
