Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;-0.0238587002504752;0.799998992465849;;-0.307672178770436;-0.0451315415107894;-0.0235350637843679;-0.108920829987671;0.595861348629816;0.616825004888477;0.0649477873599416;0.00601939224302587;-0.0388364485489659;;;;0.632997758536702;0.168807879825212;0.580055513515128;0.518749330829174
Primary somatosensory area, barrel field (R);-0.0238587002504752;0.999999999999999;-0.215760707863956;;0.587396539790932;0.240841683471765;0.280613022494273;0.273770090468433;0.0915639895453051;0.244739930461366;0.172659779854053;0.110588798401076;0.142753306828409;;;;-0.00607314562939987;0.28169620313309;0.112037704183027;0.114612250440172
Primary somatosensory area, lower limb (L);0.799998992465849;-0.215760707863956;1;;-0.518924832288414;-0.143725049974335;-0.115469323871022;-0.301068482189067;0.656885898866484;0.527360090144393;0.0136189915934025;-0.0336936047639135;-0.0925710402361333;;;;0.596280027359258;0.0438059917696986;0.560971793257536;0.483072334573909
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);-0.307672178770436;0.587396539790932;-0.518924832288414;;1;0.173283026345126;0.221187244518232;0.336114148389692;-0.190835907532045;0.175728001428918;-0.00538148164972673;0.0785707676032033;0.0554494281010034;;;;-0.0115170761530128;0.336519020834044;0.0410176611016392;0.137542064123438
Supplemental somatosensory area (R);-0.0451315415107894;0.240841683471765;-0.143725049974335;;0.173283026345126;1;0.27836719320768;0.230602995274065;-0.0424002666998226;0.0312502073400722;0.307712084331845;0.116869819331567;0.264546263288657;;;;-0.0322145539905979;0.189663998027174;0.0150717725368789;-0.0219088033054065
Olfactory areas (L);-0.0235350637843679;0.280613022494273;-0.115469323871022;;0.221187244518232;0.27836719320768;1;0.204944376740766;0.113254154459677;0.0485247675276399;0.297781841404111;0.114581207018911;0.287833390725519;;;;-0.069360258055429;0.183717143712435;0.0332623412572769;-0.0346303920998115
Olfactory areas (R);-0.108920829987671;0.273770090468433;-0.301068482189067;;0.336114148389692;0.230602995274065;0.204944376740766;1;-0.136005506777121;0.0535118903114607;0.180823829915195;0.129795262196638;0.172530030321984;;;;-0.0540650235467549;0.250497861885718;0.00730437557829543;0.00653072095971045
Hippocampal formation (L);0.595861348629816;0.0915639895453051;0.656885898866484;;-0.190835907532045;-0.0424002666998226;0.113254154459677;-0.136005506777121;1;0.57459347732668;0.0629615794757759;0.0107476307864448;-0.0169742195078871;;;;0.482147950603428;0.223375572374755;0.543708645579156;0.422742147370536
Hippocampal formation (R);0.616825004888477;0.244739930461366;0.527360090144393;;0.175728001428918;0.0312502073400722;0.0485247675276399;0.0535118903114607;0.57459347732668;1;0.061648563682323;0.0470785314168426;-0.00740309405489781;;;;0.870893307959722;0.594420787884387;0.847851090739163;0.822635539679061
Cortical subplate (L);0.0649477873599416;0.172659779854053;0.0136189915934025;;-0.00538148164972673;0.307712084331845;0.297781841404111;0.180823829915195;0.0629615794757759;0.061648563682323;0.999999999999999;0.167281279697062;0.293007742660723;;;;0.00765141519178134;0.173368943173115;0.0918689884340818;0.00673458405895678
Cortical subplate (R);0.00601939224302587;0.110588798401076;-0.0336936047639135;;0.0785707676032033;0.116869819331567;0.114581207018911;0.129795262196638;0.0107476307864448;0.0470785314168426;0.167281279697062;1;0.116851441924435;;;;0.026097070414113;0.0952645915202363;0.0535937381465315;0.0459176092230871
Striatum (L);-0.0388364485489659;0.142753306828409;-0.0925710402361333;;0.0554494281010034;0.264546263288657;0.287833390725519;0.172530030321984;-0.0169742195078871;-0.00740309405489781;0.293007742660723;0.116851441924435;1;;;;-0.0628434058754845;0.165207065320785;0.0140756158356393;-0.0429821634869211
Striatum (R);;;;;;;;;;;;;;;;;;;;
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);0.632997758536702;-0.00607314562939987;0.596280027359258;;-0.0115170761530128;-0.0322145539905979;-0.069360258055429;-0.0540650235467549;0.482147950603428;0.870893307959722;0.00765141519178134;0.026097070414113;-0.0628434058754845;;;;1;0.508054268976952;0.836174339780189;0.814313064879841
Thalamus (R);0.168807879825212;0.28169620313309;0.0438059917696986;;0.336519020834044;0.189663998027174;0.183717143712435;0.250497861885718;0.223375572374755;0.594420787884387;0.173368943173115;0.0952645915202363;0.165207065320785;;;;0.508054268976952;1;0.546273974819852;0.495906456593539
Hypothalamus (L);0.580055513515128;0.112037704183027;0.560971793257536;;0.0410176611016392;0.0150717725368789;0.0332623412572769;0.00730437557829543;0.543708645579156;0.847851090739163;0.0918689884340818;0.0535937381465315;0.0140756158356393;;;;0.836174339780189;0.546273974819852;1;0.783070080233997
Hypothalamus (R);0.518749330829174;0.114612250440172;0.483072334573909;;0.137542064123438;-0.0219088033054065;-0.0346303920998115;0.00653072095971045;0.422742147370536;0.822635539679061;0.00673458405895678;0.0459176092230871;-0.0429821634869211;;;;0.814313064879841;0.495906456593539;0.783070080233997;1
