Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;-0.166958613250452;0.53732219998095;;-0.423976015421807;-0.0613902208264032;-0.0637729390587062;-0.108090509584588;0.118598879041677;-0.425448545816543;-0.0051687801358122;-0.0518319265417909;-0.0410410203294751;;;;-0.274945728818949;-0.473542301268219;-0.440172969404646;-0.412480261453929
Primary somatosensory area, barrel field (R);-0.166958613250452;1;-0.434560401169389;;0.596866613359368;0.243039835875391;0.279949208129664;0.281199712272725;0.0256954228388023;0.395189261102082;0.164983663805222;0.10606498740001;0.14531485125006;;;;-0.246020295797403;0.269182729264049;0.0408711564666186;0.0489457484329071
Primary somatosensory area, lower limb (L);0.53732219998095;-0.434560401169389;1;;-0.710929202961338;-0.203300615439924;-0.193998610673198;-0.387930556666356;0.293496361322974;-0.6059407710015;-0.0757727181255705;-0.104172401970521;-0.118591854964667;;;;-0.260441936294281;-0.624287325729711;-0.354865808674207;-0.391846824685676
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);-0.423976015421807;0.596866613359368;-0.710929202961338;;1;0.173098802252028;0.222652006360887;0.334313115574098;-0.216993602218505;0.595561217009914;-0.000847827063207214;0.0813592127965211;0.0546721185069436;;;;0.0855259620092751;0.434490534732888;0.204155199214439;0.342489793073129
Supplemental somatosensory area (R);-0.0613902208264032;0.243039835875391;-0.203300615439924;;0.173098802252028;1;0.278618360743822;0.230500632791755;-0.0513874516704868;0.103264982873929;0.309642158543828;0.117428416353463;0.26445606312398;;;;-0.0598423096639432;0.231062136606804;0.0522291261058947;-0.0283019865938734
Olfactory areas (L);-0.0637729390587062;0.279949208129664;-0.193998610673198;;0.222652006360887;0.278618360743822;1;0.206414419745493;0.137391042485451;0.0757292983056432;0.297097787973506;0.113666512166483;0.288301317909844;;;;-0.21500132429713;0.204766419651273;0.0319050161965113;-0.100037923915176
Olfactory areas (R);-0.108090509584588;0.281199712272725;-0.387930556666356;;0.334313115574098;0.230500632791755;0.206414419745493;1;-0.139188447018071;0.27223632998982;0.186425124805567;0.132770209542907;0.171917517717217;;;;-0.0152047540926953;0.332576621993826;0.12755427936169;0.0964588928705608
Hippocampal formation (L);0.118598879041677;0.0256954228388023;0.293496361322974;;-0.216993602218505;-0.0513874516704868;0.137391042485451;-0.139188447018071;1;-0.276259601148167;0.00187167896196017;-0.0340301965460642;-0.00746222576102751;;;;-0.523593237287563;-0.260812142322638;-0.288434897087244;-0.451626916450056
Hippocampal formation (R);-0.425448545816543;0.395189261102082;-0.6059407710015;;0.595561217009914;0.103264982873929;0.0757292983056432;0.27223632998982;-0.276259601148167;1;-0.0532681546486752;0.00191857595634466;0.0213304736064203;;;;0.176570284615963;0.290196237328234;0.0679404383506654;0.184528183613201
Cortical subplate (L);-0.0051687801358122;0.164983663805222;-0.0757727181255705;;-0.000847827063207214;0.309642158543828;0.297097787973506;0.186425124805567;0.00187167896196017;-0.0532681546486752;1;0.163717031119201;0.295661235398169;;;;-0.175569656026873;0.150106547452198;0.0288976661043849;-0.12867927680919
Cortical subplate (R);-0.0518319265417909;0.10606498740001;-0.104172401970521;;0.0813592127965211;0.117428416353463;0.113666512166483;0.132770209542907;-0.0340301965460642;0.00191857595634466;0.163717031119201;1;0.11784751641592;;;;-0.0469465851191016;0.0811991647728947;0.0196243957144022;0.00660289792382272
Striatum (L);-0.0410410203294751;0.14531485125006;-0.118591854964667;;0.0546721185069436;0.26445606312398;0.288301317909844;0.171917517717217;-0.00746222576102751;0.0213304736064203;0.295661235398169;0.11784751641592;1;;;;-0.115129062789892;0.207449830929792;0.0677623786577672;-0.0544931969956418
Striatum (R);;;;;;;;;;;;;;;;;;;;
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);-0.274945728818949;-0.246020295797403;-0.260441936294281;;0.0855259620092751;-0.0598423096639432;-0.21500132429713;-0.0152047540926953;-0.523593237287563;0.176570284615963;-0.175569656026873;-0.0469465851191016;-0.115129062789892;;;;1;0.0409344544906413;0.0803144771146697;0.193599509491245
Thalamus (R);-0.473542301268219;0.269182729264049;-0.624287325729711;;0.434490534732888;0.231062136606804;0.204766419651273;0.332576621993826;-0.260812142322638;0.290196237328234;0.150106547452198;0.0811991647728947;0.207449830929792;;;;0.0409344544906413;1;0.156001235785584;0.0803605409230506
Hypothalamus (L);-0.440172969404646;0.0408711564666186;-0.354865808674207;;0.204155199214439;0.0522291261058947;0.0319050161965113;0.12755427936169;-0.288434897087244;0.0679404383506654;0.0288976661043849;0.0196243957144022;0.0677623786577672;;;;0.0803144771146697;0.156001235785584;1;0.0757068892367142
Hypothalamus (R);-0.412480261453929;0.0489457484329071;-0.391846824685676;;0.342489793073129;-0.0283019865938734;-0.100037923915176;0.0964588928705608;-0.451626916450056;0.184528183613201;-0.12867927680919;0.00660289792382272;-0.0544931969956418;;;;0.193599509491245;0.0803605409230506;0.0757068892367142;0.999999999999999
