Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.0410344695737948;0.301521361277741;;-0.0250911172902256;0.00879763273231159;-0.0219870244745693;0.0660323997195575;-0.240599975498136;-0.185719745101635;-0.0252622936628192;-0.0189296140604532;-0.0322711692778096;;;;-0.143270604148274;-0.31119133873808;-0.353011641817918;-0.253261035017075
Primary somatosensory area, barrel field (R);0.0410344695737948;1;-0.255602641347839;;0.217701992397298;0.209871092146379;0.166116028141082;0.195434921468294;-0.00565539979943021;0.204923634585953;0.208807145643794;0.0814106528008972;0.145832040807692;;;;-0.249633957431783;0.165440349549834;-0.0367021315630847;-0.148127733400988
Primary somatosensory area, lower limb (L);0.301521361277741;-0.255602641347839;0.999999999999999;;-0.212894949549391;-0.145263722158101;-0.19605375899012;-0.175692904537365;-0.284475088200217;-0.218522030082074;-0.165498105035255;-0.0742580171899433;-0.151225005023048;;;;0.0168096260571978;-0.403070725293603;-0.207683282141778;-0.0756563584366725
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);-0.0250911172902256;0.217701992397298;-0.212894949549391;;1;0.14748116680885;0.228662666771623;0.146439150411804;0.408587981272177;0.0679926290827443;0.107470663646442;0.0362316096180558;0.0895566580139234;;;;-0.204577769391044;0.184820958108046;-0.0566855228330193;-0.200063936738183
Supplemental somatosensory area (R);0.00879763273231159;0.209871092146379;-0.145263722158101;;0.14748116680885;1;0.257936467288839;0.192245248819692;-0.0259307026446931;0.0221504168027923;0.311421143521873;0.105237112606349;0.256236920525028;;;;-0.0963699688969083;0.182881521314692;0.0161825951083939;-0.0901726072234542
Olfactory areas (L);-0.0219870244745693;0.166116028141082;-0.19605375899012;;0.228662666771623;0.257936467288839;1;0.184097447989101;0.0758166194996298;0.0200353201609868;0.293214142604577;0.101285905344272;0.277223566439642;;;;-0.154087097424366;0.20037181234428;0.0334054841197105;-0.130160282699521
Olfactory areas (R);0.0660323997195575;0.195434921468294;-0.175692904537365;;0.146439150411804;0.192245248819692;0.184097447989101;1;0.0392400615066915;0.0570361216378748;0.210981849748332;0.114092421257681;0.167640863830616;;;;-0.152511634468825;0.170919151309118;0.034618232465597;-0.0641441492916099
Hippocampal formation (L);-0.240599975498136;-0.00565539979943021;-0.284475088200217;;0.408587981272177;-0.0259307026446931;0.0758166194996298;0.0392400615066915;1;0.114134695569872;-0.0881325804215197;-0.0220917092728635;-0.0516331988230503;;;;-0.118325783890677;0.0457780309359064;-0.115041206904956;-0.249628744830854
Hippocampal formation (R);-0.185719745101635;0.204923634585953;-0.218522030082074;;0.0679926290827443;0.0221504168027923;0.0200353201609868;0.0570361216378748;0.114134695569872;1;-0.0285956189190912;-0.0579297034119046;0.0114326886778775;;;;-0.0566134174919851;-0.0466435261575219;-0.161400167375925;-0.176620031172679
Cortical subplate (L);-0.0252622936628192;0.208807145643794;-0.165498105035255;;0.107470663646442;0.311421143521873;0.293214142604577;0.210981849748332;-0.0881325804215197;-0.0285956189190912;1;0.164091021917504;0.289029238332645;;;;-0.16746713279824;0.189994757457218;0.0468111931032961;-0.107075278958287
Cortical subplate (R);-0.0189296140604532;0.0814106528008972;-0.0742580171899433;;0.0362316096180558;0.105237112606349;0.101285905344272;0.114092421257681;-0.0220917092728635;-0.0579297034119046;0.164091021917504;1;0.113014304232769;;;;-0.071425412739892;0.0500800317469193;0.000748910706815804;-0.0235120269054054
Striatum (L);-0.0322711692778096;0.145832040807692;-0.151225005023048;;0.0895566580139234;0.256236920525028;0.277223566439642;0.167640863830616;-0.0516331988230503;0.0114326886778775;0.289029238332645;0.113014304232769;1;;;;-0.114034901304963;0.219978816467646;0.0692862474717334;-0.0570878009933794
Striatum (R);;;;;;;;;;;;;;;;;;;;
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);-0.143270604148274;-0.249633957431783;0.0168096260571978;;-0.204577769391044;-0.0963699688969083;-0.154087097424366;-0.152511634468825;-0.118325783890677;-0.0566134174919851;-0.16746713279824;-0.071425412739892;-0.114034901304963;;;;1;-0.243983060082311;-0.120090394566219;-0.0390460123460549
Thalamus (R);-0.31119133873808;0.165440349549834;-0.403070725293603;;0.184820958108046;0.182881521314692;0.20037181234428;0.170919151309118;0.0457780309359064;-0.0466435261575219;0.189994757457218;0.0500800317469193;0.219978816467646;;;;-0.243983060082311;1;-0.00819807650852578;-0.188844788743553
Hypothalamus (L);-0.353011641817918;-0.0367021315630847;-0.207683282141778;;-0.0566855228330193;0.0161825951083939;0.0334054841197105;0.034618232465597;-0.115041206904956;-0.161400167375925;0.0468111931032961;0.000748910706815804;0.0692862474717334;;;;-0.120090394566219;-0.00819807650852578;1;-0.0842575869982829
Hypothalamus (R);-0.253261035017075;-0.148127733400988;-0.0756563584366725;;-0.200063936738183;-0.0901726072234542;-0.130160282699521;-0.0641441492916099;-0.249628744830854;-0.176620031172679;-0.107075278958287;-0.0235120269054054;-0.0570878009933794;;;;-0.0390460123460549;-0.188844788743553;-0.0842575869982829;1
