Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;-0.213100529467539;0.758796419502766;-0.308406505969229;0.204141408418661;-0.249712200561215;0.0169639515420972;-0.0224375396890053;0.584218166074887;-0.0111237442694854;0.0147498402646417;0.172337325628126;0.0721566591675612;0.02600760705023;0.0664737469846457;-0.0351489268421997;0.48764188747092;0.224249594545682;0.418154491723148;0.144015998129656
Primary somatosensory area, barrel field (R);-0.213100529467539;1;-0.304398509392964;0.787384626746987;-0.358119689551038;0.274618798842265;0.19902355380647;0.128338282151565;-0.311768107957807;0.282534699088341;0.20018706304885;0.155659306217911;0.158953326090426;0.0633187345828991;-0.00731180176844515;0.0371865492311649;-0.1489801662246;-0.198740317881834;-0.123525551387811;0.017538986772388
Primary somatosensory area, lower limb (L);0.758796419502766;-0.304398509392964;1;-0.346610857191202;0.380019123941102;-0.282024426091986;-0.166673999019504;-0.134842380128694;0.52980010839044;-0.0146104082023268;-0.0434679836633491;0.121902178636107;-0.061358859255501;-0.0792252224116309;0.104881190620739;-0.0585876428124961;0.544146339607967;0.260348775091888;0.4718173775029;0.121704936444339
Primary somatosensory area, lower limb (R);-0.308406505969229;0.787384626746987;-0.346610857191202;1;-0.300344670575323;0.256278538145891;0.13585966138282;0.0405433971433302;-0.211152450710433;0.432809488677066;0.257471129080536;0.0755677475852213;0.112601230390553;0.0399700010101022;-0.0600999900777018;0.00131313006065605;-0.10183365172692;-0.136526782796354;-0.213918555251166;0.0309392054702855
Supplemental somatosensory area (L);0.204141408418661;-0.358119689551038;0.380019123941102;-0.300344670575323;1;0.248774984903762;-0.0786238323381381;0.0388093662868539;0.241280311601015;0.0709978689100749;-0.055485489202301;0.126133797494004;-0.125496211182573;-0.0091690125984385;0.0812232927273335;0.0669014237014719;0.355232330941821;0.361249160666871;0.344267557139718;0.0324695343701619
Supplemental somatosensory area (R);-0.249712200561215;0.274618798842265;-0.282024426091986;0.256278538145891;0.248774984903762;1;0.110984394303171;0.197386948048044;-0.371085506629968;-0.00467285256753319;0.0664957642307067;0.118200721639468;-0.0366262252040515;0.117099340365408;-0.0235015301975069;0.145504418166231;-0.242210650365682;-0.147756961131986;-0.141134579400416;-0.0236666683422318
Olfactory areas (L);0.0169639515420972;0.19902355380647;-0.166673999019504;0.13585966138282;-0.0786238323381381;0.110984394303171;1;0.234324810266714;0.00228861260639322;0.188083813158644;0.0805086946545708;0.142330923896471;0.321028009844308;0.105935518152014;0.230119690310264;0.100893508885919;0.0848431080741606;0.159166096445822;0.0712651946399795;0.110607226017619
Olfactory areas (R);-0.0224375396890053;0.128338282151565;-0.134842380128694;0.0405433971433302;0.0388093662868539;0.197386948048044;0.234324810266714;1;-0.119754725874892;0.17618590819387;0.171312079676898;0.276582824992827;0.293399443504911;0.230393727307134;0.0829826822021056;0.00751566515425081;0.004290199322214;-0.00650413345505394;-0.0698585151245005;-0.150809877697128
Hippocampal formation (L);0.584218166074887;-0.311768107957807;0.52980010839044;-0.211152450710433;0.241280311601015;-0.371085506629968;0.00228861260639322;-0.119754725874892;1;0.382708087280055;-0.0332668679435305;0.132187270890563;0.0542430442545002;0.00976548314307134;0.116303777411022;-0.103817312344068;0.715906813347471;0.549639475115016;0.508950280451769;0.255617678823439
Hippocampal formation (R);-0.0111237442694854;0.282534699088341;-0.0146104082023268;0.432809488677066;0.0709978689100749;-0.00467285256753319;0.188083813158644;0.17618590819387;0.382708087280055;1;0.102569255371961;0.189062340543009;0.150219549322045;0.000290050309623577;0.173430278476275;-0.00166070761803181;0.444666956337491;0.410235741216317;0.184844469331786;0.198826663034838
Cortical subplate (L);0.0147498402646417;0.20018706304885;-0.0434679836633491;0.257471129080536;-0.055485489202301;0.0664957642307067;0.0805086946545708;0.171312079676898;-0.0332668679435305;0.102569255371961;1;0.130265442629858;0.230948047871935;-0.0690131588825527;0.184980626603385;-0.159554160755511;0.0297937084806705;-0.0380842647532605;0.0246164406908639;0.119063513023757
Cortical subplate (R);0.172337325628126;0.155659306217911;0.121902178636107;0.0755677475852213;0.126133797494004;0.118200721639468;0.142330923896471;0.276582824992827;0.132187270890563;0.189062340543009;0.130265442629858;1;0.250241467087633;0.239806935441103;0.128181012994913;-0.00542528067466301;0.163075219027647;0.163708065386871;0.163090020085787;0.0596016834462946
Striatum (L);0.0721566591675612;0.158953326090426;-0.061358859255501;0.112601230390553;-0.125496211182573;-0.0366262252040515;0.321028009844308;0.293399443504911;0.0542430442545002;0.150219549322045;0.230948047871935;0.250241467087633;1;0.30741984582348;0.256625305465551;0.0251237854617196;0.0754403326486195;0.157549106774743;0.0223121618710389;0.183065741488506
Striatum (R);0.02600760705023;0.0633187345828991;-0.0792252224116309;0.0399700010101022;-0.0091690125984385;0.117099340365408;0.105935518152014;0.230393727307134;0.00976548314307134;0.000290050309623577;-0.0690131588825527;0.239806935441103;0.30741984582348;1;0.155430460391754;0.279764254037618;0.0393166705420453;0.0732999381009642;0.0735863290382077;0.0480501291752717
Pallidum (L);0.0664737469846457;-0.00731180176844515;0.104881190620739;-0.0600999900777018;0.0812232927273335;-0.0235015301975069;0.230119690310264;0.0829826822021056;0.116303777411022;0.173430278476275;0.184980626603385;0.128181012994913;0.256625305465551;0.155430460391754;1;-0.00698725582179464;0.187940292370446;0.194959403761884;0.202857463045423;0.0980264540389656
Pallidum (R);-0.0351489268421997;0.0371865492311649;-0.0585876428124961;0.00131313006065605;0.0669014237014719;0.145504418166231;0.100893508885919;0.00751566515425081;-0.103817312344068;-0.00166070761803181;-0.159554160755511;-0.00542528067466301;0.0251237854617196;0.279764254037618;-0.00698725582179464;0.999999999999999;-0.0994811769195535;-0.0279588716416332;0.00523787914297439;0.072632074841792
Thalamus (L);0.48764188747092;-0.1489801662246;0.544146339607967;-0.10183365172692;0.355232330941821;-0.242210650365682;0.0848431080741606;0.004290199322214;0.715906813347471;0.444666956337491;0.0297937084806705;0.163075219027647;0.0754403326486195;0.0393166705420453;0.187940292370446;-0.0994811769195535;1;0.676451227019458;0.580034626287667;0.289847589611202
