Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.480311953045906;0.390999860443354;0.0601090692546267;0.791714630221395;0.754749974213111;0.65172312403335;0.631870518587189;0.744579395224111;0.759837352768268;0.480139928769573;0.563697835428302;0.736247100462318;0.549761815328412;0.331123121681269;0.00178127481833944;0.628127143633459;0.662910926663778;0.636953641932531;0.728490061679201
Primary somatosensory area, barrel field (R);0.480311953045906;1;-0.12766051298682;0.759473897941741;0.60404903193759;0.647095611623767;0.650345329098258;0.530067427439879;0.356271579218407;0.730611397730227;0.489820300820795;0.48316841592191;0.641506058812036;0.509944278393314;0.245843063049201;0.0719032023961805;0.458462816169355;0.492206884900621;0.438307962362309;0.601702190178261
Primary somatosensory area, lower limb (L);0.390999860443354;-0.12766051298682;1;-0.255074335768592;-0.0825313268982026;-0.12084059582118;-0.138714955833321;-0.21452627643096;0.243425775436937;-0.0796718383870278;-0.140758035697682;-0.0437396516663169;-0.0981052832013555;-0.137236867409827;0.0389528307536958;-0.073481950252447;-0.0832619585194627;-0.187289173331329;-0.0599329213480785;-0.145948702693205
Primary somatosensory area, lower limb (R);0.0601090692546267;0.759473897941741;-0.255074335768592;1;0.19064649854847;0.235708689495978;0.33601845639717;0.180902476468043;0.156156356059901;0.423485497419215;0.314474254041673;0.226015315244754;0.269420654054206;0.242608711257738;0.0825038445310816;0.0432986294475266;0.296947330961757;0.248578420647629;0.209450897676744;0.300334383509464
Supplemental somatosensory area (L);0.791714630221395;0.60404903193759;-0.0825313268982026;0.19064649854847;1;0.986208352847421;0.772591772976664;0.843814830508278;0.609811350442405;0.915833830382599;0.627402643862241;0.645865064173136;0.887997190241539;0.683464740477154;0.354314556422598;0.0475978681332642;0.701698764317095;0.83984065473155;0.723264603891938;0.89289422485109
Supplemental somatosensory area (R);0.754749974213111;0.647095611623767;-0.12084059582118;0.235708689495978;0.986208352847421;1;0.767076033553563;0.837623402469379;0.519604681849423;0.891284654074847;0.637676464590024;0.635713604315416;0.881741448826065;0.690947753015197;0.320593669896594;0.0679898718851329;0.626996079377628;0.782233467061133;0.666917374416521;0.851222727169885
Olfactory areas (L);0.65172312403335;0.650345329098258;-0.138714955833321;0.33601845639717;0.772591772976664;0.767076033553563;1;0.719042003063675;0.567867856352875;0.813395587629232;0.522781635976369;0.575587741740487;0.797861944518985;0.60191024853987;0.433562403646721;0.0934772611623853;0.64667370401039;0.724006913905505;0.631046248036388;0.770190709475817
Olfactory areas (R);0.631870518587189;0.530067427439879;-0.21452627643096;0.180902476468043;0.843814830508278;0.837623402469379;0.719042003063675;1;0.470489025270138;0.790152021916794;0.610982286638527;0.663452275682457;0.815239733037199;0.664555933820254;0.340167045121053;0.0411233652703297;0.638489120985319;0.752336370692328;0.63538116921581;0.761010503025791
Hippocampal formation (L);0.744579395224111;0.356271579218407;0.243425775436937;0.156156356059901;0.609811350442405;0.519604681849423;0.567867856352875;0.470489025270138;1;0.748313653176375;0.332300709185944;0.476509261628387;0.580371264329663;0.435218789314662;0.388191659648484;-0.0641590966156031;0.808303014840494;0.748357139910032;0.71907694634646;0.735512960706662
Hippocampal formation (R);0.759837352768268;0.730611397730227;-0.0796718383870278;0.423485497419215;0.915833830382599;0.891284654074847;0.813395587629232;0.790152021916794;0.748313653176375;1;0.593962930677465;0.647077969924772;0.86155456249756;0.662571630098987;0.416505679715428;0.0412211266633165;0.816047553635911;0.878178731924305;0.771015812959775;0.922316133771498
