Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;-0.36227051205952;0.739411503489626;-0.433253650195259;0.0146104918591505;-0.16900744804288;-0.186433219869042;-0.195633200059197;0.505288150615502;-0.253519685329011;-0.134706716518437;-0.0240184071937465;-0.164497152456862;-0.136659999024286;-0.0959183737163801;-0.0565241069609269;0.361195347719411;0.0319923771431155;0.29919174863557;-0.00703746841663625
Primary somatosensory area, barrel field (R);-0.36227051205952;1;-0.372558491484939;0.767615123458317;-0.176862139915319;0.0842661191655443;0.0726322283568111;0.0131817700795762;-0.502370648104043;0.121473728845371;0.104360915551533;0.00217619895533743;-0.00289500149887684;-0.0587534162272451;-0.141000568959383;0.0244132179676826;-0.394937472127837;-0.400625030413374;-0.310830830075121;-0.102262226226159
Primary somatosensory area, lower limb (L);0.739411503489626;-0.372558491484939;0.999999999999999;-0.369379027547967;-0.10004325743351;-0.337616720732661;-0.262962378795769;-0.233379375718452;0.516762302366692;-0.233296783598957;-0.0869046354538392;0.0913728977001331;-0.193018697423533;-0.135748052293872;0.0912414742873217;-0.060159066879161;0.492771856060097;0.0824745285830196;0.432500283876646;-0.0716620526091061
Primary somatosensory area, lower limb (R);-0.433253650195259;0.767615123458317;-0.369379027547967;1;-0.258345564754635;-0.0277111232814162;0.0417533460508475;-0.0633665046187011;-0.334662006995338;0.256697974010614;0.204333823261745;-0.0171774049275232;-0.0197926870803958;-0.0417154502161464;-0.132421556636951;-0.00600091054846697;-0.303959785366804;-0.339106523219444;-0.375656227134124;-0.129191699500272
Supplemental somatosensory area (L);0.0146104918591505;-0.176862139915319;-0.10004325743351;-0.258345564754635;1;0.881613094969397;-0.194672173635177;-0.00714187361738343;-0.0864295784450626;0.418245322150565;-0.208586187841941;-0.32305017374115;-0.140696758632891;-0.185273323529012;-0.310460980778663;-0.0151541201833701;0.185724124019684;0.453308731535738;0.0608036750151793;0.470575271625692
Supplemental somatosensory area (R);-0.16900744804288;0.0842661191655443;-0.337616720732661;-0.0277111232814162;0.881613094969397;1;-0.0931835480172085;0.0812142114020864;-0.339884162033442;0.381083697145933;-0.142093225011336;-0.284796752038448;-0.0946155178821954;-0.110511241592717;-0.326672019242426;0.0291221598346709;-0.0771324908541725;0.246207210340128;-0.129656608763367;0.434186775584243
Olfactory areas (L);-0.186433219869042;0.0726322283568111;-0.262962378795769;0.0417533460508475;-0.194672173635177;-0.0931835480172085;1;0.0581366192508199;-0.231446163235173;-0.141636332777205;-0.0921611697201524;-0.100724115325839;0.0896414570371873;-0.081250324859449;0.0714607211446039;0.0917098388963254;-0.251152415387746;-0.146157788077952;-0.188053017897949;-0.132497484870595
Olfactory areas (R);-0.195633200059197;0.0131817700795762;-0.233379375718452;-0.0633665046187011;-0.00714187361738343;0.0812142114020864;0.0581366192508199;1;-0.347878652694595;-0.036091758827094;0.0272549650979563;0.0722806815982102;0.102118942992836;0.0835604594325807;-0.103680757114598;-0.0135650003503489;-0.275489421544696;-0.232779738553654;-0.313084302887797;-0.288655604407384
Hippocampal formation (L);0.505288150615502;-0.502370648104043;0.516762302366692;-0.334662006995338;-0.0864295784450626;-0.339884162033442;-0.231446163235173;-0.347878652694595;1;0.102502050268994;-0.202439301063943;-0.0779481790294579;-0.23326093032731;-0.171557666487106;-0.0357907420184064;-0.132559747093687;0.609368615710992;0.330938641502916;0.383872462524182;0.0216567614741119
Hippocampal formation (R);-0.253519685329011;0.121473728845371;-0.233296783598957;0.256697974010614;0.418245322150565;0.381083697145933;-0.141636332777205;-0.036091758827094;0.102502050268994;1;-0.188568486379176;-0.284465613750006;-0.203021611324463;-0.319985498041201;-0.217717880659328;-0.0469539739034593;0.227796066921226;0.332695610817128;-0.0979821655956893;0.238661113394306
