Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R)
0.4,3.40474687409006,3.70784963031379,4.79365055964329,,5.70424545375162,6.07726864170676,7.00791842171491,7.73331452106152,9.18650441492115,10.3005056897854,11.2707618978006,12.8465445326422,13.4431281872184,,,,12.7860746213873,15.0622663694475,16.3971018470071,16.1341787898634
0.8,3.00131856382674,2.69607595715817,5.39824571464782,,4.99626933766812,4.27786733824384,6.13231671496983,7.28692364958095,9.35020966441251,9.65512042301514,9.83770034360966,10.9485366742934,11.5739175997069,,,,12.9521216296371,14.606246104593,16.3369202134841,17.3944483815196
1.2,2.7517849980835,2.60436366760543,4.94384418018492,,5.91990268709097,5.61382068989866,6.46138649210204,8.40379017579248,9.17835373922905,9.8046042113542,11.1459838100637,11.8415810331701,13.3312847747648,,,,12.5390521631122,15.4272145655278,15.9679014829194,17.7843360522092
1.6,2.96188766877397,2.99376918985454,5.49812797609277,,5.65698380936401,5.73224437038912,7.18175870356628,7.17449269654364,8.6274102458316,9.65948044812857,10.9123863794505,11.9301988748429,12.6796674959337,,,,14.2962848071508,14.2402836029241,15.8711432262834,17.3621649164332
2,2.69092216952829,3.22454506752962,4.50604175508421,,5.69237024123085,6.7569084060043,6.94075632349466,7.58190534999909,9.00200514485623,10.2053240521738,10.6530365306277,10.9865471069838,13.0849941216502,,,,13.3319482022183,14.9521454084264,16.263106554319,17.6371616566472
2.4,3.56825151549485,2.91737609027604,5.01342552227046,,5.66830055713558,4.9363085970988,7.23771906837021,8.41527764401994,8.56364602595329,8.49304102508373,11.1006244092468,12.6308298654312,13.0123154833678,,,,13.3264678517298,15.3632076483169,16.5264816494454,16.9652430794349
2.8,3.60423059407782,3.09586614359955,4.84948520931249,,5.55321717795906,5.31960656577219,7.04530201663587,8.03843673893681,8.80596639813078,9.1473428728376,10.410296217795,11.5539896147189,12.3200581936919,,,,14.0272256019736,14.5644148482308,15.876550445597,17.4635888772668
3.2,4.27481525278037,3.4278822096313,4.34998288054201,,5.58061659136936,5.00357993732522,6.47856087278954,8.46459215081357,8.71937921636079,9.8002934794932,10.86977201355,11.6411737979831,12.6367228881719,,,,12.6008535117294,14.7903517381838,16.1280456707374,17.2676729643088
3.6,4.17454506282294,3.63082376059613,4.21224920796593,,5.41360630395531,5.62190347788083,7.48771187442153,8.28437218847218,9.01398619702822,9.24415888483188,10.8125310106761,12.3340277198122,13.0306340904352,,,,13.1207424205383,15.4995434073292,15.1630713599448,17.2691980831588
4,4.09830728213198,2.84955499783611,5.13447165183089,,5.510061005864,5.14710037815977,7.31646154650226,8.33385334803424,8.5149696224563,9.30832579604992,10.6252609011826,11.7845944525451,12.5497737070249,,,,13.7635242884852,14.5333785644658,16.6381896781074,16.3545211118782
4.4,3.49192084328961,3.52371375997545,4.25233023879105,,5.58218982782226,5.4794489503746,7.35219643739293,8.48420950752658,9.07457539007976,8.77890774422603,11.2379452864066,12.0029110689363,13.0838647655433,,,,13.8844698880403,15.5558141768461,16.1970843797778,16.6634692227038
4.8,3.13054508688702,3.44125774547534,4.18018280165427,,6.09407612823082,5.71545691026744,7.935795102291,9.40985687110365,9.44269147015511,9.72775208923609,12.5717695475759,11.7958312198531,13.8413081383664,,,,12.7607968251572,15.4255122424778,16.0467069094211,17.1502606145753
5.2,2.33485203998392,2.76965529318505,5.74901040733973,,5.32811218655267,5.85061536405666,5.94931879543448,8.06498252623064,8.4781887111253,9.57285658145213,10.1711148247248,12.3935458359504,12.5509722055212,,,,13.6274961692452,14.1104063240358,16.8232542260959,18.0812178689376
5.6,1.84760827412448,2.46094801501883,3.75978383998525,,5.9705391023535,5.20624591254087,7.09748135243714,7.02420314318619,9.37287414297598,10.6410512488627,11.7161102281443,12.1489290129478,13.0477692879757,,,,13.7015628720597,15.2143978186996,16.7325069866169,17.2358824899108
6,3.27510855587801,2.63670680854862,4.99160247075571,,5.31729483582682,5.67730523585626,6.26608380464394,6.89758324368282,8.3306431154408,9.17050985645756,10.969878635314,12.0283345227648,11.5753156376486,,,,15.0218490258869,13.8667662677176,16.5207441886371,17.2126151738409
6.4,1.90266181612728,3.46090160201824,4.67936889294091,,6.07304793442422,5.34339392700535,7.36093837399775,8.00875935903892,9.74863149742378,9.97230244586229,11.6479764970968,11.5454247825461,12.809139326978,,,,14.4526900206221,14.5619686698806,15.8402789188966,17.494763358585
