Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R)
0.4,1.78775729714787,2.27647818864243,3.13271702248894,,3.40526776792576,6.02169579201456,6.54692193777479,7.4218473129943,7.77846823664877,9.8285002296506,11.2099621429867,12.8363189365093,13.2819642420696,,,,13.5100613804867,14.8846505709591,15.9335005778443,16.2181496115481
0.8,1.16672487927172,1.45046426502755,3.00500727195539,,3.26264073191457,4.25275619920869,5.69603096317466,7.0391285925026,7.49729778314848,9.16803980476008,9.74706287430221,10.9214875260236,11.4323519773934,,,,13.0934197259817,14.2848445963193,15.4436641065581,16.3649421568156
1.2,1.68136332430558,1.46953065328348,3.43590725315412,,3.44119816401971,5.56207342880656,6.03066051670108,8.02417365786573,8.00700380789477,9.99054131920061,11.1150498645833,11.8523568366525,13.1655104588076,,,,13.7255444181213,15.3171227989444,16.053045917102,17.258717328222
1.6,1.27524783002823,1.6973881603717,3.16919650235942,,3.41352573445741,5.68410309174985,6.70797436641107,6.9292261204165,7.27598976926759,9.32361202404338,10.8244137490806,11.9067275192688,12.5290309041263,,,,13.6721205569021,14.1171424556678,15.4032879426324,16.4902250868986
2,1.49636121255167,1.924800475007,3.10986536381976,,3.39791422928971,6.689666637779,6.48761948206598,7.28030748549534,7.78915516098547,9.92199538506448,10.6098282032848,10.9913920081888,12.9241189567309,,,,13.7968633521306,14.8755623541572,15.9933653811032,17.0224628860505
2.4,2.05151365311565,1.70043804185112,3.38598581462276,,3.38808577616504,4.89492090199971,6.77513921609736,8.04387678201266,7.64641884211385,9.51737907988654,11.0602629656636,12.632317174014,12.8504689393939,,,,13.8748276534926,15.2119530235579,16.1802002083301,16.7865974681617
2.8,2.08422279974468,1.83947229147717,3.32974822134855,,3.36023701866707,5.27230654784827,6.59139691806709,7.69732726402484,7.77347241299035,9.71816084079813,10.3786879417746,11.5612935830252,12.1620956313501,,,,14.1118590479025,14.6592047969086,15.9296216970233,17.0301593565227
3.2,2.43581836230101,2.09147693872623,3.10395069205743,,3.36867713409943,4.96097657348656,6.04751056536154,8.09209532880345,7.71620786368122,9.88011486583489,10.8307463585394,11.6467187933044,12.4774237067319,,,,13.6301465275056,14.8031859624632,16.0076561706044,16.9170645850957
3.6,2.32882562094596,2.2404971038554,2.99749220604364,,3.33265936769976,5.57061378588399,7.01513561351066,7.93088251640177,7.80981001975296,9.65937855813509,10.7680557998943,12.3328725100596,12.8702373485253,,,,13.7336969227768,15.2638012490489,15.5541427522269,16.8601463877378
4,2.03335114280816,1.61016463503962,3.13868625470514,,3.37321638657359,5.10530138154049,6.84426644058177,7.99477323788311,7.34641065084308,9.37384348697164,10.5538223862428,11.7695803746537,12.3977375485668,,,,13.6395521182007,14.4071961023776,15.8563516367353,16.1581024815253
4.4,2.0039602734984,2.16759821936508,3.06324116426535,,3.37072489881675,5.42940299325466,6.88768487595588,8.11361387245364,7.88821328139914,9.5884294705716,11.1943989321729,12.0065280957096,12.9222315180488,,,,14.0354361912153,15.3380975930135,16.0323926134715,16.6349446852194
4.8,1.87706882128839,2.11536918770654,3.10219937189149,,3.4891436759913,5.66103066279329,7.45038205323462,8.9618819489879,8.12904667384669,9.94505642140797,12.5217824127328,11.805042524235,13.6737736007154,,,,13.7591090903183,15.2967075003255,16.0548613961659,16.939050467347
5.2,1.0876861423707,1.55586439093446,3.42023945959168,,3.32936380502447,5.79773236984744,5.53472532835343,7.74878019802996,7.35918591726902,9.48238406416345,10.1073632797331,12.3772820325475,12.3986014890993,,,,13.6239376240329,14.1279845415886,15.9615324138198,16.9865943626525
5.6,1.2086940880825,1.37367357794134,2.96627228034813,,3.45794207605249,5.15857268464596,6.64812329677713,6.76546197607474,8.13553520095979,10.2528148406166,11.6797053164339,12.1589407585877,12.8842056993245,,,,14.1040883253898,15.1753094956873,16.3783610068552,17.0214449968128
6,1.49174608769567,1.44040563813991,2.99532558778957,,3.33564300234977,5.62789764371469,5.83661801761857,6.6843919728946,7.18684505223937,9.22747871117888,10.8838219578225,12.0061089227797,11.4313609132418,,,,13.9293510476404,13.8735909434484,15.7003201779491,16.4549504696808
6.4,1.42746710905244,2.16505528954922,3.52523833852587,,3.47113092626937,5.29143574631025,6.9073658421918,7.66128109036979,8.48526674188856,10.2861520660037,11.6332954426566,11.5702541979905,12.6431380515112,,,,14.561128063543,14.8471591268771,16.232452181982,17.3450512614611
6.8,1.80370743799654,1.82784245210169,2.95080303987426,,3.33559391857687,5.60321992896174,6.72214564538633,7.89552244673427,7.50019463432216,9.57775083065044,10.6341192442119,13.2697596492716,12.3910897826241,,,,14.1175575438521,14.7049282983613,15.3577322610612,16.8431718085207
7.2,1.09772636497536,1.7332003926785,2.97089122762998,,3.4832995300467,5.57949373354345,6.4926297405614,7.62438203154183,8.2615892775144,10.3962143288682,10.3832146686104,11.8468700750825,12.5195942173186,,,,14.3805839922528,14.8144749020934,16.2078252743851,16.9304275029555
7.6,2.13837593053143,1.87406789117708,2.79303243911312,,3.48869472881494,5.96865661979232,6.95556463896561,8.27711478759138,7.86171515480448,10.1252631793865,10.9614803163663,11.9985014797358,13.2800102012222,,,,14.06467848231,14.5872887185724,15.8270287660904,17.13135770444
8,1.50584495794135,1.95377992654175,2.81992248185485,,3.43211201240221,5.91327878089098,6.92925923490446,8.07712567253267,7.7990961422024,9.90003666568869,10.5428393363525,12.0753124699996,12.6801445114293,,,,14.1518298398396,14.7378885759494,16.0434615507658,16.6753197296446
8.4,1.424958453272,1.959910097968,3.6529385504322,,3.43357226761265,5.4537853424636,6.71149389667279,7.99981564050669,8.06417131439246,10.3558523515024,10.5652179134726,12.38449685494,13.3461219650112,,,,14.0709592541335,14.9357913561291,16.4043557672157,17.3260326927564
8.8,1.78297159338531,1,3.09801885915202,,3.30442778328175,6.26543656807872,5.97711028660359,7.47610784846481,7.51381929355063,9.53687298819206,9.99200052052766,12.1931242643373,11.7010013939596,,,,13.7606235865358,14.8452857273254,15.176164512872,16.2531350889965
9.2,1.38856808593983,2.00596335285388,3.20198624287187,,3.49181550048409,4.60367436595617,6.65777788875632,6.14837951543204,8.55909095004147,10.4539644813218,9.890696976362,11.0275072629522,13.0226238873515,,,,14.3698005391925,14.714503752276,16.3790471351174,17.0583622857778
9.6,1.33528878485424,1.73695316894461,3.43103552502765,,3.43867350274719,5.65707124464898,5.93239828026913,7.17620032523213,7.42553812080164,9.39755710026335,11.0290816604477,11.4907507060056,13.2999914537472,,,,13.8244360987427,14.7394786645636,15.3170914151809,16.6130049256233
10,1.5197345399471,2.04674552010605,3.06480294423184,,3.52779375426907,7.29309944027705,6.64078425936492,8.02122338714104,8.36882712518088,10.3773137318423,12.1527230515658,11.9789529524916,13.0995004878696,,,,14.6298523183851,16.636807012252,16.361612349774,17.5414079447826
10.4,1.57845153954119,1.53129701731138,3.19478039017858,,3.46379606306513,5.87225507428755,6.85488803933165,7.4214232230263,7.72778881087311,9.7721251903745,10.5707069646954,11.3628766237488,12.8012633385099,,,,14.1839920586996,14.6720294180909,16.0922502230279,16.761923188688
