Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.959996661176976;;;0.964237105350296;0.814667908243694;0.316475461722609;0.110257573456522;-0.0143810695507261;-0.0223830470236072;0.684751736623629;0.513303043722824;0.864114756004447;;;;-0.376212685349302;0.057960301569629;0.358968409523994;0.090150756661367
Primary somatosensory area, barrel field (R);0.959996661176976;1;;;0.917269000710811;0.870457011603131;0.32092460071984;0.10693085045369;-0.0144162844508777;-0.0414366152317512;0.70657099867355;0.50963376585045;0.823146096230982;;;;-0.394482019942292;0.0351475277997296;0.356767029769568;0.0704169751182016
Primary somatosensory area, lower limb (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);0.964237105350296;0.917269000710811;;;1;0.779654674124966;0.264926423735511;0.241902983484775;0.0736802962727647;0.108331352976283;0.717930278823611;0.557738605511976;0.813836133768969;;;;-0.316791592911665;0.176817441770042;0.435340879621923;0.199731807031823
Supplemental somatosensory area (R);0.814667908243694;0.870457011603131;;;0.779654674124966;1;0.465155141589242;0.0392422689350999;-0.145892086129159;-0.13324178545512;0.727161348561042;0.567520176613941;0.621341704204805;;;;-0.366257297343601;-0.071982251164665;0.266382069510784;-0.0330387749857558
Olfactory areas (L);0.316475461722609;0.32092460071984;;;0.264926423735511;0.465155141589242;1;-0.605887129167038;-0.74940890164242;-0.724574690321086;0.53761380141822;0.434977490520432;0.249547051849809;;;;-0.103259753296884;-0.56861569492548;-0.333503531042144;-0.61883667053177
Olfactory areas (R);0.110257573456522;0.10693085045369;;;0.241902983484775;0.0392422689350999;-0.605887129167038;0.999999999999999;0.809010087691979;0.88673519868555;0.192743876852626;0.232891055322623;0.0827490412867584;;;;0.0390013871299024;0.736974667709682;0.631938878842778;0.797476096580833
Hippocampal formation (L);-0.0143810695507261;-0.0144162844508777;;;0.0736802962727647;-0.145892086129159;-0.74940890164242;0.809010087691979;0.999999999999999;0.912983327519066;-0.094267819719315;-0.0614405167526463;-0.00325145655884988;;;;0.33771855999172;0.865187862959673;0.732984190828999;0.879090616367478
Hippocampal formation (R);-0.0223830470236072;-0.0414366152317512;;;0.108331352976283;-0.13324178545512;-0.724574690321086;0.88673519868555;0.912983327519066;1;-0.0341210952419184;0.0181613431283638;-0.0257972680178807;;;;0.308970333013077;0.90507580786357;0.719211942482929;0.906540450403341
Cortical subplate (L);0.684751736623629;0.70657099867355;;;0.717930278823611;0.727161348561042;0.53761380141822;0.192743876852626;-0.094267819719315;-0.0341210952419184;0.999999999999999;0.772337777664445;0.605386885914666;;;;-0.224368161295457;0.0345995196122916;0.263925770109383;0.0589746086602574
Cortical subplate (R);0.513303043722824;0.50963376585045;;;0.557738605511976;0.567520176613941;0.434977490520432;0.232891055322623;-0.0614405167526463;0.0181613431283638;0.772337777664445;1;0.429979820361088;;;;-0.260348955402423;0.0101258254257081;0.125839882444512;0.0256877057691185
Striatum (L);0.864114756004447;0.823146096230982;;;0.813836133768969;0.621341704204805;0.249547051849809;0.0827490412867584;-0.00325145655884988;-0.0257972680178807;0.605386885914666;0.429979820361088;1;;;;-0.344396177900831;0.0325019303139825;0.268683979666577;0.0800967141664631
Striatum (R);;;;;;;;;;;;;;;;;;;;
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);-0.376212685349302;-0.394482019942292;;;-0.316791592911665;-0.366257297343601;-0.103259753296884;0.0390013871299024;0.33771855999172;0.308970333013077;-0.224368161295457;-0.260348955402423;-0.344396177900831;;;;1;0.557255202253433;0.445305363156454;0.43500309775327
Thalamus (R);0.057960301569629;0.0351475277997296;;;0.176817441770042;-0.071982251164665;-0.56861569492548;0.736974667709682;0.865187862959673;0.90507580786357;0.0345995196122916;0.0101258254257081;0.0325019303139825;;;;0.557255202253433;1;0.84908036748656;0.934254883228483
Hypothalamus (L);0.358968409523994;0.356767029769568;;;0.435340879621923;0.266382069510784;-0.333503531042144;0.631938878842778;0.732984190828999;0.719211942482929;0.263925770109383;0.125839882444512;0.268683979666577;;;;0.445305363156454;0.84908036748656;1;0.844251949628506
Hypothalamus (R);0.090150756661367;0.0704169751182016;;;0.199731807031823;-0.0330387749857558;-0.61883667053177;0.797476096580833;0.879090616367478;0.906540450403341;0.0589746086602574;0.0256877057691185;0.0800967141664631;;;;0.43500309775327;0.934254883228483;0.844251949628506;0.999999999999999
