Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);1;0.688360191557694;;;0.735066317469969;0.0216501061658506;-0.241930075068878;-0.630125497020523;-0.323556669583241;-0.504451851011334;-0.512032561430174;-0.488579288387681;0.44674451653376;;;;-0.656605424254697;-0.511806203643838;-0.465765699140635;-0.484128218121823
Primary somatosensory area, barrel field (R);0.688360191557694;1;;;0.357952413644198;0.403823256535945;-0.149082735966963;-0.633844381621005;-0.30056547393274;-0.609566257900711;-0.335673248358564;-0.456491460400329;0.2582311577917;;;;-0.69981465355749;-0.625261204873477;-0.434858495709529;-0.597393192366521
Primary somatosensory area, lower limb (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);0.735066317469969;0.357952413644198;;;1;-0.131085059183494;-0.120931997788345;-0.359798988231318;-0.347686547400272;-0.27604710671502;-0.364207112388457;-0.376646988840437;0.202117330836705;;;;-0.440869868046322;-0.299981982314919;-0.368556511082569;-0.356080418994628
Supplemental somatosensory area (R);0.0216501061658506;0.403823256535945;;;-0.131085059183494;1;0.233407199901825;-0.298707458286381;-0.323460113558239;-0.376859241802374;0.00817185759405398;-0.0971542181555352;-0.339244344780826;;;;-0.219461276656759;-0.36167342372832;-0.0660837752648628;-0.308606206834058
Olfactory areas (L);-0.241930075068878;-0.149082735966963;;;-0.120931997788345;0.233407199901825;1;-0.0186056431506297;-0.491359599115731;-0.344008740858805;0.679545798962671;0.469001505424553;-0.217922052811677;;;;0.0800729622974747;-0.343462772218117;-0.217552226674555;-0.384849860799983
Olfactory areas (R);-0.630125497020523;-0.633844381621005;;;-0.359798988231318;-0.298707458286381;-0.0186056431506297;1;0.368540944372496;0.59512551235749;0.191050250055311;0.24260056073665;-0.40590898075098;;;;0.51192137640647;0.536690907549641;0.366993503897691;0.501793104446655
Hippocampal formation (L);-0.323556669583241;-0.30056547393274;;;-0.347686547400272;-0.323460113558239;-0.491359599115731;0.368540944372496;1;0.582747616141673;-0.283575705763985;-0.100556019644508;-0.128983810472788;;;;0.454075948229193;0.585691208115724;0.503262370786416;0.57857236668285
Hippocampal formation (R);-0.504451851011334;-0.609566257900711;;;-0.27604710671502;-0.376859241802374;-0.344008740858805;0.59512551235749;0.582747616141673;1;-0.172123995214007;-0.0107209043797606;-0.285413734570917;;;;0.635357557168326;0.866548311076517;0.570554648436914;0.734811692255732
Cortical subplate (L);-0.512032561430174;-0.335673248358564;;;-0.364207112388457;0.00817185759405398;0.679545798962671;0.191050250055311;-0.283575705763985;-0.172123995214007;1;0.47127693283801;-0.256078615013104;;;;0.187884733336003;-0.127619790580037;-0.160845259621206;-0.155329297182617
Cortical subplate (R);-0.488579288387681;-0.456491460400329;;;-0.376646988840437;-0.0971542181555352;0.469001505424553;0.24260056073665;-0.100556019644508;-0.0107209043797606;0.47127693283801;1;-0.310066837902653;;;;0.240713683752371;-0.00676541918307152;-0.100412939522203;-0.0773930396635768
Striatum (L);0.44674451653376;0.2582311577917;;;0.202117330836705;-0.339244344780826;-0.217922052811677;-0.40590898075098;-0.128983810472788;-0.285413734570917;-0.256078615013104;-0.310066837902653;1;;;;-0.361734807935867;-0.322494062262509;-0.428123258591943;-0.242978794306695
Striatum (R);;;;;;;;;;;;;;;;;;;;
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);-0.656605424254697;-0.69981465355749;;;-0.440869868046322;-0.219461276656759;0.0800729622974747;0.51192137640647;0.454075948229193;0.635357557168326;0.187884733336003;0.240713683752371;-0.361734807935867;;;;1;0.708844318757368;0.616569101783153;0.618276984585976
Thalamus (R);-0.511806203643838;-0.625261204873477;;;-0.299981982314919;-0.36167342372832;-0.343462772218117;0.536690907549641;0.585691208115724;0.866548311076517;-0.127619790580037;-0.00676541918307152;-0.322494062262509;;;;0.708844318757368;1;0.621910805084979;0.751845375004732
Hypothalamus (L);-0.465765699140635;-0.434858495709529;;;-0.368556511082569;-0.0660837752648628;-0.217552226674555;0.366993503897691;0.503262370786416;0.570554648436914;-0.160845259621206;-0.100412939522203;-0.428123258591943;;;;0.616569101783153;0.621910805084979;1;0.617854162541801
Hypothalamus (R);-0.484128218121823;-0.597393192366521;;;-0.356080418994628;-0.308606206834058;-0.384849860799983;0.501793104446655;0.57857236668285;0.734811692255732;-0.155329297182617;-0.0773930396635768;-0.242978794306695;;;;0.618276984585976;0.751845375004732;0.617854162541801;1
